Id,Movie,,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
71,Blended,WarnerBros.,Warner Bros.,"$46,290,741 ","$14,284,031 ","3,555"
72,The Giver,Weinstein…,Weinstein Co.,"$45,090,374 ","$12,305,016 ","3,003"
73,St. Vincent,Weinstein…,Weinstein Co.,"$44,137,712 ","$109,878 ","2,552"
74,Need for Speed,WaltDisney,Walt Disney,"$43,568,507 ","$17,844,939 ","3,115"
75,John Wick,Lionsgate,Lionsgate,"$43,037,835 ","$14,415,922 ","2,589"
76,A Million Ways to Die in The West,Universal,Universal Studio,"$42,720,965 ","$16,797,385 ","3,160"
77,Birdman or (The Unexpected Virtue of Ignorance),FoxSearc…,Fox Searchlight,"$42,340,598 ","$424,397 ","1,213"
78,Dolphin Tale 2,WarnerBros.,Warner Bros.,"$42,024,533 ","$15,873,397 ","3,656"
79,The Expendables 3,Lionsgate,Lionsgate,"$39,322,544 ","$15,879,645 ","3,221"
80,Earth to Echo,Relativity,Relativity,"$38,934,842 ","$8,364,199 ","3,230"
81,Sex Tape,SonyPict…,Sony Pictures,"$38,543,473 ","$14,608,152 ","3,062"
82,Wild,FoxSearc…,Fox Searchlight,"$37,880,356 ","$606,810 ","1,361"
83,Million Dollar Arm,WaltDisney,Walt Disney,"$36,447,959 ","$10,515,659 ","3,019"
84,The Theory of Everything,FocusFea…,Focus Features,"$35,893,537 ","$208,763 ","1,220"
85,This is Where I Leave You,WarnerBros.,Warner Bros.,"$34,296,320 ","$11,558,149 ","2,868"
86,The Gambler,Paramount…,Paramount Pictures,"$33,680,992 ",$0,"2,494"
87,Paranormal Activity: The Marked Ones,Paramount…,Paramount Pictures,"$32,462,372 ","$18,343,611 ","2,883"
88,Nightcrawler,OpenRoad,Open Road,"$32,381,218 ","$10,441,000 ","2,766"
89,Chef,OpenRoad,Open Road,"$31,424,004 ","$204,961 ","1,298"
90,3 Days to Kill,Relativity,Relativity,"$30,697,999 ","$12,242,218 ","2,872"
91,Deliver Us from Evil,SonyPict…,Sony Pictures,"$30,577,122 ","$9,740,471 ","3,049"
92,Get on Up,Universal,Universal Studio,"$30,569,935 ","$13,585,915 ","2,469"
93,When the Game Stands Tall,SonyPict…,Sony Pictures,"$30,127,963 ","$8,381,509 ","2,766"
94,Draft Day,Lionsgate,Lionsgate,"$28,842,237 ","$9,783,603 ","2,781"
95,Oculus,Relativity,Relativity,"$27,695,246 ","$12,005,402 ","2,648"
96,The Best of Me,Relativity,Relativity,"$26,766,213 ","$10,003,827 ","2,936"
97,That Awkward Moment,FilmDistrict,Film District,"$26,068,955 ","$8,742,109 ","2,809"
98,A Walk Among the Tombstones,Universal,Universal Studio,"$26,017,685 ","$12,758,780 ","2,714"
99,Her,WarnerBros.,Warner Bros.,"$25,568,251 ","$260,382 ","2,005"
100,Boyhood,IFCFilms,IFC Films,"$25,379,975 ","$387,618 ",775
101,Top Five,Paramount…,Paramount Pictures,"$25,317,379 ","$6,896,593 ","1,426"
102,The November Man,Relativity,Relativity,"$25,018,119 ","$7,911,597 ","2,776"
103,Endless Love,Universal,Universal Studio,"$23,438,250 ","$13,307,125 ","2,896"
104,Pompeii,SonyPict…,Sony Pictures,"$23,169,033 ","$10,340,823 ","2,658"
105,Transcendence,WarnerBros.,Warner Bros.,"$23,022,309 ","$10,886,386 ","3,455"
106,"As Above, So Below",Universal,Universal Studio,"$21,222,315 ","$8,632,820 ","2,650"
107,Brick Mansions,Relativity,Relativity,"$20,396,829 ","$9,516,855 ","2,647"
108,"I, Frankenstein",Lionsgate,Lionsgate,"$19,075,290 ","$8,610,441 ","2,753"
109,The Legend of Hercules,Lionsgate,Lionsgate,"$18,848,538 ","$8,868,318 ","2,104"
110,Bears,WaltDisney,Walt Disney,"$17,780,194 ","$4,776,267 ","1,790"
111,Addicted,Lionsgate,Lionsgate,"$17,390,770 ","$7,485,346 ","1,037"
112,A Haunted House 2,OpenRoad,Open Road,"$17,329,487 ","$8,843,875 ","2,310"
113,A Most Wanted Man,Roadside…,Roadside Attractions,"$17,237,855 ","$2,686,526 ",808
114,Begin Again,Weinstein…,Weinstein Co.,"$16,170,632 ","$134,064 ","1,302"
115,Tyler Perrys The Single Moms Club,Lionsgate,Lionsgate,"$15,995,891 ","$8,075,111 ","1,896"
116,Devils Due,20thCent…,20th Century,"$15,821,461 ","$8,308,220 ","2,544"
117,And So It Goes,ClariusE…,Clarius Entertainment,"$15,160,801 ","$4,642,329 ","1,816"
118,Step Up All In,Lionsgate,Lionsgate,"$14,904,384 ","$6,469,857 ","2,072"
119,Beyond the Lights,Relativity,Relativity,"$14,618,727 ","$6,200,284 ","1,789"
120,Big Eyes,Weinstein…,Weinstein Co.,"$14,482,031 ","$3,001,738 ","1,408"
121,America: Imagine a World Without Her,Lionsgate,Lionsgate,"$14,444,502 ","$38,608 ","1,105"
122,Left Behind,Freestyle…,Freestyle Releasing,"$14,019,924 ","$6,300,146 ","1,887"
123,Sin City: A Dame to Kill For,Weinstein…,Weinstein Co.,"$13,757,804 ","$6,317,683 ","2,894"
124,Labor Day,Paramount…,Paramount Pictures,"$13,371,528 ","$5,175,282 ","2,584"
125,Whiplash,SonyPict…,Sony Pictures,"$13,092,006 ","$135,388 ",567
126,Winter's Tale,WarnerBros.,Warner Bros.,"$12,600,231 ","$7,297,694 ","2,965"
127,Foxcatcher,SonyPict…,Sony Pictures,"$12,096,300 ","$270,877 ",759
128,Island of Lemurs: Madagascar,WarnerBros.,Warner Bros.,"$11,269,741 ","$188,307 ",302
129,Belle,FoxSearc…,Fox Searchlight,"$10,726,630 ","$106,578 ","1,114"
130,The Drop,FoxSearc…,Fox Searchlight,"$10,724,389 ","$4,104,552 ","1,192"
131,P.K.,UTVCommu…,UTV Communications,"$10,616,104 ","$3,565,258 ",272
132,Magic in the Moonlight,SonyPict…,Sony Pictures,"$10,534,510 ","$412,095 ",964
133,Sabotage,OpenRoad,Open Road,"$10,508,518 ","$5,272,444 ","2,486"
134,Moms' Night Out,SonyPict…,Sony Pictures,"$10,429,707 ","$4,311,083 ","1,046"
135,The Quiet Ones,Lionsgate,Lionsgate,"$8,509,867 ","$3,880,053 ","2,027"
136,Legends of Oz: Dorothy's Return,ClariusE…,Clarius Entertainment,"$8,462,347 ","$3,747,780 ","2,658"
137,Inherent Vice,WarnerBros.,Warner Bros.,"$8,110,975 ","$328,184 ",653
138,Vampire Academy,Weinstein…,Weinstein Co.,"$7,791,979 ","$3,921,742 ","2,676"
139,Bad Words,FocusFea…,Focus Features,"$7,779,614 ","$113,301 ","1,074"
140,Cantinflas,Lionsgate,Lionsgate,"$6,382,924 ","$2,661,253 ",429
141,The Interview,SonyPict…,Sony Pictures,"$6,105,175 ",$0,581
142,Meet the Mormons,PurdieDi…,Purdie Distribution,"$6,047,363 ","$2,509,808 ",333
143,A Most Violent Year,A24,A24,"$5,749,134 ","$172,788 ",818
144,Cesar Chavez,Lionsgate,Lionsgate,"$5,571,497 ","$2,861,528 ",664
145,The Skeleton Twins,Lionsgate…,Lionsgate,"$5,284,309 ","$380,691 ",461
146,Kaze Tachinu,WaltDisney,Walt Disney,"$5,201,879 ","$313,751 ",496
147,Snowpiercer,RADiUS-TWC,RADiUS-TWC,"$4,563,029 ","$171,187 ",356
148,The Railway Man,Weinstein…,Weinstein Co.,"$4,438,438 ","$18,078 ",600
149,Dear White People,Lionsgate…,Lionsgate,"$4,404,154 ","$347,959 ",392
150,The Lunchbox,SonyPict…,Sony Pictures,"$4,231,500 ","$44,542 ",165
151,My Old Lady,CohenMed…,Cohen Media,"$4,011,530 ","$124,680 ",170
152,Mr. Turner,SonyPict…,Sony Pictures,"$3,958,546 ","$108,638 ",217
153,Ida,MusicBox…,Music Box Films,"$3,827,060 ","$55,438 ",137
154,Fading Gigolo,Alchemy,Alchemy,"$3,747,833 ","$180,801 ",356
155,Calvary,FoxSearc…,Fox Searchlight,"$3,600,006 ","$74,149 ",322
156,Wish I Was Here,FocusFea…,Focus Features,"$3,591,299 ","$484,401 ",753
157,What If,CBSFilms,CBS Films,"$3,493,000 ","$133,898 ",787
158,The Grand Seduction,Entertain…,Entertainment One,"$3,409,304 ","$323,743 ",124
159,Veronica Mars,WarnerBros.,Warner Bros.,"$3,322,127 ","$1,988,351 ",347
160,Before I Go to Sleep,ClariusE…,Clarius Entertainment,"$3,242,457 ","$1,843,347 ","1,935"
161,Rosewater,OpenRoad,Open Road,"$3,128,941 ","$1,154,303 ",371
162,Obvious Child,A24,A24,"$3,122,616 ","$77,315 ",202
163,The Trip to Italy,IFCFilms,IFC Films,"$2,873,758 ","$80,522 ",200
164,Myeong-ryang,CJEntert…,CJ Entertainment,"$2,830,989 ","$43,000 ",51
165,The Identical,Freestyle…,Freestyle Releasing,"$2,827,666 ","$1,587,137 ","1,956"
166,The Fluffy Movie,OpenRoad,Open Road,"$2,827,393 ","$1,311,446 ",432
167,CitizenFour,RADiUS-TWC,RADiUS-TWC,"$2,800,870 ","$126,321 ",105
168,Saving Christmas,SamuelGo…,Samuel Goldwyn Films,"$2,778,297 ","$992,087 ",410
169,The Pyramid,20thCent…,20th Century,"$2,756,333 ","$1,369,935 ",685
170,The Good Lie,WarnerBros.,Warner Bros.,"$2,722,209 ","$841,422 ",461
171,Serbuan maut 2: Berandal,SonyPict…,Sony Pictures,"$2,625,803 ","$165,292 ",954
172,Under the Skin,A24,A24,"$2,614,251 ","$133,154 ",176
173,Bang Bang,FIP,FIP,"$2,581,138 ",$0,271
174,Kick,UTVCommu…,UTV Communications,"$2,472,695 ","$1,071,373 ",180
175,Kill the Messenger,FocusFea…,Focus Features,"$2,450,846 ","$941,809 ",427
176,The Homesman,Roadside…,Roadside Attractions,"$2,429,989 ","$45,433 ",222
177,2014 Oscar Shorts,ShortsHD,Shorts HD,"$2,357,890 ","$329,505 ",148
178,Gukjesijang,CJEntert…,CJ Entertainment,"$2,305,912 ",$0,38
179,Love is Strange,SonyPict…,Sony Pictures,"$2,262,555 ","$117,276 ",138
180,2 States,UTVCommu…,UTV Communications,"$2,238,175 ","$1,066,054 ",137
181,Le Week-End,MusicBox…,Music Box Films,"$2,225,098 ","$43,608 ",157
182,Words and Pictures,Roadside…,Roadside Attractions,"$2,171,257 ","$87,879 ",216
183,Gloria,Roadside…,Roadside Attractions,"$2,110,357 ","$58,775 ",112
184,Trailer Park Boys 3: Don't Legalize It,Entertain…,Entertainment One,"$2,090,607 ",$0,78
185,The Immigrant,RADiUS-TWC,RADiUS-TWC,"$2,013,456 ","$44,064 ",150
186,Dr. Cabbie,ErosEnte…,Eros Entertainment,"$1,986,209 ","$118,732 ",220
187,Only Lovers Left Alive,SonyPict…,Sony Pictures,"$1,876,685 ","$87,989 ",95
188,Tusk,A24,A24,"$1,821,983 ","$846,831 ",602
189,Tims Vermeer,SonyPict…,Sony Pictures,"$1,670,806 ","$49,777 ",129
190,Persecuted,OneMedia…,One Media,"$1,557,494 ","$851,391 ",736
191,Fed Up,RADiUS-TWC,RADiUS-TWC,"$1,538,898 ","$126,028 ",104
192,Awake: The Life of Yogananda,Counterpo…,Counterpoint Films,"$1,511,750 ","$18,885 ",21
193,Finding Vivian Maier,IFCFilms,IFC Films,"$1,509,131 ","$63,600 ",97
194,Kaguyahime no monogatari,GKIDS,GKIDS,"$1,506,975 ","$54,915 ",29
195,Pride,CBSFilms,CBS Films,"$1,447,022 ","$81,971 ",124
196,Deux jours une nuit,Sundance…,Sundance Selects,"$1,423,552 ","$48,236 ",120
197,Locke,A24,A24,"$1,370,646 ","$81,006 ",121
198,Gimme Shelter,Roadside…,Roadside Attractions,"$1,359,910 ","$689,070 ",385
199,Turist,Magnolia…,Magnolia Pictures,"$1,359,497 ","$23,309 ",68
200,Singham Returns,ErosEnte…,Eros Entertainment,"$1,226,581 ","$654,045 ",127
201,Repentance,Codeblack…,Codeblack Entertainment,"$1,189,612 ","$501,290 ",157
202,Jai Ho,ErosEnte…,Eros Entertainment,"$1,187,266 ",$0,195
203,The Remaining,SonyPict…,Sony Pictures,"$1,169,603 ","$159,143 ",85
204,Hector and the Search for Happiness,Relativity,Relativity,"$1,124,445 ","$40,847 ",183
205,The Rover,A24,A24,"$1,109,199 ","$69,302 ",608
206,Leviafan,SonyPict…,Sony Pictures,"$1,092,800 ","$15,156 ",80
207,Hundraåringen som klev ut genom fönstret och fö…,MongrelM…,Mongrel Media,"$1,083,762 ","$10,075 ",76
208,50 to 1,TenFurlongs,Ten Furlongs,"$1,069,454 ","$78,480 ",133
209,Khoobsurat,UTVCommu…,UTV Communications,"$1,055,593 ","$345,085 ",61
210,Haider,UTVCommu…,UTV Communications,"$1,048,143 ","$508,084 ",119
211,Third Person,SonyPict…,Sony Pictures,"$1,019,038 ","$38,856 ",227
212,Stalingrad,SonyPict…,Sony Pictures,"$1,013,945 ","$510,846 ",308
213,Enemy,A24,A24,"$1,005,824 ","$18,000 ",120
214,The Song,SamuelGo…,Samuel Goldwyn Films,"$1,005,691 ","$568,596 ",340
215,The Babadook,IFCMidnight,IFC Midnight,"$950,792 ","$30,007 ",80
216,Más negro que la noche,Lionsgate,Lionsgate,"$870,063 ","$539,867 ",178
217,Particle Fever,Abramoram…,Abramorama Films,"$869,838 ","$42,968 ",27
218,Song of the Sea,GKIDS,GKIDS,"$857,524 ","$17,967 ",52
219,Atlas Shrugged: Who Is John Galt?,AtlasDis…,Atlas Distribution,"$851,690 ","$461,179 ",242
220,Life Itself,Magnolia…,Magnolia Pictures,"$810,454 ","$131,411 ",100
221,Alone Yet Not Alone,HammondE…,Hammond Entertainment,"$795,755 ","$534,626 ",103
222,Nymphomaniac: Volume I,Magnolia…,Magnolia Pictures,"$785,896 ","$180,226 ",64
223,Xin Hua Lu Fang,ChinaLio…,China Lion Film Distribution,"$774,961 ",$0,24
224,Palo Alto,TriBecaF…,TriBeca Films,"$767,732 ","$63,461 ",72
225,Land Ho!,SonyPict…,Sony Pictures,"$727,430 ","$34,319 ",73
226,Yves Saint Laurent,Weinstein…,Weinstein Co.,"$723,593 ","$24,207 ",24
227,Holiday,Reliance…,Reliance Big Pictures,"$706,893 ","$394,715 ",144
228,Frankie & Alice,CODEBLACK…,Codeblack Entertainment,"$706,547 ","$7,768 ",171
229,A Matter of Faith,Five&Tw…,Five & Two Pictures,"$680,113 ","$138,677 ",52
230,Jodorowsky's Dune,SonyPict…,Sony Pictures,"$646,512 ","$36,018 ",61
231,Frank,Magnolia…,Magnolia Pictures,"$645,186 ","$16,056 ",75
232,Finding Fanny,FIP,FIP,"$623,229 ","$515,393 ",121
233,The Signal,FocusFea…,Focus Features,"$600,896 ","$155,642 ",204
234,The Disappearance of Eleanor Rigby,Weinstein…,Weinstein Co.,"$587,152 ","$77,181 ",139
235,Kochadaiiyaan,ErosEnte…,Eros Entertainment,"$583,172 ",$0,161
236,Omar,AdoptFilms,Adopt Films,"$583,000 ","$5,616 ",7
237,Cong cong na nian,ChinaLio…,China Lion Film Distribution,"$566,853 ",$0,10
238,23 Blast,Abramoram…,Abramorama Films,"$549,185 ","$337,091 ",617
239,A Girl Walks Home Alone at Night,KinoLorber,Kino Lorber,"$544,032 ",$0,19
240,Highway,UTVCommu…,UTV Communications,"$529,136 ","$326,654 ",97
241,Dom Hemingway,FoxSearc…,Fox Searchlight,"$523,511 ","$29,276 ",129
242,Les vacances du petit Nicolas,MongrelM…,Mongrel Media,"$518,768 ","$100,097 ",39
243,The One I Love,RADiUS-TWC,RADiUS-TWC,"$511,635 ","$48,059 ",82
244,On Any Sunday: The Next Chapter,Hannover…,Hannover House,"$509,916 ","$320,984 ",231
245,Tracks,Weinstein…,Weinstein Co.,"$509,815 ","$13,285 ",67
246,The Two Faces of January,Magnolia…,Magnolia Pictures,"$507,463 ","$43,116 ",59
247,Last Days in Vietnam,American…,American Experience,"$466,114 ","$30,450 ",25
248,The Captive,Entertain…,Entertainment One,"$451,457 ","$450,000 ",134
249,In Secret,Roadside…,Roadside Attractions,"$444,179 ","$265,586 ",266
250,Laggies,A24,A24,"$440,338 ","$74,139 ",306
251,Adieu au langage,KinoLorber,Kino Lorber,"$433,062 ",$0,7
252,La petite reine,Entertain…,Entertainment One,"$430,527 ",$0,61
253,Bei Jing Ai Qing Gu Shi,ChinaLio…,China Lion Film Distribution,"$423,598 ","$168,376 ",12
254,Cold in July,IFCFilms,IFC Films,"$423,223 ",$0,73
255,Shes Beautiful When Shes Angry,Internati…,International Film Circuit,"$423,143 ","$10,505 ",19
256,Yi Sheng Yi Shi,ChinaLio…,China Lion Film Distribution,"$417,558 ","$140,000 ",20
257,Wakolda,SamuelGo…,Samuel Goldwyn Films,"$414,912 ","$34,259 ",39
258,Ek Villain,ErosEnte…,Eros Entertainment,"$414,116 ","$414,116 ",104
259,The Face of Love,IFCFilms,IFC Films,"$385,069 ","$25,800 ",42
260,Humpty Sharma Ki Dulhania,Reliance…,Reliance Big Pictures,"$380,011 ","$380,011 ",101
261,Women Who Flirt,ChinaLio…,China Lion Film Distribution,"$374,116 ",$0,27
262,Joe,Roadside…,Roadside Attractions,"$373,375 ",$0,48
263,The Guest,Picturehouse,Picturehouse,"$369,911 ","$84,527 ",53
264,Glen Campbell: Ill Be Me,Area23a,Area23a,"$365,522 ","$86,741 ",18
265,Comme un chef,CohenMed…,Cohen Media,"$342,667 ","$11,290 ",19
266,La Vénus à la fourrure,IFCFilms,IFC Films,"$342,183 ","$24,761 ",45
267,Jimi: All is By My Side,XLratorM…,XLrator Media,"$340,911 ",$0,75
268,Hasee Toh Phasee,Reliance…,Reliance Big Pictures,"$336,985 ","$336,985 ",88
269,Casse-tête chinois,CohenMed…,Cohen Media,"$336,500 ","$23,544 ",29
270,I Origins,FoxSearc…,Fox Searchlight,"$336,472 ","$27,682 ",122
271,Soshite chichi ni naru,IFCFilms,IFC Films,"$333,678 ","$16,500 ",35
272,Elaine Stritch: Shoot Me,IFCFilms,IFC Films,"$330,083 ","$27,853 ",41
273,Nymphomaniac: Volume II,MongrelM…,Mongrel Media,"$327,167 ","$6,187 ",34
274,Linconnu du lac,Strand,Strand,"$323,070 ",$0,16
275,Björk: Biophilia Live,CinemaPu…,Cinema Purgatorio,"$319,456 ",$0,14
276,The Hornet's Nest,Freestyle…,Freestyle Releasing,"$312,706 ","$26,550 ",57
277,Viaggio sola,MusicBox…,Music Box Films,"$306,917 ","$15,996 ",20
278,L'écume des jours,Drafthous…,Drafthouse Films,"$303,187 ","$26,511 ",37
279,I Am Eleven,ProudMot…,Proud Mother Pictures,"$300,968 ","$5,800 ",16
280,Happy Ending,ErosEnte…,Eros Entertainment,"$295,579 ","$198,702 ",129
281,La danza de la realidad,ABCKOFilms,ABCKO Films,"$293,680 ","$24,768 ",15
282,Innocence,JSCEnter…,JSC Entertainment,"$292,824 ","$235,224 ",490
283,Antarctica: A Year on Ice,MusicBox…,Music Box Films,"$288,757 ","$32,238 ",30
284,"20,000 Days on Earth",Drafthous…,Drafthouse Films,"$279,558 ","$27,879 ",35
285,The Unknown Known,RADiUS-TWC,RADiUS-TWC,"$275,658 ","$64,315 ",80
286,Main Tera Hero,ErosEnte…,Eros Entertainment,"$274,579 ","$162,404 ",77
287,Night Moves,Cinedigm,Cinedigm,"$271,755 ","$24,100 ",56
288,Wei ai zhi jian ru jia jing,ChinaLio…,China Lion Film Distribution,"$271,734 ",$0,12
289,Life of Crime,Lionsgate…,Lionsgate,"$265,452 ","$104,300 ",37
290,Punjab 1984,WhiteHil…,White Hill Productions,"$265,000 ","$265,000 ",58
291,La chambre bleue,IFCFilms,IFC Films,"$260,441 ","$21,809 ",41
292,Blue Ruin,RADiUS-TWC,RADiUS-TWC,"$258,384 ","$32,608 ",61
293,The Green Prince,MusicBox…,Music Box Films,"$258,237 ","$32,698 ",24
294,The Zero Theorem,Amplify,Amplify,"$257,706 ","$3,138 ",63
295,Alive Inside,Bond/360,Bond/360,"$256,682 ","$7,150 ",20
296,Entertainment,B4UMovies,B4U Movies,"$255,000 ","$255,000 ",111
297,National Gallery,Zipporah,Zipporah,"$253,941 ","$10,049 ",15
298,The Galapagos Affair: Satan Came to Eden,Zeitgeist,Zeitgeist,"$247,159 ","$5,185 ",15
299,Shingeki no kyojin endo obu za wârudo,FUNimation,FUNimation,"$243,356 ",$0,230
300,Art and Craft,Oscillosc…,Oscilloscope Pictures,"$237,091 ","$23,000 ",20
301,Diplomatie,Zeitgeist,Zeitgeist,"$230,880 ","$8,518 ",14
302,Pozitia copiului,Zeitgeist,Zeitgeist,"$218,224 ","$12,955 ",10
303,Supermensch: The Legend of Shep Gordon,RADiUS-TWC,RADiUS-TWC,"$212,701 ","$21,060 ",46
304,The Breakup Guru,ChinaLio…,China Lion Film Distribution,"$208,959 ","$67,000 ",12
305,Rob the Mob,Alchemy,Alchemy,"$206,909 ","$13,833 ",30
306,Jinn,Freestyle…,Freestyle Releasing,"$202,348 ","$149,337 ",201
