Id,Movie,,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,American Sniper,WarnerBros.,Warner Bros.,"$350,126,372 ","$633,456 ","3,885"
2,The Hunger Games: Mockingjay - Part 1,Lionsgate,Lionsgate,"$337,135,885 ","$121,897,634 ","4,151"
3,Guardians of the Galaxy,WaltDisney,Walt Disney,"$333,714,112 ","$94,320,883 ","4,088"
4,Captain America: The Winter Soldier,WaltDisney,Walt Disney,"$259,746,958 ","$95,023,721 ","3,938"
5,The Lego Movie,WarnerBros.,Warner Bros.,"$257,784,718 ","$69,050,279 ","3,890"
6,The Hobbit: The Battle of the Five Armies,WarnerBros.,Warner Bros.,"$255,119,788 ","$54,724,334 ","3,875"
7,Transformers: Age of Extinction,Paramount…,Paramount Pictures,"$245,439,076 ","$100,038,390 ","4,233"
8,Maleficent,WaltDisney,Walt Disney,"$241,407,328 ","$69,431,298 ","3,948"
9,X-Men: Days of Future Past,20thCent…,20th Century,"$233,921,534 ","$90,823,660 ","4,001"
10,Big Hero 6,WaltDisney,Walt Disney,"$222,527,828 ","$56,215,889 ","3,773"
11,Dawn of the Planet of the Apes,20thCent…,20th Century,"$208,545,589 ","$72,611,427 ","3,969"
12,The Amazing Spider-Man 2,SonyPict…,Sony Pictures,"$202,853,933 ","$91,608,337 ","4,324"
13,Godzilla,WarnerBros.,Warner Bros.,"$200,676,069 ","$93,188,384 ","3,952"
14,22 Jump Street,SonyPict…,Sony Pictures,"$191,719,337 ","$57,071,445 ","3,426"
15,Teenage Mutant Ninja Turtles,Paramount…,Paramount Pictures,"$191,204,754 ","$65,575,105 ","3,980"
16,Interstellar,Paramount…,Paramount Pictures,"$188,017,894 ","$47,510,360 ","3,561"
17,How to Train Your Dragon 2,20thCent…,20th Century,"$177,002,924 ","$49,451,322 ","4,268"
18,Gone Girl,20thCent…,20th Century,"$167,767,189 ","$37,513,109 ","3,284"
19,Divergent,Lionsgate,Lionsgate,"$150,947,895 ","$54,607,747 ","3,936"
20,Neighbors,Universal,Universal Studio,"$150,086,800 ","$49,033,915 ","3,311"
21,Ride Along,Universal,Universal Studio,"$134,202,565 ","$41,516,170 ","2,867"
22,Rio 2,20thCent…,20th Century,"$131,538,435 ","$39,327,869 ","3,975"
23,Into the Woods,WaltDisney,Walt Disney,"$128,002,372 ","$31,051,923 ","2,833"
24,Lucy,Universal,Universal Studio,"$126,573,960 ","$43,899,340 ","3,202"
25,The Fault in Our Stars,20thCent…,20th Century,"$124,872,350 ","$48,002,523 ","3,340"
26,Unbroken,Universal,Universal Studio,"$115,637,895 ","$30,621,445 ","3,301"
27,Night at the Museum: Secret of the Tomb,20thCent…,20th Century,"$113,746,621 ","$17,100,520 ","3,914"
28,Mr. Peabody & Sherman,20thCent…,20th Century,"$111,506,430 ","$32,207,057 ","3,951"
29,300: Rise of an Empire,WarnerBros.,Warner Bros.,"$106,580,051 ","$45,038,460 ","3,490"
30,The Maze Runner,20thCent…,20th Century,"$102,427,862 ","$32,512,804 ","3,638"
31,The Equalizer,SonyPict…,Sony Pictures,"$101,530,738 ","$34,137,828 ","3,236"
32,Noah,Paramount…,Paramount Pictures,"$101,200,044 ","$43,720,472 ","3,571"
33,Edge of Tomorrow,WarnerBros.,Warner Bros.,"$100,206,256 ","$28,760,246 ","3,505"
34,Non-Stop,Universal,Universal Studio,"$91,742,160 ","$28,875,635 ","3,183"
35,Heaven is for Real,SonyPict…,Sony Pictures,"$91,386,097 ","$22,522,221 ","3,048"
36,The Imitation Game,Weinstein…,Weinstein Co.,"$91,125,143 ","$479,352 ","2,402"
37,Dumb and Dumber To,Universal,Universal Studio,"$86,208,010 ","$36,111,775 ","3,188"
38,Annie,SonyPict…,Sony Pictures,"$85,911,262 ","$15,861,939 ","3,197"
39,Fury,SonyPict…,Sony Pictures,"$85,817,906 ","$23,702,421 ","3,313"
40,Tammy,WarnerBros.,Warner Bros.,"$84,525,432 ","$21,577,049 ","3,465"
41,Annabelle,WarnerBros.,Warner Bros.,"$84,273,813 ","$37,134,255 ","3,215"
42,The Other Woman,20thCent…,20th Century,"$83,911,193 ","$24,763,752 ","3,306"
43,Penguins of Madagascar,20thCent…,20th Century,"$83,350,911 ","$25,447,444 ","3,775"
44,Let's Be Cops,20thCent…,20th Century,"$82,390,774 ","$17,813,722 ","3,140"
45,The Monuments Men,SonyPict…,Sony Pictures,"$78,031,620 ","$22,003,433 ","3,083"
46,Hercules,Paramount…,Paramount Pictures,"$72,688,614 ","$29,800,263 ","3,595"
47,The Purge: Anarchy,Universal,Universal Studio,"$71,562,550 ","$29,816,675 ","2,856"
48,"Alexander and the Terrible, Horrible, No Good",WaltDisney,Walt Disney,"$66,954,149 ","$18,360,230 ","3,176"
49,Think Like a Man Too,SonyPict…,Sony Pictures,"$65,028,687 ","$29,241,911 ","3,049"
50,Exodus: Gods and Kings,20thCent…,20th Century,"$65,014,513 ","$24,115,934 ","3,503"
51,The Nut Job,OpenRoad,Open Road,"$64,251,538 ","$19,405,000 ","3,472"
52,God's Not Dead,PureFlix…,Pure Flix Entertainment,"$60,755,732 ","$9,244,641 ","1,860"
53,Son of God,20thCent…,20th Century,"$59,700,064 ","$25,601,865 ","3,271"
54,Planes: Fire and Rescue,WaltDisney,Walt Disney,"$59,157,732 ","$17,509,407 ","3,839"
55,The Grand Budapest Hotel,FoxSearc…,Fox Searchlight,"$59,076,019 ","$811,166 ","1,467"
56,RoboCop,SonyPict…,Sony Pictures,"$58,607,007 ","$21,681,430 ","3,372"
57,Dracula Untold,Universal,Universal Studio,"$55,991,880 ","$23,514,615 ","2,900"
58,Horrible Bosses 2,WarnerBros.,Warner Bros.,"$54,445,357 ","$15,457,418 ","3,400"
59,The Hundred-Foot Journey,WaltDisney,Walt Disney,"$54,235,441 ","$10,979,290 ","2,167"
60,No Good Deed,SonyPict…,Sony Pictures,"$52,543,632 ","$24,250,283 ","2,175"
61,Muppets Most Wanted,WaltDisney,Walt Disney,"$51,178,893 ","$17,005,126 ","3,194"
62,Ouija,Universal,Universal Studio,"$50,856,010 ","$19,875,995 ","2,899"
63,The Boxtrolls,FocusFea…,Focus Features,"$50,837,305 ","$17,275,239 ","3,464"
64,Jack Ryan: Shadow Recruit,Paramount…,Paramount Pictures,"$50,577,412 ","$15,451,981 ","3,387"
65,If I Stay,WarnerBros.,Warner Bros.,"$50,474,843 ","$15,679,190 ","3,157"
66,The Book of Life,20thCent…,20th Century,"$50,151,543 ","$17,005,218 ","3,113"
67,About Last Night,SonyPict…,Sony Pictures,"$48,637,684 ","$25,649,011 ","2,253"
68,Into the Storm,WarnerBros.,Warner Bros.,"$47,602,194 ","$17,346,427 ","3,434"
69,The Judge,WarnerBros.,Warner Bros.,"$47,119,388 ","$13,116,226 ","3,003"
70,Jersey Boys,WarnerBros.,Warner Bros.,"$47,047,013 ","$13,319,371 ","2,905"
