Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
301,Love,Alchemy,Alchemy,"$249,665 ","$29,301 ",26
302,Carter High,PlayNowE…,PlayNow Entertainment,"$240,214 ","$87,274 ",39
303,Tevar,ErosEnte…,Eros Entertainment,"$236,002 ","$171,026 ",127
304,Hamari Adhuri Kahani,FoxInter…,Fox International,"$235,361 ","$131,263 ",67
305,Slow West,A24,A24,"$229,094 ",$0 ,54
306,A Royal Night Out,AtlasDis…,Atlas Distribution,"$228,136 ","$100,847 ",158
307,Jeremy Scott: The People's Designer,TheVlada…,The Vladar Company,"$225,000 ","$225,000 ",12
308,En duva satt pa en gren och funderade pa tillva…,Magnolia…,Magnolia Pictures,"$222,989 ","$17,398 ",17
309,The Taking of Tiger Mountain,WellGoUSA,Well Go USA,"$222,964 ","$50,621 ",13
310,Pyaar Ka Punchnama 2,Reliance…,Reliance Big Pictures,"$222,856 ","$107,364 ",49
311,Chocolate City,Freestyle…,Freestyle Releasing,"$212,662 ","$98,829 ",23
312,Lang Tu Teng,SonyPict…,Sony Pictures,"$212,616 ",$0 ,5
313,Peng ran xin dong,ChinaLio…,China Lion Film Distribution,"$212,508 ","$120,074 ",36
314,Dark Places,A24,A24,"$208,588 ","$99,601 ",151
315,Heneral Luna,Abramoram…,Abramorama Films,"$206,040 ","$15,485 ",42
316,Une nouvelle amie,MongrelM…,Mongrel Media,"$196,284 ","$14,620 ",45
317,Escobar: Paradise Lost,RADiUS-TWC,RADiUS-TWC,"$195,792 ","$106,869 ",105
318,Merchants of Doubt,SonyPict…,Sony Pictures,"$192,362 ","$20,327 ",30
319,La French,Drafthous…,Drafthouse Films,"$190,980 ","$10,335 ",27
320,Shi gu,ChinaLio…,China Lion Film Distribution,"$188,306 ","$86,048 ",24
321,Stonewall,Roadside…,Roadside Attractions,"$187,674 ","$112,834 ",129
322,Maggie,Roadside…,Roadside Attractions,"$187,112 ","$131,175 ",79
323,Lambert & Stamp,SonyPict…,Sony Pictures,"$183,320 ","$13,487 ",31
324,3 coeurs,CohenMed…,Cohen Media,"$182,522 ","$11,336 ",29
325,An Honest Liar,Abramoram…,Abramorama Films,"$180,590 ","$13,821 ",15
326,The Young and Prodigious T.S. Spivet,Weinstein…,Weinstein Co.,"$176,847 ","$110,295 ",100
327,Serena,Magnolia…,Magnolia Pictures,"$176,391 ","$100,090 ",59
328,Mita Tova,IDP/Samue…,IDP,"$172,860 ","$7,616 ",14
329,All Things Must Pass,Gravitas…,Gravitas Venture,"$166,872 ","$19,001 ",14
330,Zhong Kui fu mo: Xue yao mo ling,WellGoUSA,Well Go USA,"$165,428 ","$73,817 ",24
331,Time Out of Mind,IFCFilms,IFC Films,"$164,849 ","$18,934 ",18
332,Cest Si Bon,CJEntert…,CJ Entertainment,"$164,167 ",$0 ,23
333,The Last Women Standing,ChinaLio…,China Lion Film Distribution,"$163,406 ","$73,344 ",17
334,After the Ball,PacificN…,Pacific Northwest Pictures,"$161,820 ","$31,718 ",43
335,Il capitale umano,FilmMove…,Film Movement,"$158,549 ",$0 ,11
336,Hell & Back,Freestyle…,Freestyle Releasing,"$157,768 ","$104,374 ",411
337,Experimenter,Magnolia…,Magnolia Pictures,"$155,575 ","$8,682 ",30
338,Desert Dancer,Relativity,Relativity,"$155,271 ","$40,763 ",36
339,"Guten Tag, Ramon",20thCent…,20th Century,"$154,356 ","$51,105 ",29
340,Samba,Entertain…,Entertainment One,"$151,530 ","$24,588 ",27
341,Plemya,Drafthous…,Drafthouse Films,"$150,565 ","$11,094 ",13
342,Forever Young,ChinaLio…,China Lion Film Distribution,"$149,761 ","$70,047 ",14
343,The Last Five Years,RADiUS-TWC,RADiUS-TWC,"$147,299 ","$51,475 ",36
344,Kurt Cobain: Montage Of Heck,HBODocum…,HBO Documentary,"$140,208 ",$0 ,
345,X+Y,SamuelGo…,Samuel Goldwyn Films,"$139,511 ","$31,408 ",18
346,Jag ar Ingrid,RialtoPi…,Rialto Pictures,"$138,148 ","$8,355 ",13
347,5 to 7,IFCFilms,IFC Films,"$137,112 ","$18,006 ",27
348,La Sapienza,KinoLorber,Kino Lorber,"$135,392 ",$0 ,6
349,Cop Car,FocusFea…,Focus Features,"$134,552 ","$26,146 ",60
350,Dont Think Ive Forgotten: Cambodias Lost Roc…,ArgotPic…,Argot Pictures,"$133,443 ","$19,206 ",7
351,Manglehorn,IFCFilms,IFC Films,"$132,270 ","$11,227 ",27
352,A Ballerinas Tale,IFCFilms,IFC Films,"$131,995 ","$9,388 ",16
353,E gun tian shi,ChinaLio…,China Lion Film Distribution,"$131,058 ","$44,855 ",12
354,Mississippi Grind,A24,A24,"$130,541 ","$12,434 ",46
355,O Menino e o Mundo,GKIDS,GKIDS,"$129,479 ","$10,077 ",26
356,Yi ge ren de wu lin,WellGoUSA,Well Go USA,"$129,115 ","$58,664 ",28
357,Boulevard,StarzDig…,Starz Digital Media,"$126,150 ","$7,000 ",11
358,Z for Zachariah,Roadside…,Roadside Attractions,"$121,461 ","$56,902 ",29
359,In Jackson Heights,Zipporah,Zipporah,"$121,094 ","$15,150 ",8
360,Pei an dong ni du guo man chang sui yue,ChinaLio…,China Lion Film Distribution,"$119,376 ","$58,164 ",17
361,Digging for Fire,TheOrchard,The Orchard,"$119,364 ","$24,544 ",30
362,Mandariinid,SamuelGo…,Samuel Goldwyn Films,"$114,501 ","$5,180 ",10
363,Road Hard,FilmBuff,Film Buff,"$113,169 ","$105,943 ",22
364,Shes Funny That Way,Lionsgate,Lionsgate,"$111,993 ","$43,820 ",27
365,Memories of the Sword,WellGoUSA,Well Go USA,"$111,071 ","$50,240 ",22
366,The Look of Silence,Drafthous…,Drafthouse Films,"$109,089 ","$6,616 ",14
367,Do I Sound Gay?,IFCFilms,IFC Films,"$108,620 ","$10,461 ",18
368,The Beauty Inside,WellGoUSA,Well Go USA,"$108,238 ","$1,234 ",23
369,Adult Beginners,RADiUS-TWC,RADiUS-TWC,"$104,808 ","$36,657 ",54
370,Results,Magnolia…,Magnolia Pictures,"$104,507 ","$17,782 ",21
371,Every Secret Thing,StarzDig…,Starz Digital Media,"$103,536 ","$11,083 ",20
372,Beyond the Brick: A LEGO Brickumentary,RADiUS-TWC,RADiUS-TWC,"$101,531 ","$43,285 ",93
373,James White,FilmArcade,Film Arcade,"$101,368 ","$12,007 ",12
374,Kôkaku Kidôtai,FUNimation,FUNimation,"$101,203 ",$0 ,267
375,Anime nere,Vitagraph…,Vitagraph Films,"$100,725 ","$6,286 ",11
376,Man from Reno,Gravitas…,Gravitas Venture,"$92,918 ","$15,158 ",7
377,Jie jiu wu xian sheng,DadaFilms,Dada Films,"$92,696 ","$43,312 ",24
378,Christmas Eve,UnstuckLLC,Unstuck LLC,"$91,302 ","$45,260 ",44
379,Beasts of No Nation,Bleecker…,Bleecker Street,"$90,777 ","$51,003 ",31
380,Sunshine Superman,Magnolia…,Magnolia Pictures,"$88,097 ","$8,991 ",21
381,Queen of Earth,IFCFilms,IFC Films,"$86,616 ","$11,360 ",12
382,Hero,ErosEnte…,Eros Entertainment,"$84,961 ","$58,445 ",53
383,Trace Amounts,GathrFilms,Gathr Films,"$80,735 ",$0 ,7
384,Heaven Knows What,RADiUS-TWC,RADiUS-TWC,"$80,312 ","$16,862 ",14
385,Nasty Baby,TheOrchard,The Orchard,"$79,800 ","$8,023 ",18
386,Blackbird,ImageEnt…,Image Entertainment,"$78,400 ",$0 ,5
387,Batkid Begins,WarnerBros.,Warner Bros.,"$74,709 ","$19,437 ",14
388,Tian jiang xiong shi,Lionsgate,Lionsgate,"$74,070 ","$30,346 ",14
389,Backcountry,IFCMidnight,IFC Midnight,"$71,191 ",$0 ,
390,Freaks of Nature,SonyPict…,Sony Pictures,"$70,958 ",$0 ,
391,Le meraviglie,Oscillosc…,Oscilloscope Pictures,"$70,805 ","$5,840 ",15
392,I Am Big Bird: The Caroll Spinney Story,TriBecaF…,TriBeca Films,"$67,845 ","$10,150 ",17
393,The Messenger,AliveMind,Alive Mind,"$67,816 ",$0 ,3
394,Eden,BroadGre…,Broad Green Pictures,"$65,460 ","$18,987 ",15
395,Hua Li Shang Ban Zou,ChinaLio…,China Lion Film Distribution,"$63,029 ","$34,144 ",15
396,Drunk Stoned Brilliant Dead The Story of the Na…,Magnolia…,Magnolia Pictures,"$62,684 ","$5,254 ",22
397,Dark Star: H.R. Gigers World,IcarusFilms,Icarus Films,"$61,845 ","$8,349 ",8
398,Loreak,MusicBox…,Music Box Films,"$61,568 ","$6,572 ",5
399,Only You,ChinaLio…,China Lion Film Distribution,"$61,565 ","$27,311 ",14
400,Bande de filles,Strand,Strand,"$60,765 ","$7,667 ",5
401,Güeros,KinoLorber,Kino Lorber,"$60,599 ",$0 ,5
402,Cooties,Lionsgate,Lionsgate,"$60,058 ","$33,031 ",29
403,I Smile Back,BroadGre…,Broad Green Pictures,"$58,738 ","$15,758 ",18
404,Jauja,CinemaGuild,Cinema Guild,"$58,403 ",$0 ,3
405,Brian Wilson: I Just Wasnt Made for These Times,Northern…,Northern Arts Entertainment,"$56,744 ",$0 ,
406,The Duke of Burgundy,IFCFilms,IFC Films,"$56,657 ","$11,902 ",10
407,Entertainment,Magnolia…,Magnolia Pictures,"$55,506 ","$5,132 ",9
408,Regression,Elevation…,Elevation Studios,"$55,039 ",$0 ,100
409,Die geliebten Schwestern,MusicBox…,Music Box Films,"$54,064 ","$19,704 ",9
410,Shao nian ban,ChinaLio…,China Lion Film Distribution,"$53,252 ","$22,583 ",12
411,Aloft,SonyPict…,Sony Pictures,"$53,086 ","$2,116 ",17
412,The Quay Brothers in 35MM,Zeitgeist,Zeitgeist,"$51,858 ","$16,995 ",2
413,We Come as Friends,BBCWorld…,BBC Worldwide North America,"$50,921 ",$0 ,8
414,Heist,Lionsgate,Lionsgate,"$50,136 ","$28,688 ",24
415,Spring,Drafthous…,Drafthouse Films,"$49,970 ","$19,675 ",15
416,Difret,TruthAid…,Truth Aid,"$49,667 ",$0 ,4
417,Red Herring,IndicanP…,Indican Pictures,"$49,480 ",$0 ,28
418,Bangistan,ErosEnte…,Eros Entertainment,"$48,694 ",$0 ,41
419,Appropriate Behavior,Gravitas…,Gravitas Venture,"$46,912 ","$19,114 ",11
420,Shanghai,Weinstein…,Weinstein Co.,"$46,425 ","$26,604 ",103
421,Beyond The Reach,Roadside…,Roadside Attractions,"$45,895 ","$30,287 ",28
422,Lost River,WarnerBros.,Warner Bros.,"$45,431 ","$20,828 ",3
423,Mr. X,FoxInter…,Fox International,"$44,995 ","$30,097 ",52
424,River of Fundament,Internati…,International Film Circuit,"$44,840 ","$4,938 ",2
425,Madame Bovary,Alchemy,Alchemy,"$44,234 ","$20,841 ",15
426,The Salvation,IFCFilms,IFC Films,"$43,318 ","$4,651 ",13
427,Respire,FilmMove…,Film Movement,"$42,313 ","$5,063 ",12
428,El boton de nacar,KinoLorber,Kino Lorber,"$42,166 ",$0 ,5
429,The Search for General Tso,Sundance…,Sundance Selects,"$41,455 ","$9,336 ",13
430,Nowitzki: The Perfect Shot,Magnolia…,Magnolia Pictures,"$41,340 ","$20,049 ",4
431,Love Thy Nature,InTheLi…,In The Light Productions LLC,"$41,336 ",$0 ,
432,Siakh lokhamim: haslilim hagnouzim,MusicBox…,Music Box Films,"$41,260 ","$6,153 ",6
433,The Seven Five,IFCFilms,IFC Films,"$40,674 ","$14,785 ",5
434,Het nieuwe Rijksmuseum,FirstRun…,First Run Features,"$40,578 ","$2,631 ",5
435,What Our Fathers Did: A Nazi Legacy,Oscillosc…,Oscilloscope Pictures,"$40,119 ","$8,132 ",14
436,Charlie's Country,Monument…,Monument Releasing,"$39,436 ","$10,189 ",8
437,Prophet's Prey,Showtime…,Showtime Original,"$39,347 ","$5,000 ",9
438,Kreuzweg,FilmMove…,Film Movement,"$38,818 ",$688 ,1
439,Lila & Eve,SamuelGo…,Samuel Goldwyn Films,"$38,263 ","$21,806 ",22
440,Autrui,MongrelM…,Mongrel Media,"$37,460 ","$8,647 ",7
441,Before We Go,Radius,Radius,"$37,151 ","$18,630 ",21
442,La mafia uccide solo destate,DistribF…,Distrib Films,"$37,134 ",$0 ,5
443,Knock Knock,Lionsgate,Lionsgate,"$36,336 ","$18,623 ",22
444,Haganenet,KinoLorber,Kino Lorber,"$36,190 ",$0 ,4
445,Welcome to Leith,FirstRun…,First Run Features,"$36,010 ","$3,707 ",5
446,Finders Keepers,TheOrchard,The Orchard,"$35,555 ","$5,740 ",32
447,The Forbidden Room,KinoLorber,Kino Lorber,"$34,404 ",$0 ,5
448,Song One,Cinedigm/…,Cinedigm,"$32,251 ","$20,200 ",27
449,Bou Chau Mai Sing,WellGoUSA,Well Go USA,"$32,053 ","$17,181 ",11
450,Amira & Sam,Drafthous…,Drafthouse Films,"$31,848 ","$15,535 ",9
451,Trudno byt bogom,KinoLorber,Kino Lorber,"$31,443 ",$0 ,3
452,Don Verdean,Lionsgate,Lionsgate,"$31,309 ","$12,907 ",40
453,The Winding Stream,ArgotPic…,Argot Pictures,"$31,249 ","$3,660 ",3
454,"People, Places, Things",FilmArcade,Film Arcade,"$30,768 ","$30,768 ",19
455,Match,IFCFilms,IFC Films,"$30,566 ","$6,000 ",9
456,Runoff,Monterey…,Monterey Media,"$30,186 ","$9,515 ",6
457,Paul Taylor Creative Domain,Resident…,Resident Artist,"$30,168 ","$8,150 ",7
458,3 and 1/2 Minutes,Participa…,Participant Media,"$29,725 ","$2,238 ",8
459,Paulette,CohenMed…,Cohen Media,"$29,086 ",$882 ,2
460,Qing shao nian nuo zha,BigWorld…,Big World Pictures,"$28,791 ","$4,600 ",4
461,Americons,Archstone…,Archstone Entertainment,"$28,782 ","$14,404 ",14
462,The Nightmare,Gravitas…,Gravitas Venture,"$28,281 ",$0 ,1
463,"Like Sunday, Like Rain",Monterey…,Monterey Media,"$28,208 ","$1,082 ",8
464,7 Chinese Brothers,ScreenMe…,Screen Media Films,"$28,180 ",$0 ,8
465,Bikes vs Cars,KinoLorber,Kino Lorber,"$28,072 ",$0 ,2
466,The Cut,Strand,Strand,"$28,066 ","$5,327 ",5
467,Sembene!,KinoLorber,Kino Lorber,"$28,059 ",$0 ,3
468,The Keeping Room,Drafthous…,Drafthouse Films,"$27,166 ","$4,328 ",10
469,Tap World,Vitagraph…,Vitagraph Films,"$26,747 ","$8,715 ",3
470,Peace Officer,Submarine…,Submarine Deluxe,"$26,632 ",$0 ,11
471,Les choses de la vie,RialtoPi…,Rialto Pictures,"$25,314 ","$6,512 ",1
472,Preggoland,MongrelM…,Mongrel Media,"$25,294 ","$3,800 ",4
473,Les combattants,Strand,Strand,"$25,229 ","$3,187 ",7
474,R100,Drafthous…,Drafthouse Films,"$24,956 ","$7,263 ",11
475,Big Game,EuropaCorp,Europa Corp,"$24,752 ","$16,909 ",11
476,Olvidados,CinemaLibre,Cinema Libre,"$24,638 ","$2,791 ",1
477,Kill Me Three Times,Magnolia…,Magnolia Pictures,"$24,296 ","$15,477 ",16
478,Hippocrate,DistribF…,Distrib Films,"$23,050 ","$5,908 ",2
479,Slow Learners,IFCFilms,IFC Films,"$22,930 ",$948 ,6
480,Court,Zeitgeist,Zeitgeist,"$22,898 ","$4,806 ",2
481,Cant Stand Losing You: Surviving the Police,CinemaLibre,Cinema Libre,"$22,326 ","$5,656 ",5
482,Animals,Oscillosc…,Oscilloscope Pictures,"$22,001 ","$14,471 ",11
483,Noma: My Perfect Storm,Magnolia…,Magnolia Pictures,"$21,130 ","$2,987 ",5
484,Praia do Futuro,Strand,Strand,"$20,620 ","$3,324 ",4
485,Boy Meets Girl,Bramachar…,Bramacharia LLC,"$20,441 ","$5,306 ",4
486,"Love, Rosie",FilmArcade,Film Arcade,"$20,431 ","$14,893 ",15
487,New World Order,IndicanP…,Indican Pictures,"$20,205 ","$2,790 ",3
488,Friends and Romans,Paladin,Paladin,"$20,136 ",$0 ,14
489,Misery Loves Comedy,TriBecaF…,TriBeca Films,"$19,634 ","$5,250 ",8
490,The Challenger,Freestyle…,Freestyle Releasing,"$19,003 ","$12,246 ",28
491,El Ardor,Strand,Strand,"$18,572 ","$13,726 ",17
492,The Little Death,Magnolia…,Magnolia Pictures,"$18,238 ","$3,118 ",4
493,Das große Museum,KinoLorber,Kino Lorber,"$18,020 ",$0 ,2
494,The Other One,IndicanP…,Indican Pictures,"$17,727 ","$11,718 ",6
495,Butterfly Girl,IndicanP…,Indican Pictures,"$17,503 ","$1,950 ",3
496,Trash,FocusFea…,Focus Features,"$17,484 ","$10,230 ",17
497,Strangerland,Alchemy,Alchemy,"$17,472 ","$17,472 ",22
498,A Reason,IndicanP…,Indican Pictures,"$16,839 ","$1,690 ",4
499,Eastern Boys,FirstRun…,First Run Features,"$16,831 ","$5,726 ",2
500,Extraction,Lionsgate,Lionsgate,"$16,775 ","$10,948 ",13
501,Eva,Weinstein…,Weinstein Co.,"$16,738 ","$10,395 ",50
502,This Changes Everything,Abramoram…,Abramorama Films,"$16,692 ","$9,770 ",1
503,Kawaki,Drafthous…,Drafthouse Films,"$16,627 ","$6,834 ",12
504,Kkeut-kka-ji-gan-da,KinoLorber,Kino Lorber,"$16,563 ",$0 ,3
505,Les nuits de la pleine lune,FilmMove…,Film Movement,"$16,275 ","$5,040 ",1
506,Hits,HonoraPr…,Homora Productions,"$15,156 ","$15,156 ",2
507,Cheatin,Plymptoons,Plymptoons,"$15,077 ",$0 ,10
508,Far Too Far,Timeand…,Time and Tide Productions,"$15,000 ","$3,982 ",5
509,Zombeavers,Freestyle…,Freestyle Releasing,"$14,947 ","$8,163 ",11
510,10 Days in a Madhouse,CafePict…,Cafe Pictures,"$14,616 ",$0 ,10
511,Gone Doggy Gone,IndicanP…,Indican Pictures,"$14,610 ",$0 ,5
512,Buzzard,Oscillosc…,Oscilloscope Pictures,"$14,591 ","$8,031 ",11
513,The Human Centipede 3 (Final Sequence),IFCMidnight,IFC Midnight,"$14,562 ",$0 ,23
514,Amour fou,FilmMove…,Film Movement,"$14,296 ","$4,385 ",3
515,Eli,ErosEnte…,Eros Entertainment,"$13,547 ",$0 ,18
516,Un beau dimanche,CohenMed…,Cohen Media,"$12,494 ",$0 ,1
517,The Armor Of Light,ForkFilms,Fork Films,"$12,267 ",$0 ,26
518,"As Mil e Uma Noites: Volume 1, O Inquieto",KinoLorber,Kino Lorber,"$12,260 ",$0 ,10
519,Hross i oss,MusicBox…,Music Box Films,"$11,894 ",$0 ,2
520,Emptying The Skies,MusicBox…,Music Box Films,"$11,811 ","$4,818 ",2
521,Maries Story,FilmMove…,Film Movement,"$11,720 ","$1,446 ",8
522,Lenlèvement de Michel Houellebecq,KinoLorber,Kino Lorber,"$11,546 ",$0 ,1
523,The Devils Violinist,Freestyle…,Freestyle Releasing,"$11,294 ","$8,013 ",10
524,1001 Grams,KinoLorber,Kino Lorber,"$10,983 ",$0 ,2
525,Just Before I Go,AnchorBa…,Anchor Bay Entertainment,"$10,970 ","$8,129 ",2
526,Mala Mala,Strand,Strand,"$10,761 ","$2,569 ",2
527,The Forecaster,AutlookF…,Autlook Films,"$10,172 ",$0 ,1
528,The Life and Mind of Mark DeFriest,CityDriv…,City Drive Films,"$10,021 ",$0 ,6
529,Wild Canaries,IFCFilms,IFC Films,"$9,795 ","$2,683 ",4
530,Station to Station,Submarine…,Submarine Deluxe,"$9,494 ","$9,494 ",1
531,Still Life,TriBecaF…,TriBeca Films,"$9,481 ",$0 ,5
532,"One Cut, One Life",FirstRun…,First Run Features,"$9,406 ","$2,986 ",2
533,Medeas,TheVlada…,The Vladar Company,"$9,313 ",$0 ,2
534,Cupcakes,Strand,Strand,"$9,129 ","$2,570 ",3
535,Urok,FilmMove…,Film Movement,"$9,045 ","$1,801 ",1
536,The Hallow,IFCMidnight,IFC Midnight,"$8,967 ","$1,559 ",8
537,Northern Soul,Freestyle…,Freestyle Releasing,"$8,886 ","$6,786 ",10
538,B-Side,IndicanP…,Indican Pictures,"$8,870 ",$0 ,3
539,Não Pare na Pista: A Melhor História de Paulo C…,MusicBox…,Music Box Films,"$8,808 ","$5,295 ",5
540,Dawn of the Crescent Moon,IndicanP…,Indican Pictures,"$8,799 ",$0 ,3
541,Little Accidents,Amplify,Amplify,"$8,649 ","$8,649 ",17
542,Meet Me in Montenegro,TheOrchard,The Orchard,"$8,612 ","$5,010 ",10
543,Farewell to Hollywood,Internati…,International Film Circuit,"$8,601 ",$572 ,3
544,Counting,CinemaGuild,Cinema Guild,"$8,374 ",$0 ,1
545,The Girl in the Book,Freestyle…,Freestyle Releasing,"$8,245 ","$5,249 ",10
546,Yi ge shao zi,ClariusE…,Clarius Entertainment,"$8,212 ",$0 ,2
547,I nostri ragazzi,FilmMove…,Film Movement,"$8,054 ",$805 ,2
548,Steak (R)evolution,KinoLorber,Kino Lorber,"$8,025 ",$0 ,7
549,Straight Outta Tompkins,IndicanP…,Indican Pictures,"$8,022 ","$8,022 ",2
550,One Small Hitch,Freestyle…,Freestyle Releasing,"$7,965 ","$5,328 ",10
551,Kajaki,HonoraPr…,Homora Productions,"$7,891 ",$0 ,11
552,Le grand homme,DistribF…,Distrib Films,"$7,814 ","$2,482 ",1
553,Area 51,Paramount…,Paramount Pictures,"$7,556 ","$7,556 ",16
554,Sur le chemin de lecole,DistribF…,Distrib Films,"$7,424 ",$0 ,2
555,Rubble Kings,Saboteur…,Saboteur Media,"$7,416 ",$0 ,3
556,El critico,MusicBox…,Music Box Films,"$7,358 ",$839 ,2
557,Set Fire to the Stars,Strand,Strand,"$7,280 ","$1,132 ",3
558,Antarctic Edge: 70� South,FirstRun…,First Run Features,"$7,193 ","$3,131 ",1
559,Lil Quinquin,KinoLorber,Kino Lorber,"$7,192 ",$0 ,2
560,A Murder in the Park,Sundance…,Sundance Selects,"$7,125 ","$1,310 ",3
561,Victoria,AdoptFilms,Adopt Films,"$6,971 ",$0 ,4
562,Gabriel,Oscillosc…,Oscilloscope Pictures,"$6,959 ","$2,124 ",3
563,Hungry Hearts,IFCFilms,IFC Films,"$6,921 ",$286 ,6
564,The Sisterhood of Night,Freestyle…,Freestyle Releasing,"$6,870 ","$5,264 ",10
565,Steve McQueen: The Man & Le Mans,FilmRise,Film Rise,"$6,843 ","$4,079 ",2
566,Cavalo Dinheiro,CinemaGuild,Cinema Guild,"$6,508 ",$0 ,1
567,The Suicide Theory,Freestyle…,Freestyle Releasing,"$6,434 ","$5,229 ",10
568,"As Mil e Uma Noites: Volume 2, O Desolado",KinoLorber,Kino Lorber,"$6,398 ",$0 ,3
569,Alleluia,Doppelgan…,Doppelganger Releasing,"$6,334 ","$2,712 ",3
570,Guidance,Strand,Strand,"$6,194 ","$1,554 ",2
571,Die Marquise van O,FilmMove…,Film Movement,"$6,049 ",$0 ,2
572,Famous Nathan,FilmMove…,Film Movement,"$6,048 ",$0 ,1
573,The Riot Club,IFCFilms,IFC Films,"$6,041 ","$2,188 ",4
574,"Sex, Death and Bowling",Monterey…,Monterey Media,"$5,972 ",$50 ,3
575,Top Spin,FirstRun…,First Run Features,"$5,858 ","$2,177 ",4
576,Mediterranea,IFCFilms,IFC Films,"$5,846 ","$5,846 ",2
577,Shout Gladi Gladi,Internati…,International Film Circuit,"$5,839 ","$5,046 ",2
578,Black November,Entertain…,Entertainment One,"$5,782 ",$0 ,
579,The Wanted 18,KinoLorber,Kino Lorber,"$5,680 ",$0 ,2
580,Tu dors Nicole,KinoLorber,Kino Lorber,"$5,662 ",$0 ,1
581,This Isnt Funny,CandyFac…,Candy Factory Films,"$5,654 ",$690 ,1
582,Our Man in Tehran,FirstRun…,First Run Features,"$5,573 ","$1,640 ",3
583,The Living,Monterey…,Monterey Media,"$5,514 ",$74 ,4
584,Loin des hommes,TriBecaF…,TriBeca Films,"$5,336 ",$0 ,2
585,Shes Lost Control,Monument…,Monument Releasing,"$5,319 ",$900 ,1
586,The Dead Lands,Magnolia…,Magnolia Pictures,"$5,240 ","$1,327 ",3
587,La princesa de Francia,CinemaGuild,Cinema Guild,"$5,212 ",$0 ,1
588,Death Valley,IndicanP…,Indican Pictures,"$5,211 ","$4,344 ",2
589,De la guerre,IndicanP…,Indican Pictures,"$5,086 ","$2,210 ",1
590,The Voices,Lionsgate,Lionsgate,"$5,000 ",$0 ,12
591,SBK The-Movie,HanoverM…,Hanover Multimedia,"$4,950 ",$0 ,6
592,Gerontophilia,Strand,Strand,"$4,916 ","$1,927 ",1
593,Barely Lethal,A24,A24,"$4,912 ","$1,726 ",22
594,Miss Hill: Making Dance Matter,FirstRun…,First Run Features,"$4,706 ","$2,560 ",1
595,Ashby,FilmArcade,Film Arcade,"$4,631 ","$4,631 ",15
596,Seeds of Time,KinoLorber,Kino Lorber,"$4,630 ",$0 ,2
597,Tango Negro: The African Roots of Tango,ArtMattan…,Art Mattan Films,"$4,593 ","$4,593 ",2
598,"As Mil e Uma Noites: Volume 3, O Encantado",KinoLorber,Kino Lorber,"$4,502 ",$0 ,3
599,52 Tuesdays,KinoLorber,Kino Lorber,"$4,484 ",$0 ,2
600,Sangailes vasara,Strand,Strand,"$4,480 ",$453 ,2
601,"Farewell, Herr Schwartz",KinoLorber,Kino Lorber,"$4,455 ",$0 ,2
602,Dias de gracia,CinemaLibre,Cinema Libre,"$4,308 ",$0 ,1
603,La navaja de Don Juan,IndicanP…,Indican Pictures,"$4,254 ",$0 ,2
604,What We Did on Our Holiday,Lionsgate,Lionsgate,"$4,200 ",$0 ,12
605,Three Night Stand,MyriadEn…,Myriad Entertainment Group,"$4,076 ","$2,538 ",10
606,Larmee du salut,Strand,Strand,"$3,929 ","$2,433 ",1
607,Unfreedom,DarkFrames,Dark Frames,"$3,778 ",$0 ,8
608,Im Keller,Strand,Strand,"$3,643 ",$748 ,1
609,"Fidelio, lodyssee dAlice",FirstRun…,First Run Features,"$3,580 ",$454 ,2
610,Jenny's Wedding,IFCFilms,IFC Films,"$3,540 ","$2,254 ",2
611,That Sugar Film,IDP/Samue…,IDP,"$3,500 ","$3,500 ",10
612,Blackhats,ReelOne…,Reel One Entertainment,"$3,442 ","$2,658 ",1
613,Hyena,TriBecaF…,TriBeca Films,"$3,401 ",$0 ,6
614,Know How,FirstRun…,First Run Features,"$3,323 ","$2,414 ",2
615,Drunk Wedding,Paramount…,Paramount Pictures,"$3,301 ","$3,301 ",16
616,Windsor Drive,IndicanP…,Indican Pictures,"$3,256 ","$2,160 ",2
617,Dreams Rewired,IcarusFilms,Icarus Films,"$3,240 ","$2,233 ",3
618,Wild Card,Lionsgate,Lionsgate,"$3,200 ",$0 ,13
619,Xenia,Strand,Strand,"$3,181 ",$358 ,3
620,Julia,Archstone…,Archstone Entertainment,"$2,710 ","$2,110 ",5
621,Body,Oscillosc…,Oscilloscope Pictures,"$2,634 ","$2,457 ",1
622,Hayride 2,Freestyle…,Freestyle Releasing,"$2,571 ","$1,668 ",10
623,L.A. Slasher,Archstone…,Archstone Entertainment,"$2,421 ","$2,421 ",7
624,La dame dans l'auto avec des lunettes et un fus…,Magnolia…,Magnolia Pictures,"$2,167 ",$297 ,2
625,"Me, You and Five Bucks",IndicanP…,Indican Pictures,"$2,105 ",$432 ,2
626,Tracers,Lionsgate,Lionsgate,"$2,000 ",$0 ,12
627,Sneakerheadz,Submarine…,Submarine Deluxe,"$1,903 ","$1,903 ",3
628,Everly,RADiUS-TWC,RADiUS-TWC,"$1,800 ",$0 ,17
629,The Other Man: F.W. de Klerk and the End of Apa…,FirstRun…,First Run Features,"$1,747 ","$1,153 ",1
630,Dark Forest,Zell-Koj…,Zell-Koj Studio,"$1,739 ",$0 ,1
631,The Looking Glass,FirstRun…,First Run Features,"$1,711 ",$214 ,2
632,Drown,Strand,Strand,"$1,631 ",$860 ,1
