Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
66,Everest,Universal,Universal Studio,"$43,482,270 ","$7,222,035 ","3,009"
67,The Night Before,SonyPict…,Sony Pictures,"$43,035,725 ","$9,880,536 ","2,960"
68,Krampus,Universal,Universal Studio,"$42,725,475 ","$16,293,325 ","2,919"
69,Max,WarnerBros.,Warner Bros.,"$42,656,255 ","$12,155,254 ","2,870"
70,The Age of Adaline,Lionsgate,Lionsgate,"$42,629,776 ","$13,203,458 ","3,070"
71,Brooklyn,FoxSearc…,Fox Searchlight,"$38,322,743 ","$187,281 ",962
72,The Longest Ride,20thCent…,20th Century,"$37,446,117 ","$13,019,686 ","3,371"
73,The Boy Next Door,Universal,Universal Studio,"$36,006,065 ","$14,910,105 ","2,615"
74,Pan,WarnerBros.,Warner Bros.,"$35,088,320 ","$15,315,435 ","3,515"
75,Hot Pursuit,WarnerBros.,Warner Bros.,"$34,580,201 ","$13,942,258 ","3,037"
76,Concussion,SonyPict…,Sony Pictures,"$34,531,832 ","$10,513,749 ","2,841"
77,The DUFF,CBSFilms,CBS Films,"$34,030,343 ","$10,809,149 ","2,622"
78,Woman in Gold,Weinstein…,Weinstein Co.,"$33,307,793 ","$2,091,551 ","2,011"
79,The Second Best Exotic Marigold Hotel,FoxSearc…,Fox Searchlight,"$33,078,266 ","$8,540,370 ","2,022"
80,Unfriended,Universal,Universal Studio,"$32,789,645 ","$15,845,115 ","2,775"
81,Entourage,WarnerBros.,Warner Bros.,"$32,363,404 ","$10,283,250 ","3,108"
82,Paper Towns,20thCent…,20th Century,"$32,000,304 ","$12,650,140 ","3,031"
83,Chappie,SonyPict…,Sony Pictures,"$31,569,268 ","$13,346,782 ","3,201"
84,Crimson Peak,Universal,Universal Studio,"$31,090,320 ","$13,143,310 ","2,991"
85,A Walk in the Woods,BroadGre…,Broad Green Pictures,"$29,499,394 ","$8,246,267 ","2,158"
86,Point Break,WarnerBros.,Warner Bros.,"$28,782,481 ","$9,800,252 ","2,910"
87,Sinister 2,FocusFea…,Focus Features,"$27,740,955 ","$10,542,116 ","2,799"
88,The Last Witch Hunter,Lionsgate,Lionsgate,"$27,367,660 ","$10,812,861 ","3,082"
89,No Escape,Weinstein…,Weinstein Co.,"$27,288,872 ","$8,111,264 ","3,415"
90,Ricki and the Flash,SonyPict…,Sony Pictures,"$26,839,498 ","$6,618,610 ","2,064"
91,The Woman in Black 2: Angel of Death,Relativity,Relativity,"$26,501,323 ","$15,027,415 ","2,602"
92,Run All Night,WarnerBros.,Warner Bros.,"$26,461,644 ","$11,012,305 ","3,171"
93,Love the Coopers,CBSFilms,CBS Films,"$26,302,731 ","$8,317,545 ","2,603"
94,The Lazarus Effect,Lionsgate,Lionsgate,"$25,801,570 ","$10,203,437 ","2,666"
95,Ex Machina,A24,A24,"$25,440,971 ","$237,264 ","2,004"
96,In the Heart of the Sea,WarnerBros.,Warner Bros.,"$25,020,758 ","$11,053,366 ","3,103"
97,The Gallows,WarnerBros.,Warner Bros.,"$22,764,410 ","$9,808,463 ","2,720"
98,Hitman: Agent 47,20thCent…,20th Century,"$22,467,450 ","$8,326,530 ","3,273"
99,Project Almanac,Paramount…,Paramount Pictures,"$22,348,241 ","$8,310,252 ","2,900"
100,Black or White,Relativity,Relativity,"$21,571,189 ","$6,213,362 ","1,823"
101,Aloha,SonyPict…,Sony Pictures,"$21,052,030 ","$9,670,235 ","2,815"
102,Secret in Their Eyes,STXEnter…,STX Entertainment,"$20,180,155 ","$6,652,996 ","2,392"
103,Shaun the Sheep,Lionsgate,Lionsgate,"$19,375,982 ","$4,038,962 ","2,360"
104,Still Alice,SonyPict…,Sony Pictures,"$18,656,400 ","$212,000 ","1,318"
105,Paranormal Activity: The Ghost Dimension,Paramount…,Paramount Pictures,"$18,297,124 ","$8,070,493 ","1,656"
106,Steve Jobs,Universal,Universal Studio,"$17,766,658 ","$521,522 ","2,493"
107,Mr. Holmes,Miramax/R…,Miramax,"$17,737,646 ","$2,434,908 ",898
108,Seventh Son,Universal,Universal Studio,"$17,725,785 ","$7,217,640 ","2,875"
109,Dope,OpenRoad,Open Road,"$17,506,470 ","$6,100,010 ","2,002"
110,Monkey Kingdom,WaltDisney,Walt Disney,"$16,432,322 ","$4,577,861 ","2,012"
111,The Transporter Refueled,EuropaCorp,Europa Corp,"$16,029,670 ","$7,355,622 ","3,434"
112,Room,A24,A24,"$14,677,674 ","$118,298 ",862
113,It Follows,RADiUS-TWC,RADiUS-TWC,"$14,674,077 ","$160,089 ","1,655"
