Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Avengers: Endgame,WaltDisney,Walt Disney,"$858,373,000 ","$357,115,007 ","4,662"
2,The Lion King,WaltDisney,Walt Disney,"$543,638,043 ","$191,770,759 ","4,802"
3,Star Wars: The Rise of Skywalker,WaltDisney,Walt Disney,"$515,202,542 ","$177,383,864 ","4,406"
4,Frozen II,WaltDisney,Walt Disney,"$477,373,578 ","$130,263,358 ","4,440"
5,Toy Story 4,WaltDisney,Walt Disney,"$434,038,008 ","$120,908,065 ","4,575"
6,Captain Marvel,WaltDisney,Walt Disney,"$426,829,839 ","$153,433,423 ","4,310"
7,Spider-Man: Far From Home,SonyPict…,Sony Pictures,"$390,532,085 ","$92,579,212 ","4,634"
8,Aladdin,WaltDisney,Walt Disney,"$355,559,216 ","$91,500,929 ","4,476"
9,Joker,WarnerBros.,Warner Bros.,"$335,451,311 ","$96,202,337 ","4,374"
10,Jumanji: The Next Level,SonyPict…,Sony Pictures,"$316,831,246 ","$59,251,543 ","4,227"
11,It: Chapter Two,WarnerBros.,Warner Bros.,"$211,593,228 ","$91,062,152 ","4,570"
12,Us,Universal,Universal Studio,"$175,084,580 ","$71,117,625 ","3,743"
13,Fast & Furious Presents: Hobbs & Shaw,Universal,Universal Studio,"$173,956,935 ","$60,038,950 ","4,344"
14,John Wick: Chapter 3 -Parabellum,Lionsgate,Lionsgate,"$171,016,727 ","$56,818,067 ","3,850"
15,Knives Out,Lionsgate,Lionsgate,"$165,364,060 ","$26,769,548 ","3,461"
16,How to Train Your Dragon: The Hidden World,Universal,Universal Studio,"$160,799,505 ","$55,022,245 ","4,286"
17,1917,Universal,Universal Studio,"$159,227,644 ","$576,216 ","3,987"
18,The Secret Life of Pets 2,Universal,Universal Studio,"$158,874,395 ","$46,652,680 ","4,564"
19,Pokémon: Detective Pikachu,WarnerBros.,Warner Bros.,"$144,105,346 ","$54,365,242 ","4,248"
20,Once Upon a Time…in Hollywood,SonyPict…,Sony Pictures,"$142,502,728 ","$41,082,018 ","3,659"
