Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Rogue One: A Star Wars Story,WaltDisney,Walt Disney,"$532,177,324 ","$155,081,681 ","4,157"
2,Finding Dory,WaltDisney,Walt Disney,"$486,295,561 ","$135,060,273 ","4,305"
3,Captain America: Civil War,WaltDisney,Walt Disney,"$408,084,349 ","$179,139,142 ","4,226"
4,The Secret Life of Pets,Universal,Universal Studio,"$368,384,330 ","$104,352,905 ","4,381"
5,The Jungle Book,WaltDisney,Walt Disney,"$364,001,123 ","$103,261,464 ","4,144"
6,Deadpool,20thCent…,20th Century,"$363,070,709 ","$132,434,639 ","3,856"
7,Zootopia,WaltDisney,Walt Disney,"$341,268,248 ","$75,063,401 ","3,959"
8,Batman v Superman: Dawn of Justice,WarnerBros.,Warner Bros.,"$330,360,194 ","$166,007,347 ","4,256"
9,Suicide Squad,WarnerBros.,Warner Bros.,"$325,100,054 ","$133,682,248 ","4,255"
10,Sing,Universal,Universal Studio,"$270,329,045 ","$35,258,145 ","4,029"
11,Moana,WaltDisney,Walt Disney,"$248,757,044 ","$56,631,401 ","3,875"
12,Fantastic Beasts and Where to Find Them,WarnerBros.,Warner Bros.,"$234,037,575 ","$74,403,387 ","4,144"
13,Doctor Strange,WaltDisney,Walt Disney,"$232,641,920 ","$85,058,311 ","3,882"
14,Hidden Figures,20thCent…,20th Century,"$169,607,287 ","$515,499 ","3,416"
15,Jason Bourne,Universal,Universal Studio,"$162,192,920 ","$59,215,365 ","4,039"
16,Star Trek Beyond,Paramount…,Paramount Pictures,"$158,848,340 ","$59,253,211 ","3,928"
17,X-Men: Apocalypse,20thCent…,20th Century,"$155,442,489 ","$65,769,562 ","4,153"
18,Trolls,20thCent…,20th Century,"$153,707,064 ","$46,581,142 ","4,066"
19,La La Land,Lionsgate,Lionsgate,"$151,101,803 ","$881,104 ","3,236"
20,Kung Fu Panda 3,20thCent…,20th Century,"$143,528,619 ","$41,282,042 ","3,987"
21,Ghostbusters,SonyPict…,Sony Pictures,"$128,350,574 ","$46,018,755 ","3,963"
22,Central Intelligence,WarnerBros.,Warner Bros.,"$127,440,871 ","$35,535,250 ","3,508"
23,The Legend of Tarzan,WarnerBros.,Warner Bros.,"$126,643,061 ","$38,527,856 ","3,591"
24,Sully,WarnerBros.,Warner Bros.,"$125,070,033 ","$35,028,301 ","3,955"
25,Bad Moms,STXEnter…,STX Entertainment,"$113,257,297 ","$23,817,340 ","3,215"
26,The Angry Birds Movie,SonyPict…,Sony Pictures,"$107,509,366 ","$38,155,177 ","3,932"
27,Independence Day: Resurgence,20thCent…,20th Century,"$103,144,286 ","$41,039,944 ","4,091"
28,The Conjuring 2: The Enfield Poltergeist,WarnerBros.,Warner Bros.,"$102,470,008 ","$40,406,314 ","3,356"
29,Arrival,Paramount…,Paramount Pictures,"$100,546,139 ","$24,074,047 ","3,115"
30,Passengers,SonyPict…,Sony Pictures,"$100,014,699 ","$14,869,736 ","3,478"
31,Sausage Party,SonyPict…,Sony Pictures,"$97,670,358 ","$34,263,534 ","3,135"
32,The Magnificent Seven,SonyPict…,Sony Pictures,"$93,432,655 ","$34,703,397 ","3,696"
33,Ride Along 2,Universal,Universal Studio,"$90,862,685 ","$35,243,095 ","3,192"
34,Don't Breathe,SonyPict…,Sony Pictures,"$89,217,875 ","$26,411,706 ","3,384"
