Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
35,Miss Peregrine's Home for Peculiar Children,20thCent…,20th Century,"$87,242,834 ","$28,871,140 ","3,835"
36,The Accountant,WarnerBros.,Warner Bros.,"$86,260,045 ","$24,710,273 ","3,402"
37,Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount…,Paramount Pictures,"$82,051,601 ","$35,316,382 ","4,071"
38,The Purge: Election Year,Universal,Universal Studio,"$79,042,440 ","$31,515,110 ","2,821"
39,Alice Through the Looking Glass,WaltDisney,Walt Disney,"$77,042,381 ","$26,858,726 ","3,763"
40,Pete's Dragon,WaltDisney,Walt Disney,"$76,233,151 ","$21,514,095 ","3,702"
41,The Girl on the Train,Universal,Universal Studio,"$75,395,035 ","$24,536,265 ","3,241"
42,Tyler Perry's Boo! A Madea Halloween,Lionsgate,Lionsgate,"$73,206,343 ","$28,501,448 ","2,299"
43,Storks,WarnerBros.,Warner Bros.,"$72,679,278 ","$21,311,407 ","3,922"
44,10 Cloverfield Lane,Paramount…,Paramount Pictures,"$72,082,999 ","$24,727,437 ","3,427"
45,Lights Out,WarnerBros.,Warner Bros.,"$67,268,835 ","$21,688,103 ","2,835"
46,Hacksaw Ridge,Lionsgate,Lionsgate,"$67,209,615 ","$15,190,758 ","2,971"
47,The Divergent Series: Allegiant,Lionsgate,Lionsgate,"$66,184,051 ","$29,027,348 ","3,740"
48,Now You See Me 2,Lionsgate,Lionsgate,"$65,075,540 ","$22,383,146 ","3,232"
49,Ice Age: Collision Course,20thCent…,20th Century,"$64,063,008 ","$21,373,064 ","3,997"
50,The Boss,Universal,Universal Studio,"$63,077,560 ","$23,586,645 ","3,495"
51,London Has Fallen,FocusFea…,Focus Features,"$62,524,260 ","$21,635,601 ","3,492"
52,Miracles from Heaven,SonyPict…,Sony Pictures,"$61,705,123 ","$14,812,393 ","3,155"
53,Deepwater Horizon,Lionsgate,Lionsgate,"$61,433,527 ","$20,223,544 ","3,403"
54,Why Him?,20thCent…,20th Century,"$60,323,786 ","$11,002,986 ","3,008"
55,My Big Fat Greek Wedding 2,Universal,Universal Studio,"$59,689,605 ","$17,861,950 ","3,179"
56,Jack Reacher: Never Go Back,Paramount…,Paramount Pictures,"$58,697,076 ","$22,872,490 ","3,780"
57,Fences,Paramount…,Paramount Pictures,"$57,682,904 ","$129,462 ","2,368"
58,Me Before You,WarnerBros.,Warner Bros.,"$56,245,075 ","$18,723,269 ","2,762"
59,The BFG,WaltDisney,Walt Disney,"$55,483,770 ","$18,775,350 ","3,392"
60,Neighbors 2: Sorority Rising,Universal,Universal Studio,"$55,340,730 ","$21,760,405 ","3,416"
61,The Shallows,SonyPict…,Sony Pictures,"$55,121,623 ","$16,800,868 ","2,962"
62,Office Christmas Party,Paramount…,Paramount Pictures,"$54,767,494 ","$16,890,204 ","3,210"
63,Assassin's Creed,20thCent…,20th Century,"$54,647,948 ","$10,278,225 ","2,996"
64,Barbershop: The Next Cut,WarnerBros.,Warner Bros.,"$54,030,051 ","$20,242,415 ","2,676"
65,13 Hours: The Secret Soldiers of Benghazi,Paramount…,Paramount Pictures,"$52,853,219 ","$16,194,738 ","2,917"
66,Lion,Weinstein…,Weinstein Co.,"$51,739,495 ","$123,360 ","1,802"
67,Kubo and the Two Strings,FocusFea…,Focus Features,"$48,023,088 ","$12,608,372 ","3,279"
68,The Huntsman: Winter's War,Universal,Universal Studio,"$48,003,015 ","$19,445,035 ","3,802"
69,Manchester by the Sea,Roadside…,Roadside Attractions,"$47,695,371 ","$256,498 ","1,213"
70,Warcraft,Universal,Universal Studio,"$47,365,290 ","$24,166,110 ","3,406"
71,How to be Single,WarnerBros.,Warner Bros.,"$46,843,513 ","$17,878,911 ","3,357"
72,Mike and Dave Need Wedding Dates,20thCent…,20th Century,"$46,009,673 ","$16,628,170 ","3,008"
73,War Dogs,WarnerBros.,Warner Bros.,"$43,034,523 ","$14,685,305 ","3,258"
74,Almost Christmas,Universal,Universal Studio,"$42,065,185 ","$15,134,235 ","2,379"
75,Money Monster,SonyPict…,Sony Pictures,"$41,012,075 ","$14,788,157 ","3,104"
76,Allied,Paramount…,Paramount Pictures,"$40,098,064 ","$12,701,743 ","3,160"
77,Nerve,Lionsgate,Lionsgate,"$38,583,626 ","$9,445,456 ","2,538"
78,Risen,SonyPict…,Sony Pictures,"$36,880,033 ","$11,801,271 ","2,915"
79,The Nice Guys,WarnerBros.,Warner Bros.,"$36,261,763 ","$11,203,270 ","2,865"
80,The Boy,STXEnter…,STX Entertainment,"$35,819,556 ","$10,778,392 ","2,671"
81,Dirty Grandpa,Lionsgate,Lionsgate,"$35,593,113 ","$11,111,875 ","2,912"
82,Ouija: Origin of Evil,Universal,Universal Studio,"$35,144,505 ","$14,065,500 ","3,168"
83,The 5th Wave,SonyPict…,Sony Pictures,"$34,912,982 ","$10,326,356 ","2,908"
84,Inferno,SonyPict…,Sony Pictures,"$34,343,574 ","$14,860,425 ","3,576"
85,Mother's Day,OpenRoad,Open Road,"$32,492,859 ","$8,369,184 ","3,291"
86,Patriots Day,Lionsgate,Lionsgate,"$31,886,361 ","$161,306 ","3,120"
87,Gods of Egypt,Lionsgate,Lionsgate,"$31,153,464 ","$14,123,903 ","3,117"
88,Collateral Beauty,WarnerBros.,Warner Bros.,"$31,016,021 ","$7,102,085 ","3,528"
89,"Hail, Caesar!",Universal,Universal Studio,"$30,080,225 ","$11,355,225 ","2,248"
90,When the Bough Breaks,SonyPict…,Sony Pictures,"$29,747,603 ","$14,202,323 ","2,246"
91,Zoolander 2,Paramount…,Paramount Pictures,"$28,848,693 ","$13,841,146 ","3,418"
92,Moonlight,A24,A24,"$27,854,931 ","$402,075 ","1,564"
93,The Finest Hours,WaltDisney,Walt Disney,"$27,569,558 ","$10,288,932 ","3,143"
94,Florence Foster Jenkins,Paramount…,Paramount Pictures,"$27,383,770 ","$6,601,313 ","1,528"
95,Hell or High Water,Lionsgate,Lionsgate,"$27,007,844 ","$621,329 ","1,505"
96,The Forest,Focus/G…,Focus Features,"$26,594,261 ","$12,741,176 ","2,509"
97,Ben-Hur,Paramount…,Paramount Pictures,"$26,410,477 ","$11,203,815 ","3,084"
98,The Witch,A24,A24,"$25,138,705 ","$8,800,230 ","2,204"
99,Bridget Jones's Baby,Universal,Universal Studio,"$24,139,805 ","$8,571,785 ","2,930"
100,Kevin Hart: What Now?,Universal,Universal Studio,"$23,591,043 ","$11,767,210 ","2,567"
101,Whiskey Tango Foxtrot,Paramount…,Paramount Pictures,"$23,083,334 ","$7,450,275 ","2,413"
102,Snowden,OpenRoad,Open Road,"$21,587,519 ","$8,000,058 ","2,443"
103,Mechanic: Resurrection,Lionsgate,Lionsgate,"$21,218,403 ","$7,456,525 ","2,258"
104,Free State of Jones,STXEnter…,STX Entertainment,"$20,810,036 ","$7,572,206 ","2,815"
105,Blair Witch,Lionsgate,Lionsgate,"$20,777,061 ","$9,576,057 ","3,121"
106,God's Not Dead 2,PureFlix…,Pure Flix Entertainment,"$20,773,069 ","$7,623,662 ","2,419"
107,Keanu,WarnerBros.,Warner Bros.,"$20,591,853 ","$9,453,224 ","2,681"
108,Middle School: The Worst Years of My Life,Lionsgate,Lionsgate,"$20,007,149 ","$6,878,437 ","2,822"
109,Nine Lives,EuropaCorp,Europa Corp,"$19,700,032 ","$6,249,915 ","2,264"
110,Race,FocusFea…,Focus Features,"$19,115,191 ","$7,353,922 ","2,387"
111,The Choice,Lionsgate,Lionsgate,"$18,730,891 ","$6,050,443 ","2,631"
112,Eye in the Sky,Bleecker…,Bleecker Street,"$18,704,596 ","$113,803 ","1,089"
113,Bad Santa 2,BroadGre…,Broad Green Pictures,"$17,782,176 ","$6,176,680 ","2,945"
114,Masterminds,Relativity,Relativity,"$17,356,894 ","$6,541,205 ","3,042"
115,Norm of the North,Lionsgate,Lionsgate,"$17,062,499 ","$6,844,137 ","2,411"
116,The Birth of a Nation,FoxSearc…,Fox Searchlight,"$15,861,566 ","$7,004,254 ","2,105"
117,Eddie the Eagle,20thCent…,20th Century,"$15,789,389 ","$6,084,682 ","2,044"
118,A Beautiful Planet,WaltDisney,Walt Disney,"$15,650,615 ","$223,983 ",155
119,The Infiltrator,BroadGre…,Broad Green Pictures,"$15,436,808 ","$5,303,775 ","1,601"
120,Keeping Up with the Joneses,20thCent…,20th Century,"$14,904,426 ","$5,461,475 ","3,022"
121,Criminal,Lionsgate,Lionsgate,"$14,708,696 ","$5,767,278 ","2,683"
122,"Hello, My Name is Doris",Roadside…,Roadside Attractions,"$14,444,999 ","$84,986 ",979
123,The Edge of Seventeen,STXEnter…,STX Entertainment,"$14,431,633 ","$4,754,215 ","1,945"
124,Love & Friendship,Roadside…,Roadside Attractions,"$14,016,568 ","$133,513 ",826
125,Jackie,FoxSearc…,Fox Searchlight,"$13,960,394 ","$278,715 ",508
126,Hillary's America: The Secret History of the De…,QualityFlix,Quality Flix,"$13,099,931 ","$74,813 ","1,217"
127,Triple 9,OpenRoad,Open Road,"$12,639,297 ","$6,109,085 ","2,205"
128,The Light Between Oceans,WaltDisney,Walt Disney,"$12,545,979 ","$4,765,838 ","1,500"
129,Dangal,UTVCommu…,UTV Communications,"$12,391,761 ","$3,248,481 ",338
130,Fifty Shades of Black,OpenRoad,Open Road,"$11,686,940 ","$5,900,528 ","2,075"
131,No Manches Frida,Lionsgate,Lionsgate,"$11,528,613 ","$3,676,235 ",465
132,Cafe Society,Lionsgate,Lionsgate,"$11,103,205 ","$359,289 ",631
133,Pride and Prejudice and Zombies,SonyPict…,Sony Pictures,"$10,907,291 ","$5,324,240 ","2,931"
134,The Darkness,HighTop…,High Top Releasing,"$10,753,574 ","$4,950,859 ","1,769"
135,Nocturnal Animals,FocusFea…,Focus Features,"$10,663,357 ","$492,648 ","1,262"
136,Live by Night,WarnerBros.,Warner Bros.,"$10,378,555 ","$33,336 ","2,822"
137,The Lady in the Van,SonyPict…,Sony Pictures,"$10,021,175 ","$61,566 ",602
138,The Perfect Match,Lionsgate,Lionsgate,"$9,669,521 ","$4,294,232 ",925
139,Popstar: Never Stop Never Stopping,Universal,Universal Studio,"$9,496,130 ","$4,698,715 ","2,313"
140,Hardcore Henry,STXEnter…,STX Entertainment,"$9,252,038 ","$5,107,604 ","3,015"
141,The Lobster,MongrelM…,Mongrel Media,"$9,196,278 ","$50,003 ",563
142,Meet the Blacks,Freestyle…,Freestyle Releasing,"$9,097,072 ","$4,055,940 ","1,015"
143,Queen of Katwe,WaltDisney,Walt Disney,"$8,874,389 ","$304,933 ","1,259"
144,Ratchet and Clank,FocusFea…,Focus Features,"$8,813,410 ","$4,869,278 ","2,895"
145,Robinson Crusoe,Lionsgate,Lionsgate,"$8,005,586 ","$3,342,697 ","2,493"
146,Loving,FocusFea…,Focus Features,"$7,710,234 ","$159,615 ",572
147,Silence,Paramount…,Paramount Pictures,"$7,100,177 ","$130,880 ","1,580"
148,Shut In,EuropaCorp,Europa Corp,"$6,900,335 ","$3,613,567 ","2,058"
149,The Brothers Grimsby,SonyPict…,Sony Pictures,"$6,864,016 ","$3,258,327 ","2,235"
150,The Young Messiah,FocusFea…,Focus Features,"$6,469,813 ","$3,294,876 ","1,769"
151,Southside with You,Roadside…,Roadside Attractions,"$6,304,223 ","$2,868,403 ",897
152,Captain Fantastic,Bleecker…,Bleecker Street,"$5,879,835 ","$93,824 ",550
153,20th Century Women,A24,A24,"$5,664,763 ","$111,200 ",650
154,Sultan,YashRaj…,Yash Raj Films,"$5,599,781 ","$2,371,100 ",283
155,Hunt for the Wilderpeople,TheOrchard,The Orchard,"$5,205,471 ","$78,439 ",200
156,Bleed for This,OpenRoad,Open Road,"$5,083,906 ","$2,366,810 ","1,549"
157,Incarnate,HighTop…,High Top Releasing,"$4,799,774 ","$2,534,884 ","1,737"
158,Absolutely Fabulous: The Movie,FoxSearc…,Fox Searchlight,"$4,772,155 ","$1,861,118 ",355
159,Hands of Stone,Weinstein…,Weinstein Co.,"$4,712,792 ","$1,751,388 ","2,011"
160,Don't Think Twice,FilmArcade,Film Arcade,"$4,417,983 ","$92,835 ",175
161,The Meddler,SonyPict…,Sony Pictures,"$4,267,219 ","$57,022 ",464
162,Ae Dil Hai Mushkil,FIP,FIP,"$4,264,983 ","$2,191,280 ",302
163,A Hologram for the King,Roadside…,Roadside Attractions,"$4,212,494 ","$1,138,578 ",523
164,Swiss Army Man,A24,A24,"$4,210,454 ","$105,453 ",636
165,Denial,Bleecker…,Bleecker Street,"$4,073,448 ","$93,728 ",648
166,Morgan,20thCent…,20th Century,"$3,915,251 ","$2,012,709 ","2,020"
167,Kabali,Cinegalaxy,Cinegalaxy,"$3,903,095 ","$1,977,716 ",236
168,The Man Who Knew Infinity,IFCFilms,IFC Films,"$3,877,922 ","$80,325 ",348
169,Where to Invade Next,Drafthous…,Drafthouse Films,"$3,827,261 ","$897,034 ",308
170,Max Steel,OpenRoad,Open Road,"$3,818,664 ","$2,182,216 ","2,034"
171,Batman: The Killing Joke,FathomEv…,Fathom Events,"$3,775,000 ",$0 ,"1,325"
172,Midnight Special,WarnerBros.,Warner Bros.,"$3,712,282 ","$190,012 ",521
173,Rules Don't Apply,20thCent…,20th Century,"$3,652,206 ","$1,589,625 ","2,386"
174,Miss Sloane,EuropaCorp,Europa Corp,"$3,500,605 ","$59,797 ","1,648"
175,En man som heter Ove,MusicBox…,Music Box Films,"$3,479,315 ","$54,608 ",194
176,Indignation,Roadside…,Roadside Attractions,"$3,401,155 ","$93,125 ",317
177,Everybody Wants Some,Paramount…,Paramount Pictures,"$3,400,278 ","$312,355 ",454
178,Maggie's Plan,SonyPict…,Sony Pictures,"$3,351,735 ","$63,308 ",335
179,Sing Street,Weinstein…,Weinstein Co.,"$3,237,118 ","$63,573 ",525
180,Mei Ren Yu,SonyPict…,Sony Pictures,"$3,229,457 ","$985,052 ",106
181,Green Room,A24,A24,"$3,220,371 ","$87,984 ",777
182,The Eagle Huntress,SonyPict…,Sony Pictures,"$3,168,664 ","$52,574 ",122
183,Our Kind of Traitor,Roadside…,Roadside Attractions,"$3,153,157 ","$984,698 ",399
184,Compadres,Lionsgate,Lionsgate,"$3,127,773 ","$1,397,434 ",368
185,The Other Side of the Door,20thCent…,20th Century,"$3,000,342 ","$1,211,210 ",585
186,Anthropoid,Bleecker…,Bleecker Street,"$2,963,630 ","$1,233,516 ",452
187,The Beatles: Eight Days a Week,Abramoram…,Abramorama Films,"$2,934,445 ","$785,336 ",155
188,2016 Oscar Shorts,ShortsHD,ShortsHD,"$2,816,816 ","$559,502 ",260
189,Yip Man 3,WellGoUSA,Well Go USA,"$2,679,437 ","$784,839 ",115
190,Miles Ahead,SonyPict…,Sony Pictures,"$2,610,896 ","$114,530 ",527
191,Kapoor & Sons,FIP,FIP,"$2,607,036 ","$986,992 ",153
192,The Disappointments Room,Relativity,Relativity,"$2,423,467 ","$1,402,822 ","1,554"
193,Hillsong: Let Hope Rise,PureFlix…,Pure Flix Entertainment,"$2,394,725 ","$1,357,243 ",816
194,Dear Zindagi,Reliance…,Reliance Big Pictures,"$2,376,479 ","$977,862 ",155
195,Elle,SonyPict…,Sony Pictures,"$2,339,735 ","$50,934 ",143
196,A Aa,BlueskyC…,Bluesky Cinemas,"$2,313,043 ","$1,213,057 ",115
197,Paterson,Bleecker…,Bleecker Street,"$2,141,423 ","$69,335 ",70
198,Busanhaeng,WellGoUSA,Well Go USA,"$2,129,768 ","$284,776 ",36
199,I'm Not Ashamed,PureFlix…,Pure Flix Entertainment,"$2,082,980 ","$927,161 ",516
200,A Bigger Splash,FoxSearc…,Fox Searchlight,"$2,024,099 ","$114,419 ",378
201,The Dressmaker,BroadGre…,Broad Green Pictures,"$2,022,115 ","$185,165 ",174
202,A Ga ssi,Magnolia…,Magnolia Pictures,"$2,006,788 ","$92,129 ",125
203,Desierto,STXEnter…,STX Entertainment,"$2,002,036 ","$514,282 ",168
204,Greater,HammondE…,Hammond Entertainment,"$2,000,093 ","$627,974 ",340
205,Demolition,FoxSearc…,Fox Searchlight,"$1,978,592 ","$1,100,042 ",862
206,Shin Godjira,FUNimation,FUNimation,"$1,908,028 ","$451,293 ",487
207,M.S. Dhoni: The Untold Story,FIP,FIP,"$1,801,550 ","$1,108,650 ",256
208,Busco Novio Para Mi Mujer,Lionsgate,Lionsgate,"$1,741,889 ","$902,457 ",357
209,Billy Lynn's Long Halftime Walk,SonyPict…,Sony Pictures,"$1,738,477 ","$114,129 ","1,176"
210,The Harry Potter IMAX Marathon,WarnerBros.,Warner Bros.,"$1,729,226 ","$1,357,376 ",330
211,The Met: Live in HD - Madama Butterfly,FathomEv…,Fathom Events,"$1,700,900 ","$1,700,900 ",683
212,Fan,YashRaj…,Yash Raj Films,"$1,689,879 ","$1,357,212 ",307
213,Weiner,Sundance…,Sundance Selects,"$1,675,196 ","$84,173 ",88
214,I Saw the Light,SonyPict…,Sony Pictures,"$1,646,788 ","$45,471 ",741
215,Equity,SonyPict…,Sony Pictures,"$1,605,463 ","$82,434 ",255
216,Neerja,FoxInter…,Fox International,"$1,585,687 ","$626,528 ",121
217,Jane Got a Gun,Weinstein…,Weinstein Co.,"$1,513,793 ","$835,572 ","1,210"
218,Priceless,Roadside…,Roadside Attractions,"$1,499,605 ","$707,021 ",303
219,Julieta,SonyPict…,Sony Pictures,"$1,489,848 ",$0 ,48
220,Toni Erdmann,SonyPict…,Sony Pictures,"$1,478,960 ","$40,131 ",112
221,Genius,Roadside…,Roadside Attractions,"$1,361,045 ","$98,274 ",152
222,The Neon Demon,BroadGre…,Broad Green Pictures,"$1,333,124 ","$589,014 ",783
223,El abrazo de la serpiente,Oscillosc…,Oscilloscope Pictures,"$1,329,249 ","$50,955 ",93
224,Housefull 3,ErosEnte…,Eros Entertainment,"$1,326,999 ","$683,620 ",145
225,The Little Prince,Entertain…,Entertainment One,"$1,311,213 ","$116,927 ",163
226,Mohenjo Daro,UTVCommu…,UTV Communications,"$1,264,339 ","$747,791 ",246
227,Lazer Team,RoosterT…,Rooster Teeth,"$1,186,426 ","$108,586 ",35
228,The Music of Strangers: Yo-Yo Ma and the Silk R…,TheOrchard,The Orchard,"$1,169,214 ","$24,614 ",82
229,Vaxxed: From Cover Up to Catastrophe,CinemaLibre,Cinema Libre,"$1,163,265 ","$28,339 ",95
230,Dough,Menemsha…,Menemsha Entertainment,"$1,148,304 ","$50,871 ",55
231,Papa: Hemingway in Cuba,YariFilm…,Yari Film Group Releasing,"$1,115,615 ","$475,224 ",325
232,Certain Women,IFCFilms,IFC Films,"$1,068,054 ","$60,898 ",138
233,Les Innocentes,MusicBox…,Music Box Films,"$1,065,665 ","$30,896 ",69
234,Elvis & Nixon,Bleecker…,Bleecker Street,"$1,055,284 ","$466,447 ",381
235,Operation Chromite,CJEntert…,CJ Entertainment,"$1,022,720 ","$31,662 ",114
236,The Hollars,SonyPict…,Sony Pictures,"$1,016,985 ","$38,210 ",298
237,Baar Baar Dekho,ErosEnte…,Eros Entertainment,"$981,947 ","$612,363 ",146
238,Dark Horse,SonyPict…,Sony Pictures,"$940,715 ","$13,838 ",74
239,Neruda,TheOrchard,The Orchard,"$939,099 ","$29,402 ",46
240,Gentleman,GaatriMedia,Gaatri Media,"$897,876 ","$537,490 ",126
241,Believe,SmithGlo…,Smith Global Media,"$890,303 ","$477,387 ",638
242,Rustom,Independe…,Independent Indian,"$880,000 ","$880,000 ",147
243,Ki & Ka,ErosEnte…,Eros Entertainment,"$857,986 ","$539,521 ",148
244,Premam,BlueskyC…,Bluesky Cinemas,"$825,602 ","$448,129 ",112
245,Dishoom,ErosEnte…,Eros Entertainment,"$812,737 ","$442,299 ",113
246,Operation Mekong,WellGoUSA,Well Go USA,"$800,012 ","$85,082 ",29
247,Goksung,WellGoUSA,Well Go USA,"$786,633 ","$77,892 ",35
248,31,SabanFilms,Saban Films,"$779,820 ","$11,842 ",538
249,Chongqing Hot Pot,ChinaLio…,China Lion Film Distribution,"$776,649 ","$201,960 ",46
250,Born to Be Blue,IFCFilms,IFC Films,"$755,153 ","$14,069 ",79
251,Saturday's Warrior,PurdieDi…,Purdie Distribution,"$744,046 ","$96,041 ",28
252,I Belonged to You,ChinaLio…,China Lion Film Distribution,"$743,507 ",$0 ,50
253,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,ChinaLio…,China Lion Film Distribution,"$709,982 ","$166,391 ",38
254,Little Men,Magnolia…,Magnolia Pictures,"$702,537 ","$30,368 ",61
255,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,ErosEnte…,Eros Entertainment,"$700,723 ","$303,863 ",103
256,Mr. Church,CinelouR…,Cinelou Releasing,"$685,780 ","$338,551 ",354
257,American Honey,A24,A24,"$663,247 ","$71,203 ",135
258,El Jeremías,SonyPict…,Sony Pictures,"$647,701 ","$314,109 ",192
259,The Bronze,SonyPict…,Sony Pictures,"$615,816 ","$368,328 ","1,167"
260,Tickled,Magnolia…,Magnolia Pictures,"$613,956 ","$21,898 ",53
261,City of Gold,IFCFilms,IFC Films,"$608,799 ","$62,959 ",50
262,"Lo And Behold, Reveries Of The Connected World",Magnolia…,Magnolia Pictures,"$594,912 ","$114,273 ",51
263,Wazir,Reliance…,Reliance Big Pictures,"$586,028 ","$586,028 ",111
264,Gleason,OpenRoad,Open Road,"$585,233 ","$91,583 ",148
265,Range 15,Tugg,Tugg,"$575,258 ","$1,044 ",260
266,A Tale of Love and Darkness,FocusWorld,Focus World,"$572,212 ","$37,170 ",66
267,Tunnel,WellGoUSA,Well Go USA,"$568,876 ","$172,521 ",36
268,Knight of Cups,BroadGre…,Broad Green Pictures,"$566,006 ","$60,551 ",68
269,Harry & Snowman,FilmRise,Film Rise,"$562,159 ","$56,842 ",25
270,Cold War 2,WellGoUSA,Well Go USA,"$560,824 ","$157,385 ",23
271,American Pastoral,Lionsgate,Lionsgate,"$544,098 ","$149,038 ",70
272,The Age of Shadows,CJEntert…,CJ Entertainment,"$540,268 ","$165,685 ",33
273,Fitoor,UTVCommu…,UTV Communications,"$528,799 ","$347,164 ",148
274,The First Monday in May,Magnolia…,Magnolia Pictures,"$527,474 ","$99,242 ",45
275,Unsullied,IndicanP…,Indican Pictures,"$510,957 ","$179,112 ",102
276,Marguerite,CohenMed…,Cohen Media,"$497,323 ","$21,723 ",46
277,Bakemono no ko,FUNimation,FUNimation,"$490,643 ","$274,247 ",123
278,Wiener-Dog,Sundance…,Sundance Selects,"$470,575 ","$24,311 ",74
279,Umimachi Diary,SonyPict…,Sony Pictures,"$467,555 ","$25,118 ",33
280,Leokki,JBGPictures,JBG Pictures,"$466,505 ","$113,846 ",26
281,Tang ren jie tan an,ChinaLio…,China Lion Film Distribution,"$459,832 ","$280,281 ",36
282,Omohide poro poro (おもひでぽろぽろ),GKIDS,GKIDS,"$453,241 ","$14,970 ",44
283,Gimme Danger,Magnolia…,Magnolia Pictures,"$440,627 ","$44,725 ",71
284,Baaghi,UTVCommu…,UTV Communications,"$438,207 ","$237,215 ",78
285,I Am not Madame Bovary,WellGoUSA,Well Go USA,"$436,798 ","$181,552 ",38
286,Voiceless,ArtAffects,Art Affects,"$419,952 ","$250,000 ",100
287,Embrace,GathrFilms,Gathr Films,"$412,340 ",$0 ,77
288,Lavenir,IFCFilms,IFC Films,"$388,265 ","$31,936 ",22
289,Luomandike xiaowang shi,ChinaLio…,China Lion Film Distribution,"$367,278 ","$95,514 ",20
290,Mr. Donkey,ChinaLio…,China Lion Film Distribution,"$356,255 ","$86,931 ",27
291,Eat That Question: Frank Zappa in His Own Words,SonyPict…,Sony Pictures,"$355,074 ","$16,695 ",29
292,Happy Bhaag Jayegi,ErosEnte…,Eros Entertainment,"$351,840 ","$159,895 ",78
293,Kahaani 2,ErosEnte…,Eros Entertainment,"$350,703 ",$0 ,81
294,High-Rise,Magnolia…,Magnolia Pictures,"$346,472 ","$79,887 ",41
295,Te3n,Reliance…,Reliance Big Pictures,"$331,507 ","$258,066 ",104
296,Kaashmora,Cinegalaxy,Cinegalaxy,"$327,929 ","$298,674 ",70
297,The Bounce Back,VivaEnte…,Viva Entertainment,"$321,910 ","$227,354 ",615
298,Francofonia,MusicBox…,Music Box Films,"$307,040 ","$22,083 ",25
299,Mia madre,MusicBox…,Music Box Films,"$303,002 ","$34,098 ",35
