Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
65,Den of Thieves,STXEnter…,STX Entertainment,"$44,947,622 ","$15,206,108 ","2,432"
66,First Man,Universal,Universal Studio,"$44,936,545 ","$16,006,065 ","3,640"
67,Hereditary,A24,A24,"$44,069,456 ","$13,575,173 ","2,998"
68,Acrimony,Lionsgate,Lionsgate,"$43,549,096 ","$17,170,707 ","2,006"
69,Sherlock Gnomes,Paramount…,Paramount Pictures,"$43,242,871 ","$10,604,774 ","3,662"
70,Uncle Drew,Lionsgate,Lionsgate,"$42,469,946 ","$15,242,781 ","2,742"
71,Widows,20thCent…,20th Century,"$42,402,632 ","$12,361,307 ","2,803"
72,Truth or Dare,Universal,Universal Studio,"$41,411,015 ","$18,667,855 ","3,068"
73,Paddington 2,WarnerBros.,Warner Bros.,"$40,891,591 ","$11,001,961 ","3,702"
74,"Love, Simon",20thCent…,20th Century,"$40,826,341 ","$11,756,244 ","2,434"
75,Second Act,STXEnter…,STX Entertainment,"$39,282,227 ","$6,489,983 ","2,607"
76,The Commuter,Lionsgate,Lionsgate,"$36,343,858 ","$13,701,452 ","2,892"
77,The 15:17 to Paris,WarnerBros.,Warner Bros.,"$36,276,286 ","$12,554,286 ","3,042"
78,Mile 22,STXEnter…,STX Entertainment,"$36,108,758 ","$13,710,825 ","3,520"
79,Alpha,SonyPict…,Sony Pictures,"$35,851,379 ","$10,352,512 ","2,881"
80,Peppermint,STXEnter…,STX Entertainment,"$35,418,723 ","$13,423,255 ","2,980"
81,The Favourite,FoxSearc…,Fox Searchlight,"$34,366,783 ","$422,410 ","1,554"
82,Death Wish,MGM,MGM,"$34,017,028 ","$13,010,267 ","2,882"
83,The Spy Who Dumped Me,Lionsgate,Lionsgate,"$33,562,069 ","$12,103,043 ","3,111"
84,Annihilation,Paramount…,Paramount Pictures,"$32,732,301 ","$11,071,584 ","2,112"
85,Isle of Dogs,FoxSearc…,Fox Searchlight,"$32,015,231 ","$1,620,294 ","1,947"
86,Nobody's Fool,Paramount…,Paramount Pictures,"$31,713,110 ","$13,743,111 ","2,468"
87,Adrift,STXEnter…,STX Entertainment,"$31,445,011 ","$11,603,039 ","3,015"
88,Robin Hood,Lionsgate,Lionsgate,"$30,824,628 ","$9,195,670 ","2,939"
89,Super Troopers 2,20thCent…,20th Century,"$30,617,396 ","$15,181,624 ","2,125"
90,Holmes & Watson,SonyPict…,Sony Pictures,"$30,568,743 ","$7,411,522 ","2,780"
91,Slender Man,SonyPict…,Sony Pictures,"$30,564,825 ","$11,371,866 ","2,358"
92,Teen Titans Go! To The Movies,WarnerBros.,Warner Bros.,"$29,790,236 ","$10,411,189 ","3,188"
93,The Hate U Give,20thCent…,20th Century,"$29,719,483 ","$512,035 ","2,375"
94,Searching,SonyPict…,Sony Pictures,"$26,015,149 ","$388,769 ","2,009"
95,Winchester,CBSFilms,CBS Films,"$25,091,816 ","$9,307,626 ","2,480"
96,On the Basis of Sex,FocusFea…,Focus Features,"$24,704,837 ","$686,355 ","1,957"
97,The Strangers: Prey at Night,AvironPi…,Aviron Pictures,"$24,431,472 ","$10,402,271 ","2,464"
98,White Boy Rick,SonyPict…,Sony Pictures,"$24,004,833 ","$8,860,431 ","2,504"
99,Won't You Be My Neighbor?,FocusFea…,Focus Features,"$22,835,787 ","$475,419 ",893
100,Overlord,Paramount…,Paramount Pictures,"$21,704,844 ","$10,202,108 ","2,859"
101,Proud Mary,SonyPict…,Sony Pictures,"$20,868,638 ","$9,959,053 ","2,125"
102,The Happytime Murders,STXEnter…,STX Entertainment,"$20,706,452 ","$9,532,425 ","3,256"
103,Superfly,SonyPict…,Sony Pictures,"$20,537,137 ","$6,870,740 ","2,220"
104,They Shall Not Grow Old,WarnerBros.,Warner Bros.,"$17,956,913 ",$0 ,"1,335"
105,Bad Times at the El Royale,20thCent…,20th Century,"$17,839,115 ","$7,132,647 ","2,808"
106,Show Dogs,GlobalRoad,Global Road,"$17,744,685 ","$6,023,972 ","3,212"
107,Operation Finale,MGM,MGM,"$17,612,099 ","$6,022,758 ","1,818"
108,"Paul, Apostle of Christ",SonyPict…,Sony Pictures,"$17,547,999 ","$5,172,585 ","1,746"
109,Free Solo,Greenwich,Greenwich,"$17,541,090 ","$294,288 ",533
110,Sorry to Bother You,Annapurna…,Annapurna Pictures,"$17,493,096 ","$727,266 ","1,050"
111,Chappaquiddick,Entertain…,Entertainment One,"$17,395,521 ","$5,765,854 ","1,645"
112,Mary Queen of Scots,FocusFea…,Focus Features,"$16,648,499 ","$194,777 ","1,052"
113,Forever My Girl,Roadside…,Roadside Attractions,"$16,376,066 ","$4,245,630 ","1,427"
114,Mortal Engines,Universal,Universal Studio,"$15,951,040 ","$7,559,850 ","3,103"
115,Hunter Killer,Lionsgate,Lionsgate,"$15,767,460 ","$6,653,777 ","2,720"
116,If Beale Street Could Talk,Annapurna…,Annapurna Pictures,"$14,915,773 ","$224,476 ","1,018"
117,The Possession of Hannah Grace,SonyPict…,Sony Pictures,"$14,836,174 ","$6,401,744 ","2,298"
118,The Girl in the Spider's Web,SonyPict…,Sony Pictures,"$14,828,555 ","$7,810,112 ","2,929"
119,RBG,Magnolia…,Magnolia Pictures,"$14,051,361 ","$578,470 ",878
120,Eighth Grade,A24,A24,"$13,539,710 ","$263,797 ","1,084"
121,The Darkest Minds,20thCent…,20th Century,"$12,695,691 ","$5,842,609 ","3,127"
122,Three Identical Strangers,Neon,Neon,"$12,320,845 ","$171,503 ",433
123,Upgrade,BHTilt,BH Tilt,"$11,977,130 ","$4,670,905 ","1,458"
124,Padmavati,Paramount…,Paramount Pictures,"$11,846,060 ","$4,493,384 ",354
125,The Old Man and the Gun,FoxSearc…,Fox Searchlight,"$11,277,120 ","$142,131 ","1,042"
126,Hell Fest,CBSFilms,CBS Films,"$11,107,431 ","$5,130,963 ","2,297"
127,Welcome to Marwen,Universal,Universal Studio,"$10,763,520 ","$2,354,205 ","1,911"
