Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Spider-Man: No Way Home,SonyPict…,Sony Pictures,"$804,617,772 ","$260,138,569 ","4,336"
2,Shang-Chi and the Legend of the Ten Rings,WaltDisney,Walt Disney,"$224,543,292 ","$75,388,688 ","4,300"
3,Venom: Let There be Carnage,SonyPict…,Sony Pictures,"$213,550,366 ","$90,033,210 ","4,225"
4,Black Widow,WaltDisney,Walt Disney,"$183,651,655 ","$80,366,312 ","4,275"
5,F9: The Fast Saga,Universal,Universal Studio,"$173,005,945 ","$70,043,165 ","4,203"
6,Eternals,WaltDisney,Walt Disney,"$164,870,264 ","$71,297,219 ","4,090"
7,Sing 2,Universal,Universal Studio,"$162,790,990 ","$22,326,230 ","3,892"
8,No Time to Die,UnitedAr…,United Artists,"$160,891,007 ","$55,225,007 ","4,407"
9,A Quiet Place: Part II,Paramount…,Paramount Pictures,"$160,215,764 ","$47,547,231 ","3,744"
10,Ghostbusters: Afterlife,SonyPict…,Sony Pictures,"$129,360,575 ","$44,008,406 ","4,315"
11,Free Guy,20thCent…,20th Century,"$121,626,598 ","$28,365,416 ","4,165"
12,Jungle Cruise,WaltDisney,Walt Disney,"$116,987,516 ","$35,018,731 ","4,310"
13,Dune,WarnerBros.,Warner Bros.,"$108,327,830 ","$41,011,174 ","4,125"
14,Godzilla vs. Kong,WarnerBros.,Warner Bros.,"$100,916,094 ","$32,200,000 ","3,084"
15,Encanto,WaltDisney,Walt Disney,"$96,093,622 ","$27,206,494 ","3,980"
16,Halloween Kills,Universal,Universal Studio,"$92,002,155 ","$49,404,980 ","3,727"
17,Cruella,WaltDisney,Walt Disney,"$86,103,234 ","$21,496,997 ","3,922"
18,Space Jam: A New Legacy,WarnerBros.,Warner Bros.,"$70,592,228 ","$31,053,362 ","4,002"
19,The Conjuring: The Devil Made Me Do It,WarnerBros.,Warner Bros.,"$65,631,050 ","$24,104,332 ","3,280"
20,Candyman,Universal,Universal Studio,"$61,186,570 ","$22,001,750 ","3,569"
21,The Boss Baby: Family Business,Universal,Universal Studio,"$57,300,280 ","$16,000,665 ","3,688"
22,The Addams Family 2,UnitedAr…,United Artists,"$56,489,153 ","$17,325,007 ","4,207"
23,The Suicide Squad,WarnerBros.,Warner Bros.,"$55,817,425 ","$26,205,415 ","4,019"
24,Raya and the Last Dragon,WaltDisney,Walt Disney,"$54,723,032 ","$8,502,498 ","2,375"
25,House of Gucci,UnitedAr…,United Artists,"$53,809,574 ","$14,423,794 ","3,477"
26,Clifford the Big Red Dog,Paramount…,Paramount Pictures,"$48,947,356 ","$16,627,491 ","3,700"
27,Old,Universal,Universal Studio,"$48,276,510 ","$16,854,735 ","3,379"
28,Kimetsu no Yaiba: Mugen Ressha-Hen,FUNimation,FUNimation,"$47,700,000 ","$22,789,600 ","2,088"
29,Tom and Jerry,WarnerBros.,Warner Bros.,"$46,536,687 ","$14,112,629 ","2,563"
30,The Forever Purge,Universal,Universal Studio,"$44,539,245 ","$12,551,220 ","3,058"
31,Mortal Kombat,WarnerBros.,Warner Bros.,"$42,326,031 ","$23,302,503 ","3,114"
32,Peter Rabbit 2: The Runaway,SonyPict…,Sony Pictures,"$40,501,717 ","$10,101,066 ","3,346"
33,PAW Patrol: The Movie,Paramount…,Paramount Pictures,"$40,127,371 ","$13,148,340 ","3,189"
34,West Side Story,20thCent…,20th Century,"$38,530,322 ","$10,574,618 ","2,820"
35,The Hitman's Wife's Bodyguard,Lionsgate,Lionsgate,"$38,014,727 ","$11,397,820 ","3,361"
36,The Matrix Resurrections,WarnerBros.,Warner Bros.,"$37,686,805 ","$10,749,011 ","3,552"
37,The King's Man,20thCent…,20th Century,"$37,176,373 ","$5,915,542 ","3,180"
38,Don't Breathe 2,SonyPict…,Sony Pictures,"$32,638,038 ","$10,622,473 ","3,005"
39,In the Heights,WarnerBros.,Warner Bros.,"$29,975,167 ","$11,504,710 ","3,509"
40,Snake Eyes: G.I. Joe Origins,Paramount…,Paramount Pictures,"$28,264,325 ","$13,367,853 ","3,540"
41,Nobody,Universal,Universal Studio,"$27,568,035 ","$6,820,100 ","2,567"
42,Wrath of Man,UnitedAr…,United Artists,"$27,466,489 ","$8,309,007 ","3,007"
43,American Underdog: The Kurt Warner Story,Lionsgate,Lionsgate,"$26,514,814 ","$5,861,836 ","2,813"
44,Escape Room: Tournament of Champions,SonyPict…,Sony Pictures,"$25,314,753 ","$8,801,391 ","2,815"
45,Respect,UnitedAr…,United Artists,"$24,278,399 ","$8,807,513 ","3,207"
46,Spiral,Lionsgate,Lionsgate,"$23,216,862 ","$8,750,034 ","2,991"
47,Ron's Gone Wrong,20thCent…,20th Century,"$23,009,270 ","$7,300,225 ","3,560"
48,Spirit Untamed,Universal,Universal Studio,"$17,716,215 ","$6,101,050 ","3,394"
49,Licorice Pizza,UnitedAr…,United Artists,"$17,318,007 ","$345,157 ","1,977"
50,The Green Knight,A24,A24,"$17,173,321 ","$6,745,121 ","2,798"
51,Resident Evil: Welcome to Raccoon City,SonyPict…,Sony Pictures,"$16,937,037 ","$5,319,280 ","2,803"
52,The French Dispatch,Searchlig…,Searchlight Pictures,"$16,124,375 ","$1,348,804 ","1,225"
53,The Marksman,OpenRoad,Open Road,"$15,566,093 ","$3,104,204 ","2,018"
54,The Unholy,SonyPict…,Sony Pictures,"$15,532,137 ","$3,153,456 ","2,057"
55,The Little Things,WarnerBros.,Warner Bros.,"$15,342,746 ","$4,705,527 ","2,206"
56,King Richard,WarnerBros.,Warner Bros.,"$15,129,285 ","$5,406,033 ","3,302"
57,Dear Evan Hansen,Universal,Universal Studio,"$15,002,646 ","$7,442,625 ","3,364"
58,Stillwater,FocusFea…,Focus Features,"$14,465,535 ","$5,188,150 ","2,611"
59,Malignant,WarnerBros.,Warner Bros.,"$13,391,791 ","$5,434,620 ","3,501"
60,Christmas with the Chosen: The Messengers,FathomEv…,Fathom Events,"$13,388,000 ","$4,245,000 ","1,700"
61,Chaos Walking,Lionsgate,Lionsgate,"$13,287,908 ","$3,775,350 ","2,132"
62,Nightmare Alley,Searchlig…,Searchlight Pictures,"$11,338,107 ","$2,811,703 ","2,145"
63,The Last Duel,20thCent…,20th Century,"$10,853,945 ","$4,759,151 ","3,065"
64,Antlers,Searchlig…,Searchlight Pictures,"$10,619,670 ","$4,271,346 ","2,800"
65,Cry Macho,WarnerBros.,Warner Bros.,"$10,310,734 ","$4,426,161 ","4,022"
