Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
66,Last Night in Soho,FocusFea…,Focus Features,"$10,127,625 ","$4,178,460 ","3,016"
67,Boku no Hero Academia: World Heroes' Mission,FUNimation,FUNimation,"$9,767,647 ","$6,219,176 ","1,581"
68,Belfast,FocusFea…,Focus Features,"$9,250,870 ","$1,779,410 ","1,255"
69,The Many Saints of Newark,WarnerBros.,Warner Bros.,"$8,237,403 ","$4,651,571 ","3,181"
70,The Protege,Lionsgate,Lionsgate,"$7,446,823 ","$2,908,221 ","2,577"
71,Those Who Wish Me Dead,WarnerBros.,Warner Bros.,"$7,407,200 ","$2,830,000 ","3,379"
72,The Night House,Searchlig…,Searchlight Pictures,"$7,100,581 ","$2,859,409 ","2,240"
73,Spencer,Neon,Neon,"$7,086,632 ","$2,104,767 ","1,265"
74,Ironbark,Roadside…,Roadside Attractions,"$6,613,432 ","$1,885,829 ","1,641"
75,A Journal for Jordan,SonyPict…,Sony Pictures,"$6,400,032 ","$1,211,089 ","2,500"
76,Judas and the Black Messiah,WarnerBros.,Warner Bros.,"$5,478,009 ","$2,027,076 ","1,906"
77,Roadrunner: A Film About Anthony Bourdain,FocusFea…,Focus Features,"$5,354,970 ","$1,988,795 ",954
78,CopShop,OpenRoad,Open Road,"$5,213,243 ","$2,315,638 ","3,005"
79,Zola,A24,A24,"$4,844,399 ","$1,200,013 ","1,468"
80,Separation,OpenRoad,Open Road,"$4,509,143 ","$1,800,162 ","1,911"
81,Boogie,FocusFea…,Focus Features,"$4,178,620 ","$1,200,165 ","1,272"
82,Reminiscence,WarnerBros.,Warner Bros.,"$3,900,193 ","$1,950,793 ","3,265"
83,Nomadland,Searchlig…,Searchlight Pictures,"$3,700,000 ",$0 ,"1,200"
84,12 Mighty Orphans,SonyPict…,Sony Pictures,"$3,688,723 ","$251,569 ","1,047"
85,Pig,Neon,Neon,"$3,186,667 ","$970,935 ",588
86,The Girl Who Believes In Miracles,AtlasDis…,Atlas Distribution,"$3,163,362 ","$546,000 ","1,012"
87,Voyagers,Lionsgate,Lionsgate,"$3,149,935 ","$1,379,988 ","1,996"
88,Dream Horse,Bleecker…,Bleecker Street,"$2,913,328 ","$794,741 ","1,284"
89,The House Next Door: Meet the Blacks 2,HEFGRele…,HEFG Releasing,"$2,893,660 ","$1,011,756 ",539
90,Here Today,SonyPict…,Sony Pictures,"$2,807,494 ","$1,042,171 ","1,230"
91,Finding You,Roadside…,Roadside Attractions,"$2,753,985 ","$920,476 ","1,447"
92,Lamb,A24,A24,"$2,676,410 ","$1,000,089 ",865
93,The Card Counter,FocusFea…,Focus Features,"$2,657,850 ","$1,039,580 ",739
94,Land,FocusFea…,Focus Features,"$2,577,830 ","$899,810 ","1,349"
95,The Eyes of Tammy Faye,Searchlig…,Searchlight Pictures,"$2,404,127 ","$652,358 ","1,352"
96,Doraibu mai kâ,JanusFilms,Janus Films,"$2,352,240 ","$13,775 ",213
97,"Summer of Soul (...Or, When the Revolution Could Not Be Televised",Searchlig…,Searchlight Pictures,"$2,320,649 ","$647,634 ",752
98,Madres paralelas,Roadside…,Roadside Attractions,"$2,297,501 ","$38,249 ",684
99,After We Fell,SuperLTD,Super LTD,"$2,170,750 ","$426,457 ","1,294"
100,The Father,GoodDeed…,Good Deed Entertainment,"$2,120,992 ",$0 ,933
101,C'mon C'mon,MUBI,MUBI,"$2,005,481 ","$134,447 ",569
102,Queen Bees,Gravitas…,Gravitas Venture,"$1,926,706 ","$375,232 ",600
103,Show Me the Father,SonyPict…,Sony Pictures,"$1,803,226 ","$700,181 ","1,073"
104,Profile,FocusFea…,Focus Features,"$1,744,740 ","$730,290 ","2,104"
105,Titane,Neon,Neon,"$1,442,988 ","$533,397 ",562
106,Together Together,Bleecker…,Bleecker Street,"$1,436,324 ","$532,773 ",665
107,Joe Bell,Roadside…,Roadside Attractions,"$1,405,488 ","$749,635 ","1,094"
108,Wrong Turn,SabanFilms,Saban Films,"$1,251,184 ","$107,897 ",259
109,CS Lewis: The Most Reluctant Convert,Trafalgar…,Trafalgar Releasing,"$1,205,000 ",$0 ,400
110,God's Not Dead: We the People,Pinnacle…,Pinnacle Peak,"$1,170,387 ",$0 ,685
111,In the Earth,Neon,Neon,"$1,113,722 ","$505,723 ","1,094"
112,Red Rocket,A24,A24,"$1,039,866 ","$96,593 ",385
113,True To The Game 3,FaithMed…,Faith Media Distribution,"$1,038,255 ","$573,031 ",440
114,Long Weekend,SonyPict…,Sony Pictures,"$1,018,532 ","$245,182 ",821
115,The Jesus Music,Lionsgate,Lionsgate,"$1,016,725 ","$548,848 ",270
116,Un rescate de huevitos,Lionsgate,Lionsgate,"$927,154 ","$428,034 ",320
117,Witnesses,PurdieDi…,Purdie Distribution,"$855,765 ","$134,490 ",90
118,The Alpinist,FathomEv…,Fathom Events,"$844,743 ","$318,648 ",245
119,Four Good Days,Vertical…,Vertical Entertainment,"$837,849 ","$298,358 ",489
120,The Mauritanian,STXEnter…,STX Entertainment,"$836,536 ","$163,789 ",287
121,Blue Bayou,FocusFea…,Focus Features,"$788,675 ","$329,840 ",487
122,The Rescue,Greenwich,Greenwich,"$787,460 ","$69,662 ",561
123,Lamb of God: The Concert Film,PurdieDi…,Purdie Distribution,"$744,812 ","$129,909 ",138
124,French Exit,SonyPict…,Sony Pictures,"$741,895 ",$0 ,493
125,Nine Days,SonyPict…,Sony Pictures,"$694,849 ",$0 ,443
126,"Aline, the voice of love",Roadside…,Roadside Attractions,"$667,815 ",$0 ,68
127,Our Friend,Gravitas…,Gravitas Venture,"$657,511 ","$250,160 ",818
128,The Sparks Brothers,FocusFea…,Focus Features,"$648,665 ","$273,530 ",534
129,Met Opera: Fire Shut Up in My Bones,FathomEv…,Fathom Events,"$610,000 ","$610,000 ",500
130,Werewolves Within,IFCFilms,IFC Films,"$575,783 ","$250,811 ",270
131,City of Lies,SabanFilms,Saban Films,"$572,493 ","$284,561 ",502
132,Mei Yanfang (梅艷芳),CMCPictures,CMC Pictures,"$535,596 ","$82,421 ",15
133,The Truffle Hunters,SonyPict…,Sony Pictures,"$521,202 ",$0 ,105
134,For the Love of Money,Freestyle…,Freestyle Releasing,"$480,774 ","$211,286 ",519
135,National Champions,STXEnter…,STX Entertainment,"$475,488 ","$301,028 ","1,197"
136,Jathi Ratnalu,SelfDist…,Self Distributed,"$460,000 ","$460,000 ",130
137,The Lost Leonardo,SonyPict…,Sony Pictures,"$445,740 ","$12,487 ",217
138,2021 Oscar Shorts,ShortsHD,ShortsHD,"$443,050 ","$81,113 ",184
139,Flag Day,UnitedAr…,United Artists,"$424,667 ","$42,953 ",196
140,Willy's Wonderland,ScreenMe…,Screen Media Films,"$418,286 ","$97,164 ",171
141,Dreamland,Quiver,Quiver,"$409,363 ","$178,602 ",216
142,Julia,SonyPict…,Sony Pictures,"$399,811 ","$18,010 ",288
143,Nou fo,WellGoUSA,Well Go USA,"$385,305 ","$101,926 ",59
144,The Dry,IFCFilms,IFC Films,"$364,397 ","$119,364 ",186
145,Benedetta,IFCFilms,IFC Films,"$354,481 ","$136,839 ",201
146,The Water Man,RLJEnter…,RLJ Entertainment,"$354,087 ","$181,046 ",311
147,Mogadisyu,WellGoUSA,Well Go USA,"$342,598 ","$65,001 ",42
148,Flee,Neon,Neon,"$339,754 ","$24,794 ",220
149,Chang jin hu,CMCPictures,CMC Pictures,"$333,214 ","$105,768 ",20
150,Dutch,FaithMed…,Faith Media Distribution,"$323,167 ","$135,015 ",202
151,Final Account,FocusFea…,Focus Features,"$308,976 ","$139,985 ",308
152,Nuevo Orden,Neon,Neon,"$304,167 ","$144,533 ",236
153,India Sweets and Spices,Bleecker…,Bleecker Street,"$288,714 ","$170,629 ",343
154,Blithe Spirit,IFCFilms,IFC Films,"$282,499 ","$88,559 ",239
155,American Skin,Vertical…,Vertical Entertainment,"$282,332 ","$46,410 ",72
156,I'm Your Man,Bleecker…,Bleecker Street,"$275,158 ","$32,917 ",122
157,A Mouthful of Air,SonyPict…,Sony Pictures,"$269,435 ","$130,701 ",816
158,Rita Moreno: Just a Girl Who Decided to Go for It,Roadside…,Roadside Attractions,"$264,626 ","$84,366 ",227
159,Once I Was Engaged,PurdieDi…,Purdie Distribution,"$254,775 ","$35,304 ",32
160,Supernova,Bleecker…,Bleecker Street,"$234,220 ","$90,096 ",330
161,Becoming Cousteau,Picturehouse,Picturehouse,"$232,285 ","$116,974 ",319
162,Limbo,FocusFea…,Focus Features,"$224,405 ","$84,710 ",213
163,Doctor,Hamsini,Hamsini,"$220,000 ","$220,000 ",119
164,Together,Bleecker…,Bleecker Street,"$214,390 ","$100,066 ",250
165,Ailey,Neon,Neon,"$204,512 ","$15,091 ",88
166,The Resort,Vertical…,Vertical Entertainment,"$191,996 ","$88,831 ",114
167,Âya to majo,GKIDS,GKIDS,"$173,704 ","$124,856 ",430
168,Beans,MongrelM…,Mongrel Media,"$171,208 ",$0 ,22
169,I Carry You With Me,SonyPict…,Sony Pictures,"$166,403 ","$17,127 ",111
170,Shiva Baby,Utopia,Utopia,"$159,294 ","$7,160 ",27
171,Wolf,FocusFea…,Focus Features,"$147,595 ","$82,640 ",308
172,SAS: Red Notice,Vertical…,Vertical Entertainment,"$146,329 ","$78,721 ",189
173,Bergman Island,IFCFilms,IFC Films,"$145,191 ","$55,964 ",115
174,Mass,Bleecker…,Bleecker Street,"$145,175 ","$13,485 ",77
175,The Reckoning,RLJEnter…,RLJ Entertainment,"$143,532 ","$64,911 ",175
176,Held,Magnolia…,Magnolia Pictures,"$142,817 ","$46,277 ",129
177,No Man's Land,IFCFilms,IFC Films,"$139,221 ","$58,969 ",254
178,Six Minutes to Midnight,IFCFilms,IFC Films,"$132,500 ","$51,315 ",145
179,Tadap,20thCent…,20th Century,"$130,934 ","$56,570 ",63
180,Gaia,Neon,Neon,"$126,126 ",$0 ,75
181,Swan Song,Magnolia…,Magnolia Pictures,"$126,110 ","$26,855 ",47
182,The Djinn,IFCMidnight,IFC Midnight,"$124,649 ","$50,312 ",44
183,Walking with Herb,AlohaRel…,Aloha Releasing,"$120,226 ","$69,337 ",507
184,The World to Come,Bleecker…,Bleecker Street,"$113,079 ","$50,384 ",277
185,The Paper Tigers,WellGoUSA,Well Go USA,"$112,691 ","$46,615 ",65
186,Small Engine Repair,Vertical…,Vertical Entertainment,"$110,995 ","$72,479 ",205
187,Jockey,SonyPict…,Sony Pictures,"$108,678 ","$2,789 ",78
188,The Loneliest Whale: The Search for 52,Bleecker…,Bleecker Street,"$107,799 ","$41,131 ",75
189,La panthère des neiges,Oscillosc…,Oscilloscope Pictures,"$107,729 ",$0 ,38
190,Tango Shalom,VisionFilms,Vision Films,"$102,651 ","$20,581 ",29
191,The Misfits,TheAvenu…,The Avenue Entertainment,"$100,671 ",$0 ,0
192,The Souvenir Part II,A24,A24,"$98,929 ","$26,485 ",42
193,Safer at Home,Vertical…,Vertical Entertainment,"$95,643 ","$35,433 ",79
194,Psycho Goreman,RLJEnter…,RLJ Entertainment,"$95,100 ","$40,366 ",70
195,Censor,Magnolia…,Magnolia Pictures,"$90,050 ","$34,299 ",93
196,Mission Stories,ExcelEnt…,Excel Entertainment,"$87,059 ","$24,389 ",44
197,On Broadway,KinoLorber,Kino Lorber,"$82,733 ","$7,433 ",63
198,Undine,IFCFilms,IFC Films,"$79,174 ","$27,065 ",56
199,Retfærdighedens Ryttere,MagnetRe…,Magnet Releasing,"$77,115 ","$15,441 ",18
200,In Balanchine's Classroom,Zeitgeist,Zeitgeist,"$76,650 ","$9,950 ",9
201,Language Lessons,Shout!Fa…,Shout! Factory,"$73,257 ","$26,255 ",44
202,CatVideoFest 2021,Oscillosc…,Oscilloscope Pictures,"$73,015 ","$39,519 ",40
203,Babardeala cu bucluc sau porno balamuc,Magnolia…,Magnolia Pictures,"$72,342 ","$7,672 ",16
204,The Killing of Two Lovers,Neon,Neon,"$72,110 ","$25,378 ",36
205,Summertime,GoodDeed…,Good Deed Entertainment,"$72,012 ","$18,653 ",64
206,Éte 85,MusicBox…,Music Box Films,"$71,788 ","$9,390 ",23
207,Demonic,IFCMidnight,IFC Midnight,"$71,334 ","$40,683 ",85
208,Hard Luck Love Song,Roadside…,Roadside Attractions,"$69,496 ","$36,718 ",172
209,Spy no Tsuma,KinoLorber,Kino Lorber,"$69,464 ","$7,162 ",22
210,Silo,Oscillosc…,Oscilloscope Pictures,"$62,873 ","$51,689 ",208
211,The First Wave,Neon,Neon,"$62,376 ","$60,511 ",11
212,Come True,IFCMidnight,IFC Midnight,"$62,080 ","$31,090 ",96
213,Lansky,Vertical…,Vertical Entertainment,"$61,030 ","$27,474 ",49
214,Kurt Vonnegut: Unstuck in Time,IFCFilms,IFC Films,"$60,389 ","$27,427 ",69
215,Without Getting Killed or Caught,GoodDeed…,Good Deed Entertainment,"$55,333 ","$6,350 ",7
216,Son,RLJEnter…,RLJ Entertainment,"$55,068 ",$0 ,29
217,Christmas Vs The Walters,SafierEn…,Safier Entertainment,"$54,827 ","$27,986 ",80
218,My Salinger Year,IFCFilms,IFC Films,"$54,730 ","$28,851 ",123
219,Truman & Tennessee: An Intimate Conversation,KinoLorber,Kino Lorber,"$54,149 ","$9,050 ",22
220,The Nowhere Inn,IFCFilms,IFC Films,"$54,094 ","$19,054 ",48
221,Azor,MUBI,MUBI,"$53,932 ","$6,320 ",18
222,Ema,MusicBox…,Music Box Films,"$53,437 ","$10,422 ",27
223,Dara iz Jasenovca,101Studios,101 Studios,"$52,786 ","$16,710 ",23
224,My Zoe,BlueFox…,Blue Fox Entertainment,"$52,733 ","$33,230 ",237
225,Om det oändliga,Magnolia…,Magnolia Pictures,"$51,386 ","$8,809 ",17
226,The Vigil,IFCMidnight,IFC Midnight,"$50,439 ","$23,182 ",55
227,France,KinoLorber,Kino Lorber,"$49,351 ","$13,936 ",12
228,Last Call,IFCFilms,IFC Films,"$48,144 ","$29,610 ",110
229,Celle que vous croyez,CohenMed…,Cohen Media,"$45,265 ","$11,223 ",18
230,MLK/FBI,IFCFilms,IFC Films,"$45,200 ","$21,603 ",120
231,Some Kind of Heaven,Magnolia…,Magnolia Pictures,"$45,068 ","$9,820 ",79
232,The Scary of Sixty First,Utopia,Utopia,"$45,005 ","$7,808 ",12
233,Death Rider in the House of Vampires,AtlasDis…,Atlas Distribution,"$44,736 ","$3,004 ",223
234,Old Henry,Shout!Fa…,Shout! Factory,"$42,068 ","$21,161 ",30
235,Senior Moment,ScreenMe…,Screen Media Films,"$41,598 ","$16,543 ",57
236,Luzzu,KinoLorber,Kino Lorber,"$39,948 ","$2,394 ",5
237,Little Fish,IFCFilms,IFC Films,"$39,053 ","$21,555 ",84
238,"All Light, Everywhere",SuperLTD,Super LTD,"$37,266 ","$5,376 ",19
239,Heart of Champions,Vertical…,Vertical Entertainment,"$37,000 ","$37,000 ",102
240,The Human Factor,SonyPict…,Sony Pictures,"$36,693 ","$15,549 ",173
241,Gu Dong Ju Zhong Ju (古董局中局),WellGoUSA,Well Go USA,"$36,501 ","$36,501 ",28
242,Falling for Figaro,IFCFilms,IFC Films,"$35,910 ","$14,335 ",44
243,Youngest Evangelist And The Ministry Of Music,AtlasDis…,Atlas Distribution,"$35,750 ","$27,300 ",223
244,Mainstream,IFCFilms,IFC Films,"$35,481 ","$19,745 ",76
245,Cryptozoo,Magnolia…,Magnolia Pictures,"$33,765 ","$12,891 ",45
246,Confetti,DadaFilms,Dada Films,"$33,500 ","$11,991 ",24
247,Bloody Hell,Entertain…,Entertainment One,"$33,170 ","$13,144 ",21
248,The God Committee,Vertical…,Vertical Entertainment,"$32,934 ","$12,237 ",28
249,Yakuza Princess,Magnolia…,Magnolia Pictures,"$32,124 ","$8,056 ",63
250,Golden Voices,MusicBox…,Music Box Films,"$31,074 ","$6,188 ",14
251,Monday,IFCFilms,IFC Films,"$30,932 ","$18,767 ",54
252,The Beta Test,IFCFilms,IFC Films,"$30,520 ","$17,841 ",25
253,The Perfect Candidate,MusicBox…,Music Box Films,"$30,134 ","$2,795 ",17
254,Trigger Point,ScreenMe…,Screen Media Films,"$29,262 ","$29,262 ",77
255,Settlers,IFCMidnight,IFC Midnight,"$29,183 ","$13,045 ",30
256,La daronne,MusicBox…,Music Box Films,"$29,151 ","$8,891 ",20
257,Holler,IFCFilms,IFC Films,"$28,706 ","$12,026 ",31
258,Writing With Fire,MusicBox…,Music Box Films,"$28,262 ","$3,423 ",9
259,Prisoners of the Ghostland,MongrelM…,Mongrel Media,"$28,204 ","$1,546 ",3
260,"Ma Belle, My Beauty",GoodDeed…,Good Deed Entertainment,"$27,744 ","$8,000 ",52
261,Jakob's Wife,RLJEnter…,RLJ Entertainment,"$27,588 ","$27,588 ",101
262,Our Ladies,SonyPict…,Sony Pictures,"$27,558 ","$8,423 ",25
263,The Night,IFCMidnight,IFC Midnight,"$26,136 ","$11,010 ",35
264,John and the Hole,IFCFilms,IFC Films,"$25,386 ","$16,658 ",42
265,Moffie,IFCFilms,IFC Films,"$24,520 ","$14,007 ",51
266,The Novice,IFCFilms,IFC Films,"$24,322 ","$12,301 ",36
267,The Violent Heart,Gravitas…,Gravitas Venture,"$23,614 ","$13,806 ",93
268,Gully,Vertical…,Vertical Entertainment,"$22,517 ","$14,425 ",100
269,A Soldier's Story 2: Return from the Dead,IndicanP…,Indican Pictures,"$21,543 ","$8,125 ",5
270,Dating & New York,IFCFilms,IFC Films,"$21,515 ","$13,854 ",38
271,"Ras vkhedavt, rodesac cas vukurebt?",MUBI,MUBI,"$21,443 ","$11,468 ",4
272,Harper,IndicanP…,Indican Pictures,"$20,268 ","$10,170 ",5
273,Mandibules,Magnolia…,Magnolia Pictures,"$19,913 ","$7,346 ",22
274,Mystery of the Kingdom of God,AtlasDis…,Atlas Distribution,"$17,316 ","$12,245 ",106
275,Ascension (登楼叹),MTVDocum…,MTV Documentary Films,"$17,200 ","$7,500 ",6
276,How It Ends,UnitedAr…,United Artists,"$16,104 ","$5,792 ",11
277,Sniegu juz nigdy nie bedzie,KinoLorber,Kino Lorber,"$16,049 ","$2,828 ",8
278,First Date,Magnolia…,Magnolia Pictures,"$15,974 ","$8,882 ",21
279,Equal Standard,MutinyPi…,Mutiny Pictures,"$15,938 ","$15,938 ",25
280,The Laws Of The Universe — The Age Of Elohim,Entertain…,Entertainment One,"$15,750 ","$8,183 ",8
281,Even in Dreams,PurdieDi…,Purdie Distribution,"$15,671 ","$6,368 ",12
282,No Ordinary Man,Oscillosc…,Oscilloscope Pictures,"$15,508 ",$0 ,9
283,Best Sellers,ScreenMe…,Screen Media Films,"$15,243 ",$0 ,15
284,We Broke Up,Vertical…,Vertical Entertainment,"$15,063 ","$11,003 ",35
285,Death of a Ladies' Man,MongrelM…,Mongrel Media,"$14,032 ",$0 ,8
286,American Traitor: The Trial of Axis Sally,Vertical…,Vertical Entertainment,"$14,000 ","$14,000 ",1
287,Secret Agent Dingledorf and His Trusty Dog Splat,AtlasDis…,Atlas Distribution,"$13,760 ","$8,865 ",30
288,Hive,Zeitgeist,Zeitgeist,"$13,755 ","$13,755 ",1
289,We Need to Do Something,IFCMidnight,IFC Midnight,"$13,589 ","$6,009 ",27
290,Bring Your Own Brigade,Paramount…,Paramount Pictures,"$13,375 ","$8,334 ",27
291,Stray,Magnolia…,Magnolia Pictures,"$13,325 ","$4,671 ",17
292,Storm Lake,WholeHog…,Whole Hog Films,"$13,028 ","$8,775 ",6
293,Lydia Lunch: The War is Never Over,KinoLorber,Kino Lorber,"$12,948 ","$1,710 ",4
294,The Meaning of Hitler,IFCFilms,IFC Films,"$12,804 ","$4,976 ",17
295,Lorelei,Vertical…,Vertical Entertainment,"$12,642 ",$0 ,11
296,State Funeral,MUBI,MUBI,"$12,424 ","$3,810 ",2
297,The Year of the Everlasting Storm,Neon,Neon,"$12,245 ","$2,624 ",27
298,Sweat,MUBI,MUBI,"$11,546 ",$966 ,6
299,Petite fille,MusicBox…,Music Box Films,"$11,169 ","$2,742 ",7
300,The Aerialist,IndieRights,Indie Rights,"$11,010 ","$11,010 ",1
301,Sabaya,SelfDist…,Self Distributed,"$10,450 ",$0 ,14
302,The Incredible 25th Year of Mitzi Bearclaw,IndicanP…,Indican Pictures,"$10,368 ","$2,403 ",2
303,Dernier amour,DadaFilms,Dada Films,"$9,927 ","$2,126 ",6
304,Can You Bring It: Bill T. Jones and D-Man in th…,KinoLorber,Kino Lorber,"$9,723 ","$2,558 ",7
305,Zombie Bro,IndicanP…,Indican Pictures,"$9,693 ","$1,456 ",2
306,All the Streets are Silent: The Convergence of …,Greenwich,Greenwich,"$9,500 ","$9,500 ",1
307,Average Joe,IndicanP…,Indican Pictures,"$9,176 ","$2,825 ",5
308,Seules les bêtes,CohenMed…,Cohen Media,"$9,138 ","$3,389 ",6
309,Enemies of the State,IFCFilms,IFC Films,"$8,495 ","$4,142 ",13
310,The Feast,IFCMidnight,IFC Midnight,"$8,316 ","$3,620 ",22
311,Sheytan vojud nadarad,KinoLorber,Kino Lorber,"$8,063 ",$0 ,2
312,Blanche comme neige,DadaFilms,Dada Films,"$7,881 ",$998 ,14
313,biwa dangsineui iyagi (비와 당신의 이야기),SonyPict…,Sony Pictures,"$7,334 ","$2,663 ",14
