Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
45,A Dog’s Purpose,Universal,Universal Studio,"$64,321,890 ","$18,222,810 ","3,178"
46,The Shape of Water,FoxSearc…,Fox Searchlight,"$63,859,435 ","$166,564 ","2,341"
47,The Lego Ninjago Movie,WarnerBros.,Warner Bros.,"$59,281,555 ","$20,433,071 ","4,047"
48,Baywatch,Paramount…,Paramount Pictures,"$58,060,186 ","$18,503,871 ","3,647"
49,The Shack,Lionsgate,Lionsgate,"$57,386,418 ","$16,172,119 ","2,888"
50,Darkest Hour,FocusFea…,Focus Features,"$56,443,120 ","$175,006 ","1,733"
51,Happy Death Day,Universal,Universal Studio,"$55,683,845 ","$26,039,025 ","3,535"
52,"Three Billboards Outside Ebbing, Missouri",FoxSearc…,Fox Searchlight,"$54,513,740 ","$322,168 ","1,726"
53,Atomic Blonde,FocusFea…,Focus Features,"$51,573,925 ","$18,286,420 ","3,326"
54,American Made,Universal,Universal Studio,"$51,342,000 ","$16,776,390 ","3,098"
55,The Dark Tower,SonyPict…,Sony Pictures,"$50,701,325 ","$19,153,698 ","3,451"
56,Lady Bird,A24,A24,"$48,958,273 ","$364,437 ","1,557"
57,Tyler Perry’s Boo 2! A Madea Halloween,Lionsgate,Lionsgate,"$47,319,572 ","$21,226,953 ","2,388"
58,Snatched,20thCent…,20th Century,"$45,852,178 ","$19,542,248 ","3,511"
59,The Great Wall,Universal,Universal Studio,"$45,157,105 ","$18,469,620 ","3,328"
60,Smurfs: The Lost Village,SonyPict…,Sony Pictures,"$45,020,282 ","$13,210,449 ","3,610"
61,Going in Style,WarnerBros.,Warner Bros.,"$45,018,541 ","$11,932,330 ","3,076"
62,All Eyez on Me,Lionsgate,Lionsgate,"$44,922,302 ","$26,435,354 ","2,471"
63,xXx: Return of Xander Cage,Paramount…,Paramount Pictures,"$44,898,413 ","$20,130,142 ","3,651"
64,47 Meters Down,Entertain…,Entertainment One,"$44,307,193 ","$11,205,562 ","2,471"
65,The Big Sick,Lionsgate,Lionsgate,"$42,872,467 ","$421,577 ","2,597"
66,The Star,SonyPict…,Sony Pictures,"$40,847,995 ","$9,812,674 ","2,976"
67,Ghost in the Shell,Paramount…,Paramount Pictures,"$40,563,557 ","$18,676,033 ","3,440"
68,Valerian and the City of a Thousand Planets,STXEnter…,STX Entertainment,"$40,479,370 ","$17,007,624 ","3,553"
69,King Arthur: Legend of the Sword,WarnerBros.,Warner Bros.,"$39,175,066 ","$15,371,270 ","3,702"
70,Jigsaw,Lionsgate,Lionsgate,"$38,052,832 ","$16,640,452 ","2,941"
71,American Assassin,Lionsgate,Lionsgate,"$36,249,674 ","$14,846,778 ","3,154"
72,The Foreigner,STXEnter…,STX Entertainment,"$34,393,507 ","$13,113,024 ","2,515"
73,"Everything, Everything",WarnerBros.,Warner Bros.,"$34,121,140 ","$11,727,390 ","2,801"
74,Wind River,Weinstein…,Weinstein Co.,"$33,800,859 ","$161,558 ","2,890"
75,Geostorm,WarnerBros.,Warner Bros.,"$33,700,160 ","$13,707,376 ","3,246"
76,Monster Trucks,Paramount…,Paramount Pictures,"$33,370,166 ","$10,950,705 ","3,119"
77,Fist Fight,WarnerBros.,Warner Bros.,"$32,187,017 ","$12,201,873 ","3,185"
78,How to Be a Latin Lover,Lionsgate,Lionsgate,"$32,149,404 ","$12,252,439 ","1,203"
79,Kidnap,AvironPi…,Aviron Pictures,"$30,718,107 ","$10,016,323 ","2,418"
80,Underworld: Blood Wars,SonyPict…,Sony Pictures,"$30,353,973 ","$13,688,751 ","3,070"
81,The Mountain Between Us,20thCent…,20th Century,"$30,348,555 ","$10,551,336 ","3,259"
82,Life,SonyPict…,Sony Pictures,"$30,234,022 ","$12,501,936 ","3,146"
83,"I, Tonya",Neon,Neon,"$30,014,534 ","$264,155 ","1,450"
84,Hostiles,Entertain…,Entertainment One,"$29,819,114 ","$22,849 ","2,934"
85,Molly’s Game,STXEnter…,STX Entertainment,"$28,780,744 ","$2,349,967 ","1,708"
86,The Nut Job 2: Nutty by Nature,OpenRoad,Open Road,"$28,370,522 ","$8,342,311 ","4,003"
87,Rings,Paramount…,Paramount Pictures,"$27,793,018 ","$13,002,632 ","2,931"
88,Logan Lucky,Bleecker…,Bleecker Street,"$27,778,642 ","$7,600,036 ","3,031"
89,Home Again,OpenRoad,Open Road,"$27,020,284 ","$8,567,881 ","3,036"
90,Resident Evil: The Final Chapter,SonyPict…,Sony Pictures,"$26,844,692 ","$13,601,682 ","3,104"
91,The House,WarnerBros.,Warner Bros.,"$25,584,504 ","$8,724,795 ","3,134"
92,All the Money in the World,SonyPict…,Sony Pictures,"$25,106,325 ","$5,584,684 ","2,123"
93,Gifted,FoxSearc…,Fox Searchlight,"$24,801,212 ","$446,380 ","2,215"
94,Downsizing,Paramount…,Paramount Pictures,"$24,449,754 ","$4,954,287 ","2,668"
95,The Bye Bye Man,STXEnter…,STX Entertainment,"$22,395,806 ","$13,501,349 ","2,220"
96,Victoria and Abdul,FocusFea…,Focus Features,"$22,245,070 ","$158,845 ","1,060"
97,Rough Night,SonyPict…,Sony Pictures,"$22,105,643 ","$8,004,283 ","3,162"
98,My Little Pony: The Movie,Lionsgate,Lionsgate,"$21,885,107 ","$8,885,899 ","2,528"
99,Ballerina,Weinstein…,Weinstein Co.,"$21,858,070 ","$4,730,038 ","2,705"
100,Phantom Thread,FocusFea…,Focus Features,"$21,198,205 ","$216,495 ","1,186"
101,The Disaster Artist,A24,A24,"$21,120,616 ","$1,211,345 ","1,010"
102,Sleepless,OpenRoad,Open Road,"$20,783,704 ","$8,344,128 ","1,803"
103,Diary of a Wimpy Kid: The Long Haul,20thCent…,20th Century,"$20,738,724 ","$7,126,084 ","3,174"
104,The Circle,STXEnter…,STX Entertainment,"$20,497,844 ","$9,034,148 ","3,163"
105,Baahubali 2: The Conclusion,GreatInd…,Great India Films,"$18,985,794 ","$10,430,497 ",425
106,CHiPS,WarnerBros.,Warner Bros.,"$18,600,152 ","$7,722,802 ","2,464"
107,Only the Brave,SonyPict…,Sony Pictures,"$18,340,051 ","$6,002,665 ","2,577"
108,Call Me by Your Name,SonyPict…,Sony Pictures,"$18,065,180 ","$412,932 ",914
109,mother!,Paramount…,Paramount Pictures,"$17,800,004 ","$7,534,673 ","2,368"
110,Father Figures,WarnerBros.,Warner Bros.,"$17,501,244 ","$3,287,451 ","2,902"
111,The Zookeeper’s Wife,FocusFea…,Focus Features,"$17,445,186 ","$3,288,835 ","1,057"
112,The Glass Castle,Lionsgate,Lionsgate,"$17,273,059 ","$4,678,548 ","1,461"
113,Flatliners,SonyPict…,Sony Pictures,"$16,883,115 ","$6,574,326 ","2,552"
114,Detroit,Annapurna…,Annapurna Pictures,"$16,790,139 ","$350,190 ","3,007"
115,The Case for Christ,PureFlix…,Pure Flix Entertainment,"$14,678,714 ","$3,967,885 ","1,386"
116,Wish Upon,BroadGre…,Broad Green Pictures,"$14,301,505 ","$5,467,084 ","2,250"
117,It Comes at Night,A24,A24,"$13,985,117 ","$5,988,370 ","2,533"
118,Born in China,WaltDisney,Walt Disney,"$13,873,211 ","$4,790,367 ","1,508"
119,Megan Leavey,Bleecker…,Bleecker Street,"$13,406,304 ","$3,810,867 ","1,956"
120,The Founder,Weinstein…,Weinstein Co.,"$12,786,053 ","$3,404,102 ","1,115"
121,Battle of the Sexes,FoxSearc…,Fox Searchlight,"$12,638,526 ","$518,332 ","1,822"
122,Before I Fall,OpenRoad,Open Road,"$12,241,072 ","$4,690,214 ","2,346"
123,"Roman J. Israel, Esq.",SonyPict…,Sony Pictures,"$11,962,712 ","$61,999 ","1,669"
124,Unforgettable,WarnerBros.,Warner Bros.,"$11,368,012 ","$4,785,431 ","2,417"
125,The Beguiled,FocusFea…,Focus Features,"$10,576,669 ","$229,292 ",941
126,The Belko Experiment,BHTilt,BH Tilt,"$10,166,820 ","$4,137,230 ","1,341"
127,Marshall,OpenRoad,Open Road,"$10,051,659 ","$3,000,805 ",821
128,Thank You for Your Service,Universal,Universal Studio,"$9,479,390 ","$3,817,700 ","2,083"
129,Rock Dog,Lionsgate,Lionsgate,"$9,420,546 ","$3,704,749 ","2,077"
130,The Lost City of Z,Bleecker…,Bleecker Street,"$8,574,339 ","$110,175 ",866
131,The Promise,OpenRoad,Open Road,"$8,224,288 ","$4,095,718 ","2,251"
132,A Cure for Wellness,20thCent…,20th Century,"$8,106,986 ","$4,356,941 ","2,704"
133,The Space Between Us,STXEnter…,STX Entertainment,"$7,885,294 ","$3,775,596 ","2,812"
134,Let There Be Light,AtlasDis…,Atlas Distribution,"$7,233,471 ","$1,729,535 ",774
135,Gold,Weinstein…,Weinstein Co.,"$7,227,038 ","$3,471,316 ","2,166"
136,I Am Not Your Negro,Magnolia…,Magnolia Pictures,"$7,123,919 ","$686,378 ",320
137,Beatriz at Dinner,Roadside…,Roadside Attractions,"$7,115,854 ","$141,959 ",683
138,Birth of the Dragon,BHTilt,BH Tilt,"$6,901,965 ","$2,702,430 ","1,633"
139,Loving Vincent,GoodDeed…,Good Deed Entertainment,"$6,735,118 ","$23,180 ",218
140,The Snowman,Universal,Universal Studio,"$6,670,765 ","$3,372,565 ","1,815"
141,Same Kind of Different as Me,PureFlix…,Pure Flix Entertainment,"$6,423,605 ","$2,591,985 ","1,362"
142,Lowriders,BHTilt,BH Tilt,"$6,179,955 ","$2,403,885 ",365
143,Maudie,MongrelM…,Mongrel Media,"$6,170,998 ","$45,920 ",233
144,Just Getting Started,BroadGre…,Broad Green Pictures,"$6,069,605 ","$3,201,459 ","2,161"
145,The Florida Project,A24,A24,"$5,904,366 ","$156,833 ",434
146,All Saints,SonyPict…,Sony Pictures,"$5,802,208 ","$1,514,278 ",846
147,Suburbicon,Paramount…,Paramount Pictures,"$5,775,178 ","$2,840,246 ","2,046"
148,The Man Who Invented Christmas,Bleecker…,Bleecker Street,"$5,676,110 ","$1,357,129 ",720
149,Paris Can Wait,SonyPict…,Sony Pictures,"$5,608,745 ","$98,850 ",214
150,Tiger Zinda Hai,YashRaj…,Yash Raj Films,"$5,560,921 ","$1,787,108 ",299
151,Kimi no na wa,FUNimation,FUNimation,"$5,000,181 ","$1,637,510 ",292
152,The Book of Henry,FocusFea…,Focus Features,"$4,288,104 ","$1,424,540 ",650
153,Stronger,Roadside…,Roadside Attractions,"$4,211,129 ","$1,611,040 ",645
154,The Hero,TheOrchard,The Orchard,"$4,077,333 ","$45,317 ",447
155,Sleight,HighTop…,High Top Releasing,"$3,930,990 ","$1,701,785 ",591
156,A United Kingdom,FoxSearc…,Fox Searchlight,"$3,902,185 ","$66,510 ",317
157,Norman: The Moderate Rise and Tragic Fall of a …,SonyPict…,Sony Pictures,"$3,814,868 ","$99,211 ",373
158,Friend Request,Entertain…,Entertainment One,"$3,759,078 ","$2,002,863 ","2,573"
159,A Monster Calls,FocusFea…,Focus Features,"$3,740,823 ","$30,909 ","1,523"
160,Table 19,FoxSearc…,Fox Searchlight,"$3,614,896 ","$1,597,928 ",868
161,Their Finest,STXEnter…,STX Entertainment,"$3,603,484 ","$76,197 ",330
162,Phoenix Forgotten,Entertain…,Entertainment One,"$3,600,146 ","$1,816,499 ","1,633"
163,An Inconvenient Sequel,Paramount…,Paramount Pictures,"$3,496,795 ","$124,823 ",556
164,Til Death Do Us Part,NovusCon…,Novus Content,"$3,424,454 ","$1,527,289 ",562
165,Colossal,Neon,Neon,"$3,194,575 ","$120,226 ",342
166,Ingrid Goes West,Neon,Neon,"$3,021,133 ","$135,301 ",647
167,2017 Oscar Shorts,ShortsHD,ShortsHD,"$2,835,355 ","$692,399 ",272
168,KEDi,Oscillosc…,Oscilloscope Pictures,"$2,834,262 ","$40,103 ",130
169,Zhan Lang 2,TheHCol…,The H Collective,"$2,721,100 ","$219,022 ",53
170,My Cousin Rachel,FoxSearc…,Fox Searchlight,"$2,716,368 ","$969,941 ",531
171,Mayweather vs. McGregor,FathomEv…,Fathom Events,"$2,620,183 ","$2,620,183 ",532
172,A Question of Faith,PureFlix…,Pure Flix Entertainment,"$2,587,072 ","$1,025,489 ",661
173,Is Genesis History?,FathomEv…,Fathom Events,"$2,570,355 ",$0 ,732
174,Hazlo Como Hombre,Lionsgate,Lionsgate,"$2,534,252 ","$1,174,484 ",382
175,LBJ,Electric…,Electric Entertainment,"$2,468,683 ","$1,110,565 ",659
176,Tulip Fever,Weinstein…,Weinstein Co.,"$2,455,635 ","$1,158,017 ",772
177,Forushande,CohenMed…,Cohen Media,"$2,402,067 ","$71,078 ",105
178,T2: Trainspotting,SonyPict…,Sony Pictures,"$2,402,004 ","$170,575 ",331
179,Raees,ZeeStudios,Zee Studios,"$2,369,469 ","$1,798,379 ",256
180,The Resurrection of Gavin Stone,HighTop…,High Top Releasing,"$2,303,792 ","$1,206,771 ",890
181,The Killing of a Sacred Deer,A24,A24,"$2,291,900 ","$115,120 ",238
182,Collide,OpenRoad,Open Road,"$2,280,004 ","$1,512,824 ","2,045"
183,Jeepers Creepers 3,FathomEv…,Fathom Events,"$2,235,162 ",$0 ,669
184,The Lovers,A24,A24,"$2,194,521 ","$66,286 ",443
185,Un Padre No Tan Padre,Lionsgate,Lionsgate,"$2,156,047 ","$978,894 ",312
186,Brad’s Status,Annapurna…,Annapurna Pictures,"$2,133,158 ","$89,921 ",453
187,Good Time,A24,A24,"$2,026,498 ","$125,101 ",721
188,Badrinath Ki Dulhania,FIP,FIP,"$1,993,259 ","$862,008 ",156
189,Todos Queremos a Alguien,Lionsgate,Lionsgate,"$1,915,789 ","$924,201 ",333
190,Along With The Gods: The Two Worlds,WellGoUSA,Well Go USA,"$1,908,822 ","$185,546 ",35
191,Fang Hua,ChinaLio…,China Lion Film Distribution,"$1,891,956 ","$338,604 ",35
192,A Quiet Passion,MusicBox…,Music Box Films,"$1,865,396 ","$45,825 ",135
193,The Wall,Roadside…,Roadside Attractions,"$1,803,064 ","$897,955 ",540
194,Free Fire,A24,A24,"$1,799,322 ","$994,430 ","1,070"
195,The Last Word,Bleecker…,Bleecker Street,"$1,779,620 ","$37,519 ",380
196,Goodbye Christopher Robin,FoxSearc…,Fox Searchlight,"$1,735,251 ","$57,917 ",262
197,Jane,Abramoram…,Abramorama Films,"$1,723,379 ","$58,348 ",96
198,Menashe,A24,A24,"$1,702,996 ","$62,078 ",126
199,Slamma Jamma,Riverrain,Riverrain,"$1,687,000 ","$1,687,000 ",502
200,The Comedian,SonyPict…,Sony Pictures,"$1,658,706 ","$1,100,000 ",848
201,Jolly LLB 2,FIP,FIP,"$1,654,254 ","$774,355 ",173
202,The Little Hours,Gunpowder…,Gunpowder & Sky,"$1,647,175 ","$56,676 ",173
203,A Ghost Story,A24,A24,"$1,594,798 ","$104,030 ",329
204,Professor Marston & The Wonder Women,Annapurna…,Annapurna Pictures,"$1,585,362 ","$736,883 ","1,229"
205,The Stray,PurdieDi…,Purdie Distribution,"$1,579,440 ","$596,547 ",640
206,Taeksi Woonjunsa,WellGoUSA,Well Go USA,"$1,527,829 ","$331,854 ",41
207,The Square,Magnolia…,Magnolia Pictures,"$1,502,347 ","$74,233 ",71
208,Judwaa 2,FIP,FIP,"$1,431,255 ","$638,045 ",192
209,Laavor et hakir,Roadside…,Roadside Attractions,"$1,412,404 ","$31,658 ",123
210,Wonder Wheel,AmazonSt…,Amazon Studios,"$1,403,237 ","$125,570 ",536
211,My Friend Dahmer,FilmRise,Film Rise,"$1,361,611 ","$35,545 ",110
212,The Dinner,TheOrchard,The Orchard,"$1,323,312 ","$653,944 ",505
213,Personal Shopper,IFCFilms,IFC Films,"$1,305,195 ","$79,175 ",153
214,Jab Harry Met Sejal,RedChill…,Red Chillies Entertainment,"$1,284,740 ","$1,284,740 ",280
215,Churchill,CohenMed…,Cohen Media,"$1,279,681 ","$408,891 ",215
216,The Sense of an Ending,CBSFilms,CBS Films,"$1,274,420 ","$39,691 ",281
217,3 Idiotas,Lionsgate,Lionsgate,"$1,249,233 ","$609,249 ",349
218,Ismach Hatani,DadaFilms,Dada Films,"$1,200,885 ","$16,620 ",34
219,The Trip to Spain,IFCFilms,IFC Films,"$1,157,604 ","$40,875 ",134
220,Step,FoxSearc…,Fox Searchlight,"$1,146,292 ","$146,488 ",306
221,Lady Macbeth,Roadside…,Roadside Attractions,"$1,129,408 ","$64,537 ",131
222,Viceroy’s House,IFCFilms,IFC Films,"$1,105,717 ","$48,134 ",116
223,Gunhamdo,CJEntert…,CJ Entertainment,"$1,104,957 ",$0 ,22
224,Wonderstruck,Roadside…,Roadside Attractions,"$1,033,632 ","$65,882 ",261
225,Film Stars Don’t Die in Liverpool,SonyPict…,Sony Pictures,"$1,024,266 ","$45,192 ",107
226,Columbus,Superlati…,Superlative Films,"$1,017,107 ","$26,820 ",63
227,Golmaal Again,Reliance…,Reliance Big Pictures,"$1,013,893 ","$1,013,893 ",267
228,1945,Menemsha…,Menemsha Entertainment,"$1,005,719 ","$20,634 ",19
229,Last Flag Flying,AmazonSt…,Amazon Studios,"$965,481 ","$40,558 ",110
230,Lucky,Magnolia…,Magnolia Pictures,"$955,925 ","$43,293 ",111
231,Visages villages,CohenMed…,Cohen Media,"$952,432 ","$31,006 ",42
232,Landline,AmazonSt…,Amazon Studios,"$940,854 ","$52,555 ",144
233,Tubelight,YashRaj…,Yash Raj Films,"$930,058 ","$930,058 ",338
234,La Tortue Rouge,SonyPict…,Sony Pictures,"$920,057 ","$21,010 ",127
235,Frantz,MusicBox…,Music Box Films,"$880,883 ","$18,745 ",106
236,Xi You Fu Yao Pian,SonyPict…,Sony Pictures,"$880,346 ","$463,883 ",67
237,Jagga Jasoos,UTVCommu…,UTV Communications,"$861,740 ","$490,232 ",210
238,Qian Ren 3: Yan Zhi Da Zuo Zhan,ChinaLio…,China Lion Film Distribution,"$837,791 ","$180,920 ",24
239,Bombshell: The Hedy Lamarr Story,Zeitgeist,Zeitgeist,"$820,300 ","$18,742 ",31
240,Patti Cake$,FoxSearc…,Fox Searchlight,"$800,148 ","$67,599 ",303
241,Mark Felt: The Man Who Brought Down the White H…,SonyPict…,Sony Pictures,"$768,646 ","$34,217 ",332
242,Mubarakan,SonyPict…,Sony Pictures,"$758,868 ","$310,170 ",128
243,Walk with me,GathrFilms,Gathr Films,"$726,593 ",$0 ,4
244,May it Last: A Portrait of the Avett Brothers,Oscillosc…,Oscilloscope Pictures,"$725,286 ","$10,500 ",326
245,Toilet: Ek Prem Katha,Reliance…,Reliance Big Pictures,"$709,420 ","$709,420 ",177
246,The Exception,A24,A24,"$708,972 ","$21,351 ",48
247,Paris pieds nus,Oscillosc…,Oscilloscope Pictures,"$691,597 ","$4,510 ",48
248,The Devotion of Suspect X,ChinaLio…,China Lion Film Distribution,"$686,435 ","$323,207 ",46
249,Wilson,FoxSearc…,Fox Searchlight,"$653,951 ","$336,227 ",311
250,The Only Living Boy in New York,Roadside…,Roadside Attractions,"$624,332 ","$54,458 ",289
251,Sage femme,MusicBox…,Music Box Films,"$603,582 ","$21,341 ",44
252,Jìyì dàshī,ChinaLio…,China Lion Film Distribution,"$587,470 ","$224,942 ",42
253,Master,CJEntert…,CJ Entertainment,"$584,298 ",$0 ,12
254,Novitiate,SonyPict…,Sony Pictures,"$580,346 ","$22,724 ",163
255,Tommy’s Honour,Roadside…,Roadside Attractions,"$569,306 ","$209,190 ",167
256,Bitter Harvest,Roadside…,Roadside Attractions,"$557,241 ","$219,357 ",127
257,Dolores,PBSDistr…,PBS Distribution,"$555,309 ","$13,534 ",33
258,Human Flow,AmazonSt…,Amazon Studios,"$527,845 ","$45,677 ",36
259,Gekijôban Fairy Tail: Dragon Cry,FUNimation,FUNimation,"$519,461 ","$169,203 ",292
260,Brigsby Bear,SonyPict…,Sony Pictures,"$515,765 ","$39,652 ",408
261,Raw,FocusWorld,Focus World,"$514,870 ","$24,825 ",45
262,Shubh Mangal Saavdhan,ErosEnte…,Eros Entertainment,"$511,875 ","$259,999 ",80
263,Breathe,Bleecker…,Bleecker Street,"$489,322 ","$22,285 ",315
264,Once Upon a Time,WellGoUSA,Well Go USA,"$485,728 ","$249,933 ",51
265,Confidential Assignment,CJEntert…,CJ Entertainment,"$475,618 ",$0 ,13
266,Beach Rats,Neon,Neon,"$471,286 ","$46,451 ",67
267,Cheng feng po lang,ChinaLio…,China Lion Film Distribution,"$469,706 ","$160,739 ",30
268,Phillauri,FIP,FIP,"$467,596 ","$260,982 ",74
269,Chasing the Dragon,WellGoUSA,Well Go USA,"$456,854 ","$138,346 ",52
270,Song to Song,BroadGre…,Broad Green Pictures,"$443,684 ","$50,559 ",95
271,Under sandet,SonyPict…,Sony Pictures,"$434,640 ","$13,754 ",40
272,"Gentleman: Sundar, Susheel, Risky",FIP,FIP,"$410,055 ","$191,530 ",135
273,"Love, Kennedy",PurdieDi…,Purdie Distribution,"$407,871 ","$45,285 ",19
274,Chasing Trane: The John Coltrane Documentary,Abramoram…,Abramorama Films,"$406,284 ","$16,626 ",17
275,Tom of Finland,KinoLorber,Kino Lorber,"$378,296 ",$0 ,12
276,Rebel in the Rye,IFCFilms,IFC Films,"$378,294 ","$37,967 ",82
277,Gong fu yu jia,WellGoUSA,Well Go USA,"$362,657 ","$111,979 ",27
278,Ok Jaanu,FIP,FIP,"$355,922 ","$225,968 ",121
279,Long Strange Trip: The Untold Story of the Grat…,Abramoram…,Abramorama Films,"$351,957 ","$43,478 ",54
280,Pearl Jam: Let’s Play Two,Abramoram…,Abramorama Films,"$348,832 ","$53,177 ",206
281,God’s Own Country,SamuelGo…,Samuel Goldwyn Films,"$338,027 ","$17,768 ",13
282,This Is Not What I Expected,WellGoUSA,Well Go USA,"$337,670 ","$135,252 ",36
283,Letters from Baghdad,Vitagraph…,Vitagraph Films,"$336,223 ","$19,725 ",21
284,Chuck,IFCFilms,IFC Films,"$322,005 ","$34,565 ",120
285,Aus dem Nichts,Magnolia…,Magnolia Pictures,"$321,011 ","$10,455 ",35
286,Citizen Jane: Battle for the City,IFCFilms,IFC Films,"$313,411 ","$31,451 ",25
287,Obit,KinoLorber,Kino Lorber,"$312,777 ","$16,185 ",22
288,Feng Ren Ji Yue Dui,WellGoUSA,Well Go USA,"$312,537 ","$115,524 ",43
289,The Breadwinner,GKIDS,GKIDS,"$312,381 ","$17,395 ",43
290,Ma vie de Courgette,GKIDS,GKIDS,"$309,768 ","$28,472 ",52
291,Ittefaq,RedChill…,Red Chillies Entertainment,"$298,032 ","$298,032 ",67
292,Happy End,SonyPict…,Sony Pictures,"$293,163 ","$23,091 ",20
293,Buddies in India,ChinaLio…,China Lion Film Distribution,"$292,662 ","$181,705 ",55
294,I Do…Until I Don’t,FilmArcade,Film Arcade,"$276,608 ","$234,259 ",165
295,Umi yori mo mada fukaku,FilmMove…,Film Movement,"$272,132 ","$27,880 ",38
296,Stalker,JanusFilms,Janus Films,"$268,101 ","$20,540 ",6
297,Wakefield,IFCFilms,IFC Films,"$262,599 ","$11,299 ",30
298,"I, Daniel Blake",IFCFilms,IFC Films,"$260,354 ",$0 ,45
299,Cézanne Et Moi,Magnolia…,Magnolia Pictures,"$257,597 ","$15,744 ",29
300,Dean,CBSFilms,CBS Films,"$254,536 ","$60,366 ",83
301,Gook,SamuelGo…,Samuel Goldwyn Films,"$250,130 ","$27,044 ",46
302,Band Aid,IFCFilms,IFC Films,"$248,370 ","$29,013 ",35
