Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Star Wars Ep. VIII: The Last Jedi,WaltDisney,Walt Disney,"$620,181,382 ","$220,009,584 ","4,232"
2,Beauty and the Beast,WaltDisney,Walt Disney,"$504,014,165 ","$174,750,616 ","4,210"
3,Wonder Woman,WarnerBros.,Warner Bros.,"$412,563,408 ","$103,251,471 ","4,165"
4,Jumanji: Welcome to the Jungle,SonyPict…,Sony Pictures,"$404,508,916 ","$36,169,328 ","3,849"
5,Guardians of the Galaxy Vol 2,WaltDisney,Walt Disney,"$389,813,101 ","$146,510,104 ","4,347"
6,Spider-Man: Homecoming,SonyPict…,Sony Pictures,"$334,201,140 ","$117,027,503 ","4,348"
7,It,WarnerBros.,Warner Bros.,"$328,828,874 ","$123,403,419 ","4,148"
8,Thor: Ragnarok,WaltDisney,Walt Disney,"$315,058,289 ","$122,744,989 ","4,080"
9,Despicable Me 3,Universal,Universal Studio,"$264,624,300 ","$72,434,025 ","4,535"
10,Justice League,WarnerBros.,Warner Bros.,"$229,024,295 ","$93,842,239 ","4,051"
11,Logan,20thCent…,20th Century,"$226,277,068 ","$88,411,916 ","4,071"
12,The Fate of the Furious,Universal,Universal Studio,"$225,764,765 ","$98,786,705 ","4,329"
13,Coco,WaltDisney,Walt Disney,"$210,460,015 ","$50,802,605 ","3,987"
14,Dunkirk,WarnerBros.,Warner Bros.,"$190,068,280 ","$50,513,488 ","4,014"
15,Get Out,Universal,Universal Studio,"$175,837,935 ","$33,377,060 ","3,143"
16,The Lego Batman Movie,WarnerBros.,Warner Bros.,"$175,750,384 ","$53,003,468 ","4,088"
17,The Boss Baby,20thCent…,20th Century,"$175,003,033 ","$50,198,902 ","3,829"
18,The Greatest Showman,20thCent…,20th Century,"$174,340,174 ","$8,805,843 ","3,342"
19,Pirates of the Caribbean: Dead Men Tell No Tales,WaltDisney,Walt Disney,"$172,558,876 ","$62,983,253 ","4,276"
20,Kong: Skull Island,WarnerBros.,Warner Bros.,"$168,052,812 ","$61,025,472 ","3,846"
21,Cars 3,WaltDisney,Walt Disney,"$152,901,115 ","$53,688,680 ","4,256"
22,War for the Planet of the Apes,20thCent…,20th Century,"$146,880,162 ","$56,262,929 ","4,100"
23,Split,Universal,Universal Studio,"$138,141,585 ","$40,010,975 ","3,373"
24,Wonder,Lionsgate,Lionsgate,"$132,422,809 ","$27,547,866 ","3,519"
25,Transformers: The Last Knight,Paramount…,Paramount Pictures,"$130,168,683 ","$44,680,073 ","4,132"
26,Girls Trip,Universal,Universal Studio,"$115,108,515 ","$31,201,920 ","2,648"
27,Fifty Shades Darker,Universal,Universal Studio,"$114,434,010 ","$46,607,250 ","3,714"
28,Baby Driver,SonyPict…,Sony Pictures,"$107,825,862 ","$20,553,320 ","3,226"
29,Pitch Perfect 3,Universal,Universal Studio,"$104,897,530 ","$19,928,525 ","3,468"
30,Daddy’s Home 2,Paramount…,Paramount Pictures,"$104,029,443 ","$29,651,193 ","3,575"
31,Murder on the Orient Express,20thCent…,20th Century,"$102,826,543 ","$28,681,472 ","3,354"
32,Annabelle: Creation,WarnerBros.,Warner Bros.,"$102,092,201 ","$35,006,404 ","3,565"
33,Kingsman: The Golden Circle,20thCent…,20th Century,"$100,234,838 ","$39,023,010 ","4,038"
34,Blade Runner 2049,WarnerBros.,Warner Bros.,"$92,054,159 ","$32,753,122 ","4,058"
35,John Wick: Chapter Two,Lionsgate,Lionsgate,"$92,029,184 ","$30,436,123 ","3,113"
36,The Emoji Movie,SonyPict…,Sony Pictures,"$86,089,513 ","$24,531,923 ","4,075"
37,Power Rangers,Lionsgate,Lionsgate,"$85,364,450 ","$40,300,288 ","3,693"
38,Ferdinand,20thCent…,20th Century,"$84,410,380 ","$13,401,586 ","3,630"
39,The Post,20thCent…,20th Century,"$81,903,458 ","$526,011 ","2,851"
40,The Mummy,Universal,Universal Studio,"$80,101,125 ","$31,668,375 ","4,035"
41,The Hitman’s Bodyguard,Lionsgate,Lionsgate,"$75,468,583 ","$21,384,504 ","3,377"
42,Alien: Covenant,20thCent…,20th Century,"$74,262,031 ","$36,160,621 ","3,772"
43,Captain Underpants: The First Epic Movie,20thCent…,20th Century,"$73,921,000 ","$23,851,539 ","3,529"
44,A Bad Moms Christmas,STXEnter…,STX Entertainment,"$72,110,659 ","$16,759,161 ","3,615"
