Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
74,Hanna,FocusFea…,Focus Features,"$40,259,119 ","$12,370,549 ","2,545"
75,Something Borrowed,WarnerBros.,Warner Bros.,"$39,046,489 ","$13,945,368 ","2,904"
76,Spy Kids: All the Time in the World,Weinstein…,Weinstein Co.,"$38,536,376 ","$11,644,672 ","3,305"
77,Scream 4,Weinstein…,Weinstein Co.,"$38,180,928 ","$18,692,090 ","3,314"
78,Big Mommas: Like Father Like Son,20thCent…,20th Century,"$37,915,414 ","$16,300,803 ","2,821"
79,Red Riding Hood,WarnerBros.,Warner Bros.,"$37,662,162 ","$14,005,335 ","3,030"
80,In Time,20thCent…,20th Century,"$37,553,932 ","$12,050,368 ","3,127"
81,Paul,Universal,Universal Studio,"$37,412,945 ","$13,043,310 ","2,806"
82,J. Edgar,WarnerBros.,Warner Bros.,"$37,306,030 ","$11,217,324 ","1,985"
83,The Roommate,SonyPict…,Sony Pictures,"$37,300,107 ","$15,002,635 ","2,534"
84,Jumping the Broom,SonyPict…,Sony Pictures,"$37,295,394 ","$15,215,487 ","2,035"
85,The Change-Up,Universal,Universal Studio,"$37,243,418 ","$13,531,115 ","2,913"
86,30 Minutes or Less,SonyPict…,Sony Pictures,"$37,053,924 ","$13,330,118 ","2,888"
87,Colombiana,SonyPict…,Sony Pictures,"$36,665,854 ","$10,408,176 ","2,614"
88,Sucker Punch,WarnerBros.,Warner Bros.,"$36,392,502 ","$19,058,199 ","3,033"
89,Larry Crowne,Universal,Universal Studio,"$35,608,245 ","$13,096,065 ","2,976"
90,A Very Harold & Kumar 3D Christmas,WarnerBros.,Warner Bros.,"$35,061,031 ","$12,954,142 ","2,875"
91,Drive,FilmDistrict,Film District,"$35,060,689 ","$11,340,461 ","2,904"
92,Courageous,SonyPict…,Sony Pictures,"$35,017,223 ","$9,112,839 ","1,214"
93,50/50,SummitEn…,Summit Entertainment,"$35,016,118 ","$8,644,095 ","2,479"
94,The Rite,WarnerBros.,Warner Bros.,"$33,047,633 ","$14,789,393 ","2,985"
95,Arthur,WarnerBros.,Warner Bros.,"$33,035,397 ","$12,222,756 ","3,276"
96,Extremely Loud and Incredibly Close,WarnerBros.,Warner Bros.,"$31,847,881 ","$72,348 ","2,630"
97,The Debt,FocusFea…,Focus Features,"$31,177,548 ","$9,909,499 ","1,876"
98,The Sitter,20thCent…,20th Century,"$30,542,576 ","$9,851,435 ","2,752"
99,Priest,SonyPict…,Sony Pictures,"$29,136,626 ","$14,953,664 ","2,864"
100,The Mechanic,CBSFilms,CBS Films,"$29,121,498 ","$11,422,006 ","2,704"
101,Abduction,Lionsgate,Lionsgate,"$28,087,155 ","$10,925,253 ","3,118"
102,Beastly,CBSFilms,CBS Films,"$27,865,571 ","$9,851,102 ","1,959"
103,Winnie the Pooh,WaltDisney,Walt Disney,"$26,692,846 ","$7,857,076 ","2,405"
104,Born to be Wild 3D,WarnerBros.,Warner Bros.,"$25,932,762 ","$871,478 ",208
105,Killer Elite,OpenRoad,Open Road,"$25,124,986 ","$9,352,008 ","2,986"
106,Season of the Witch,Relativity,Relativity,"$24,827,228 ","$10,612,375 ","2,827"
107,Our Idiot Brother,Weinstein…,Weinstein Co.,"$24,814,830 ","$7,011,631 ","2,555"
108,Tinker Tailor Soldier Spy,FocusFea…,Focus Features,"$24,149,393 ","$310,562 ",886
109,Dont Be Afraid of the Dark,FilmDistrict,Film District,"$24,046,682 ","$8,525,728 ","2,780"
110,Sanctum,Universal,Universal Studio,"$23,209,310 ","$9,447,930 ","2,789"
111,Monte Carlo,20thCent…,20th Century,"$23,186,769 ","$7,453,944 ","2,473"
112,Your Highness,Universal,Universal Studio,"$21,596,445 ","$9,360,020 ","2,772"
113,The Darkest Hour,SummitEn…,Summit Entertainment,"$21,443,494 ","$2,993,519 ","2,327"
114,Mars Needs Moms,WaltDisney,Walt Disney,"$21,392,758 ","$6,914,488 ","3,117"
115,Dream House,Universal,Universal Studio,"$21,302,340 ","$8,129,355 ","2,664"
116,Conan the Barbarian,Lionsgate,Lionsgate,"$21,295,021 ","$10,021,215 ","3,015"
117,The Three Musketeers,SummitEn…,Summit Entertainment,"$20,377,913 ","$8,674,452 ","3,017"
118,The Eagle,FocusFea…,Focus Features,"$19,490,041 ","$8,684,464 ","2,296"
119,Shark Night 3D,Relativity,Relativity,"$18,877,153 ","$8,404,260 ","2,848"
120,Fright Night,WaltDisney,Walt Disney,"$18,298,649 ","$8,114,388 ","3,114"
121,Apollo 18,Weinstein…,Weinstein Co.,"$17,686,929 ","$8,704,271 ","3,330"
122,The Thing,Universal,Universal Studio,"$16,999,934 ","$8,493,665 ","2,997"
123,Young Adult,Paramount…,Paramount Pictures,"$16,311,571 ","$310,263 ",987
124,African Cats,WaltDisney,Walt Disney,"$15,428,747 ","$6,003,200 ","1,224"
125,Judy Moody and the Not Bummer Summer,Relativity,Relativity,"$15,013,650 ","$6,076,859 ","2,524"
126,My Week with Marilyn,Weinstein…,Weinstein Co.,"$14,597,405 ","$1,750,507 ",630
127,Whats Your Number?,20thCent…,20th Century,"$14,011,084 ","$5,421,669 ","3,011"
128,One Day,FocusFea…,Focus Features,"$13,843,771 ","$5,079,566 ","1,725"
129,Warrior,Lionsgate,Lionsgate,"$13,657,115 ","$5,242,107 ","1,883"
130,The Tree of Life,FoxSearc…,Fox Searchlight,"$13,305,665 ","$372,920 ",237
131,The Rum Diary,FilmDistrict,Film District,"$13,109,815 ","$5,135,369 ","2,292"
132,Glee: The 3D Concert Movie,20thCent…,20th Century,"$11,862,398 ","$5,961,231 ","2,040"
133,The Conspirator,Roadside…,Roadside Attractions,"$11,538,204 ","$3,506,602 ",849
134,Jane Eyre,FocusFea…,Focus Features,"$11,242,660 ","$182,885 ",319
135,Drive Angry,SummitEn…,Summit Entertainment,"$10,721,033 ","$5,187,625 ","2,290"
136,Straw Dogs,SonyPict…,Sony Pictures,"$10,324,441 ","$5,123,760 ","2,408"
137,Win Win,FoxSearc…,Fox Searchlight,"$10,179,275 ","$150,362 ",388
138,Hoodwinked Too: Hood vs. Evil,Weinstein…,Weinstein Co.,"$10,143,779 ","$4,108,630 ","2,505"
139,Prom,WaltDisney,Walt Disney,"$10,130,219 ","$4,712,638 ","2,730"
140,I Dont Know How She Does It,Weinstein…,Weinstein Co.,"$9,659,074 ","$4,402,201 ","2,490"
141,Johnny English Reborn,Universal,Universal Studio,"$8,406,711 ","$3,833,300 ","1,554"
142,Kevin Hart: Laugh at My Pain,Codeblack…,Codeblack Entertainment,"$7,706,436 ","$1,908,420 ",287
143,Elle sappelait Sarah,Weinstein…,Weinstein Co.,"$7,691,700 ","$115,708 ",319
144,Barneys Version,SonyPict…,Sony Pictures,"$7,502,560 ","$362,524 ",322
145,The Big Year,20thCent…,20th Century,"$7,204,138 ","$3,251,884 ","2,150"
146,Jodaeiye Nader az Simin,SonyPict…,Sony Pictures,"$7,098,492 ","$59,481 ",282
147,Take Me Home Tonight,Relativity,Relativity,"$6,928,068 ","$3,464,679 ","2,003"
148,Cedar Rapids,FoxSearc…,Fox Searchlight,"$6,861,102 ","$302,968 ",462
149,Beginners,FocusFea…,Focus Features,"$5,790,894 ","$141,340 ",170
150,Flying Monsters 3D,National…,National Geographic Entertainment,"$5,751,141 ",$0,18
151,A Dangerous Method,SonyPict…,Sony Pictures,"$5,702,083 ","$167,953 ",365
152,The Guard,SonyPict…,Sony Pictures,"$5,359,774 ","$76,834 ",203
153,Margin Call,Roadside…,Roadside Attractions,"$5,353,586 ","$561,906 ",199
154,Cave of Forgotten Dreams,IFCFilms,IFC Films,"$5,304,920 ","$139,101 ",123
155,Biutiful,Roadside…,Roadside Attractions,"$5,101,237 ","$456,930 ",191
156,Atlas Shrugged: Part 1,RockyMou…,Rocky Mountain Pictures,"$4,752,353 ","$1,686,347 ",465
157,Anonymous,SonyPict…,Sony Pictures,"$4,463,292 ","$1,021,768 ",514
158,The Company Men,Weinstein…,Weinstein Co.,"$4,444,612 ","$647,797 ",277
159,The Way,Producers…,Producers Distribution Energy,"$4,430,650 ","$110,418 ",283
160,Seven Days In Utopia,VisioEnt…,Visio Entertainment,"$4,367,448 ","$1,304,500 ",561
161,Buck,IFCFilms,IFC Films,"$4,036,175 ","$67,548 ",152
162,Shame,FoxSearc…,Fox Searchlight,"$4,002,293 ","$349,519 ",95
163,Des Hommes et Des Dieux,SonyPict…,Sony Pictures,"$3,954,651 ","$308,895 ",120
164,Starbuck,Entertain…,Entertainment One,"$3,790,059 ",$0,70
165,Don 2,Reliance…,Reliance Big Pictures,"$3,674,480 ","$1,673,921 ",167
166,Like Crazy,Paramount…,Paramount Pictures,"$3,395,391 ","$123,140 ",162
167,Monsieur Lazhar,FilmsSev…,Films Seville,"$3,371,810 ","$246,410 ",86
168,La piel que habito,SonyPict…,Sony Pictures,"$3,185,193 ","$223,119 ",116
169,Le sens de l'humour,Alliance…,Alliance Atlantis,"$3,179,193 ","$466,499 ",89
170,Zindagi Na Milegi Dobara,ErosEnte…,Eros Entertainment,"$3,103,656 ","$960,548 ",100
171,From Prada to Nada,Lionsgate,Lionsgate,"$3,033,623 ","$1,115,638 ",261
172,Melancholia,Magnolia…,Magnolia Pictures,"$3,030,848 ","$257,174 ",145
173,Albert Nobbs,Roadside…,Roadside Attractions,"$3,014,696 ",$0,245
174,Martha Marcy May Marlene,FoxSearc…,Fox Searchlight,"$2,981,038 ","$137,651 ",183
175,The Way Back,Newmarket…,Newmarket Films,"$2,719,296 ","$1,218,867 ",678
176,Everything Must Go,Roadside…,Roadside Attractions,"$2,712,131 ","$791,676 ",245
177,Carnage,SonyPict…,Sony Pictures,"$2,546,747 ","$79,795 ",494
178,Bucky Larson: Born to Be a Star,SonyPict…,Sony Pictures,"$2,529,395 ","$1,415,023 ","1,500"
179,Ra. One,ErosEnte…,Eros Entertainment,"$2,509,150 ","$1,654,023 ",189
180,The Grace Card,SamuelGo…,Samuel Goldwyn Films,"$2,430,735 ","$1,010,299 ",352
181,George Balanchines The Nutcracker,NCMFathom,NCM Fathom,"$2,119,994 ",$0,0
182,The Trip,IFCFilms,IFC Films,"$2,030,962 ","$77,904 ",60
183,The Mighty Macs,QuakerMedia,Quaker Media,"$1,891,936 ","$963,221 ",975
184,Gerry,FilmsSev…,Films Seville,"$1,844,754 ","$367,635 ",95
185,Bodyguard,Reliance…,Reliance Big Pictures,"$1,834,384 ","$863,751 ",88
186,A Better Life,SummitEn…,Summit Entertainment,"$1,759,252 ","$62,087 ",216
187,Take Shelter,SonyPict…,Sony Pictures,"$1,728,953 ","$52,041 ",91
188,Potiche,MusicBox…,Music Box Films,"$1,618,844 ","$86,017 ",74
189,Senna,Universal,Universal Studio,"$1,612,430 ","$73,497 ",47
190,I Am,Paladin,Paladin,"$1,591,034 ","$10,500 ",74
191,Cafe de flore,Alliance…,Alliance Atlantis,"$1,574,881 ",$0,43
192,Delhi Belly,UTVCommu…,UTV Communications,"$1,532,594 ","$581,943 ",90
193,La doppia ora,SamuelGo…,Samuel Goldwyn Films,"$1,514,942 ","$30,246 ",68
194,Bill Cunningham New York,Zeitgeist,Zeitgeist,"$1,510,026 ","$33,677 ",34
195,Breakaway,Alliance…,Alliance Atlantis,"$1,481,735 ",$0,31
196,The Art of Getting By,FoxSearc…,Fox Searchlight,"$1,430,241 ","$679,160 ",610
197,Salvando al Soldado Perez,Lionsgate,Lionsgate,"$1,400,726 ","$664,517 ",165
198,Copie conforme,IFCFilms,IFC Films,"$1,373,975 ","$77,937 ",57
199,The Devils Double,Lionsgate,Lionsgate,"$1,361,512 ","$96,414 ",89
200,2011 Oscar Shorts,ShortsIn…,Shorts International,"$1,352,152 ","$300,706 ",117
201,Snow Flower and the Secret Fan,FoxSearc…,Fox Searchlight,"$1,348,205 ","$134,005 ",116
202,No Eres Tu Soy Yo,Lionsgate,Lionsgate,"$1,339,911 ","$588,938 ",226
203,Another Earth,FoxSearc…,Fox Searchlight,"$1,321,194 ","$77,740 ",94
204,Beats Rhymes & Life: The Travels of a Tribe Ca…,SonyPict…,Sony Pictures,"$1,200,046 ","$111,982 ",54
205,Kill the Irishman,AnchorBa…,Anchor Bay Entertainment,"$1,188,194 ","$145,430 ",56
206,Dylan Dog: Dead of Night,Omin/Free…,Omin/Freestyle,"$1,186,538 ","$754,779 ",875
207,Sholem Aleichem: Laughing in the Darkness,Internati…,International Film Circuit,"$1,131,261 ","$20,247 ",29
208,The Whistleblower,SamuelGo…,Samuel Goldwyn Films,"$1,120,914 ","$61,002 ",70
209,The Heart Specialist,Freestyle…,Freestyle Releasing,"$1,103,037 ","$473,062 ",422
210,There Be Dragons,SamuelGo…,Samuel Goldwyn Films,"$1,069,334 ","$705,537 ",259
211,Page One: Inside the New York Times,Magnolia…,Magnolia Pictures,"$1,067,028 ","$28,911 ",65
212,Desi Boyz,ErosEnte…,Eros Entertainment,"$1,066,167 ","$702,325 ",103
213,Red State,Smodshow…,Smodshow Productions,"$1,065,429 ","$102,566 ",2
214,Attack the Block,SonyPict…,Sony Pictures,"$1,024,175 ","$139,506 ",66
215,Haevnen,SonyPict…,Sony Pictures,"$1,008,098 ","$33,058 ",51
216,Rockstar,ErosEnte…,Eros Entertainment,"$985,912 ","$612,235 ",112
217,Meeks Cutoff,Oscillosc…,Oscilloscope Pictures,"$977,772 ","$20,042 ",45
218,Yamla Pagla Deewana,ErosEnte…,Eros Entertainment,"$971,240 ","$504,116 ",84
219,The Beaver,SummitEn…,Summit Entertainment,"$970,816 ","$107,577 ",168
220,Redi,ErosEnte…,Eros Entertainment,"$934,951 ","$460,238 ",98
221,Higher Ground,MongrelM…,Mongrel Media,"$841,056 ","$21,495 ",81
222,Sur le rythme,FilmsSev…,Films Seville,"$833,180 ","$180,524 ",73
223,Jûsan-nin no shikaku,Magnolia…,Magnolia Pictures,"$802,778 ","$45,854 ",31
224,Pariah,FocusFea…,Focus Features,"$769,552 ","$48,579 ",24
225,Les femmes du 6ème étage,FilmsSev…,Films Seville,"$733,294 ",$0,19
226,Mausam,ErosEnte…,Eros Entertainment,"$725,966 ","$459,024 ",96
227,A bout portant,Magnolia…,Magnolia Pictures,"$708,215 ","$41,031 ",37
228,Nannerl la soeur de Mozart,MusicBox…,Music Box Films,"$707,885 ","$34,046 ",36
229,Hobo with a Shotgun,Magnolia…,Magnolia Pictures,"$703,372 ","$12,046 ",21
230,Tabloid!,IFCFilms,IFC Films,"$696,921 ","$91,201 ",37
231,Terri,ATOPictures,ATO Pictures,"$655,802 ","$65,103 ",36
232,Aarakshan,Reliance…,Reliance Big Pictures,"$651,096 ","$344,661 ",91
233,Patiala House,Tachyon,Tachyon,"$644,010 ","$347,261 ",80
234,POM Wonderful Presents: The Greatest Movie Ever…,SonyPict…,Sony Pictures,"$638,476 ","$118,294 ",141
235,The Last Lions,National…,National Geographic Entertainment,"$635,325 ","$53,344 ",67
236,Le Havre,JanusFilms,Janus Films,"$611,709 ","$26,363 ",25
237,Dhobi Ghat,UTVCommu…,UTV Communications,"$577,485 ","$365,297 ",78
238,The Future,Roadside…,Roadside Attractions,"$568,662 ","$27,137 ",31
239,Dum Maaro Dum,FoxSearc…,Fox Searchlight,"$564,489 ","$327,523 ",101
240,Even the Rain,Vitagraph…,Vitagraph Films,"$558,132 ","$53,730 ",27
241,Double Dhamaal,Reliance…,Reliance Big Pictures,"$543,646 ","$301,831 ",54
242,Winter in Wartime,SonyPict…,Sony Pictures,"$542,860 ","$14,037 ",26
243,Crime damour,IFCFilms,IFC Films,"$539,792 ","$35,375 ",29
244,Machine Gun Preacher,Relativity,Relativity,"$538,690 ","$45,130 ",93
245,Le nom des gens,MusicBox…,Music Box Films,"$514,237 ","$30,372 ",24
246,Creature,TheBubbl…,The Bubble Factory,"$508,714 ","$327,000 ","1,507"
247,Bride Flight,MusicBox…,Music Box Films,"$501,360 ","$54,044 ",27
248,Mere Brother Ki Dulhan,YashRaj…,Yash Raj Films,"$496,172 ","$399,429 ",74
249,Weekend,IFCFilms,IFC Films,"$484,592 ","$27,245 ",26
250,Joueuse,Zeitgeist,Zeitgeist,"$478,710 ","$28,092 ",18
251,Di Renjie,Indomina…,Indomina Releasing,"$474,754 ","$52,600 ",48
252,Pearl Jam Twenty,ArtsAlli…,Arts Alliance America,"$471,334 ","$102,448 ",60
253,Submarine,Weinstein…,Weinstein Co.,"$467,602 ","$41,832 ",28
254,Jihne Mera Dil Luteya,VivaEnte…,Viva Entertainment,"$464,840 ",$0,16
255,Thank You,UTVCommu…,UTV Communications,"$463,540 ","$244,183 ",92
256,Circumstance,Roadside…,Roadside Attractions,"$454,121 ","$43,318 ",31
257,No One Killed Jessica,UTVCommu…,UTV Communications,"$442,036 ","$227,473 ",48
258,Frisson des Collines,Malo Film,Malo Film,"$434,589 ",$0,62
259,Project Nim,Roadside…,Roadside Attractions,"$411,184 ","$25,820 ",23
260,The 5th Quarter,RockyMou…,Rocky Mountain Pictures,"$408,159 ","$202,342 ",123
261,Turtle: The Incredible Journey,Hannover…,Hannover House,"$391,942 ","$69,389 ",24
262,Hesher,WrekinHi…,Wrekin Hill Entertainment,"$382,946 ","$126,046 ",42
263,Miral,Weinstein…,Weinstein Co.,"$377,014 ","$66,244 ",29
264,MOOZ-lum,PeaceFil…,Peace Films,"$362,239 ","$139,832 ",25
265,Shi,KinoInte…,Kino International,"$356,149 ","$18,900 ",17
266,La princesse de Montpensier,IFCFilms,IFC Films,"$352,428 ","$23,456 ",21
267,Singham,Reliance…,Reliance Big Pictures,"$350,864 ","$161,063 ",50
268,Arthur et la vengeance de Maltazard,Alliance…,Alliance Atlantis,"$347,136 ",$0,55
269,Happy People: A Year in the Taiga,MongrelM…,Mongrel Media,"$338,987 ",$0,23
270,The First Grader,National…,National Geographic Entertainment,"$332,306 ","$20,437 ",36
271,Super,IFCFilms,IFC Films,"$327,716 ","$46,549 ",38
272,Bbuddah: Hoga Tera Baap,Viacom18 Studios,Viacom18 Studios,"$326,011 ",$0,53
273,Dharti,VivaEnte…,Viva Entertainment,"$317,505 ",$0,7
274,LAmour Fou,IFCFilms,IFC Films,"$312,494 ","$37,250 ",18
275,The Mill and the Cross,KinoLorber,Kino Lorber,"$312,187 ","$11,354 ",15
276,In The Land of Blood and Honey,FilmDistrict,Film District,"$303,877 ","$18,854 ",18
277,Being Elmo: A Puppeteers Journey,Submarine…,Submarine Deluxe,"$303,791 ","$22,963 ",15
278,Saat Khoon Maaf,UTVCommu…,UTV Communications,"$274,329 ","$164,153 ",68
279,The Black Power Mixtape: 1967-1975,IFCFilms,IFC Films,"$273,749 ","$17,316 ",13
280,Conan OBrien Cant Stop,Abramoram…,Abramorama Films,"$267,965 ","$97,043 ",24
281,Munger Road,Freestyle…,Freestyle Releasing,"$266,688 ","$36,605 ",32
282,Phil Ochs: There but for Fortune,FirstRun…,First Run Features,"$263,723 ","$18,211 ",13
283,Rascals,ErosEnte…,Eros Entertainment,"$261,156 ","$168,082 ",61
284,The Music Never Stopped,Roadside…,Roadside Attractions,"$258,538 ","$76,543 ",33
285,PASSIONE: A Musical Adventure,Abramoram…,Abramorama Films,"$258,222 ","$15,377 ",5
286,Trolljegeren,MagnetPi…,Magnet Pictures,"$253,444 ","$5,585 ",21
287,Life in a Day,National…,National Geographic Entertainment,"$252,788 ","$45,202 ",19
288,My Perestroika,Internati…,International Film Circuit,"$242,706 ","$17,680 ",19
289,Tanu Weds Manu,VivaEnte…,Viva Entertainment,"$240,020 ",$0,23
290,El Bulli: Cooking in Progress,AliveMind,Alive Mind,"$237,181 ","$12,756 ",10
291,The Interrupters,CinemaGuild,Cinema Guild,"$236,957 ",$0,10
292,Serge Gainsbourg vie heroique,MusicBox…,Music Box Films,"$233,007 ","$25,189 ",19
293,Brighton Rock,IFCFilms,IFC Films,"$229,653 ","$32,774 ",24
294,Into the Abyss,IFCFilms,IFC Films,"$223,880 ","$47,559 ",30
295,Tucker & Dale vs. Evil,MagnetPi…,Magnet Pictures,"$223,838 ","$52,843 ",44
296,Happythankyoumoreplease,AnchorBa…,Anchor Bay Entertainment,"$216,110 ","$35,063 ",19
297,The Afflicted,Nocturnal…,Nocturnal Features,"$212,940 ","$90,272 ",13
298,Ip Man: Legend of the Grand Master,Variance…,Variance Films,"$205,675 ","$61,057 ",21
299,Blackthorn,Magnolia…,Magnolia Pictures,"$200,558 ","$15,254 ",21
300,Filth to Ashes Flesh to Dust,Nocturnal…,Nocturnal Features,"$196,147 ","$86,086 ",11
