Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
1,Harry Potter and the Deathly Hallows: Part II,WarnerBros.,Warner Bros.,"$381,193,157 ","$169,189,427 ","4,375"
2,Transformers: Dark of the Moon,Paramount…,Paramount Pictures,"$352,390,543 ","$97,852,865 ","4,107"
3,The Twilight Saga: Breaking Dawn Part 1,SummitEn…,Summit Entertainment,"$281,287,133 ","$138,122,261 ","4,066"
4,The Hangover Part II,WarnerBros.,Warner Bros.,"$254,464,305 ","$85,946,294 ","3,675"
5,Pirates of the Caribbean: On Stranger Tides,WaltDisney,Walt Disney,"$241,071,802 ","$90,151,958 ","4,164"
6,Fast Five,Universal,Universal Studio,"$210,031,325 ","$86,198,765 ","3,793"
7,Mission: Impossible-Ghost Protocol,Paramount…,Paramount Pictures,"$209,397,903 ","$12,785,204 ","3,555"
8,Cars 2,WaltDisney,Walt Disney,"$191,450,875 ","$66,135,507 ","4,115"
9,Sherlock Holmes: A Game of Shadows,WarnerBros.,Warner Bros.,"$186,848,418 ","$39,637,079 ","3,703"
10,Thor,Paramount…,Paramount Pictures,"$181,030,624 ","$65,723,338 ","3,963"
11,Rise of the Planet of the Apes,20thCent…,20th Century,"$176,760,185 ","$54,806,191 ","3,691"
12,Captain America: The First Avenger,Paramount…,Paramount Pictures,"$176,654,505 ","$65,058,524 ","3,715"
13,The Help,WaltDisney,Walt Disney,"$169,705,587 ","$26,044,590 ","3,014"
14,Bridesmaids,Universal,Universal Studio,"$169,211,718 ","$26,247,410 ","2,958"
15,Kung Fu Panda 2,Paramount…,Paramount Pictures,"$165,249,063 ","$47,656,302 ","3,952"
16,Puss in Boots,Paramount…,Paramount Pictures,"$149,260,504 ","$34,077,439 ","3,963"
17,X-Men: First Class,20thCent…,20th Century,"$146,408,305 ","$55,101,604 ","3,692"
18,Rio,20thCent…,20th Century,"$143,619,809 ","$39,225,962 ","3,842"
19,The Smurfs,SonyPict…,Sony Pictures,"$142,614,158 ","$35,611,637 ","3,427"
20,Alvin and the Chipmunks: Chipwrecked,20thCent…,20th Century,"$133,107,389 ","$23,244,744 ","3,734"
21,Super 8,Paramount…,Paramount Pictures,"$127,004,179 ","$35,451,168 ","3,424"
22,Rango,Paramount…,Paramount Pictures,"$123,477,607 ","$38,079,323 ","3,923"
23,Horrible Bosses,WarnerBros.,Warner Bros.,"$117,538,559 ","$28,302,165 ","3,134"
24,Green Lantern,WarnerBros.,Warner Bros.,"$116,601,172 ","$53,174,303 ","3,816"
25,Hop,Universal,Universal Studio,"$108,085,305 ","$37,543,710 ","3,616"
26,Paranormal Activity 3,Paramount…,Paramount Pictures,"$104,028,807 ","$52,568,183 ","3,329"
27,Just Go With It,SonyPict…,Sony Pictures,"$103,028,109 ","$30,514,732 ","3,548"
28,The Girl with the Dragon Tattoo,SonyPict…,Sony Pictures,"$102,515,793 ","$12,768,604 ","2,950"
29,Cowboys and Aliens,Universal,Universal Studio,"$100,368,560 ","$36,431,290 ","3,754"
30,Bad Teacher,SonyPict…,Sony Pictures,"$100,292,856 ","$31,603,106 ","3,049"
31,Gnomeo and Juliet,WaltDisney,Walt Disney,"$99,967,670 ","$25,356,909 ","3,037"
32,The Green Hornet,SonyPict…,Sony Pictures,"$98,780,042 ","$33,526,876 ","3,584"
33,The Muppets,WaltDisney,Walt Disney,"$88,625,922 ","$29,239,026 ","3,440"
34,Real Steel,WaltDisney,Walt Disney,"$85,463,309 ","$27,319,677 ","3,440"
35,Crazy Stupid Love,WarnerBros.,Warner Bros.,"$84,351,197 ","$19,104,303 ","3,020"
36,Battle: Los Angeles,SonyPict…,Sony Pictures,"$83,552,429 ","$35,573,187 ","3,417"
37,Immortals,Relativity,Relativity,"$83,504,017 ","$32,206,425 ","3,120"
38,The Descendants,FoxSearc…,Fox Searchlight,"$82,624,961 ","$1,190,096 ","2,038"
39,Zookeeper,SonyPict…,Sony Pictures,"$80,360,866 ","$20,065,617 ","3,482"
40,War Horse,WaltDisney,Walt Disney,"$79,883,359 ","$7,515,402 ","2,856"
41,Limitless,Relativity,Relativity,"$79,249,455 ","$18,907,302 ","2,838"
42,Tower Heist,Universal,Universal Studio,"$78,046,570 ","$24,025,190 ","3,370"
43,The Adventures of Tintin,Paramount…,Paramount Pictures,"$77,591,831 ","$9,720,993 ","3,087"
44,Contagion,WarnerBros.,Warner Bros.,"$75,658,097 ","$22,403,596 ","3,222"
45,We Bought a Zoo,20thCent…,20th Century,"$75,624,550 ","$9,360,434 ","3,170"
46,Moneyball,SonyPict…,Sony Pictures,"$75,605,492 ","$19,501,302 ","3,018"
47,Jack and Jill,SonyPict…,Sony Pictures,"$74,158,157 ","$25,003,575 ","3,438"
48,Hugo,Paramount…,Paramount Pictures,"$73,864,507 ","$11,364,505 ","2,608"
49,Justin Bieber: Never Say Never,Paramount…,Paramount Pictures,"$73,013,910 ","$29,514,054 ","3,118"
50,Dolphin Tale,WarnerBros.,Warner Bros.,"$72,286,779 ","$19,152,401 ","3,515"
51,No Strings Attached,Paramount…,Paramount Pictures,"$70,662,220 ","$19,652,921 ","3,050"
52,Mr. Popperss Penguins,20thCent…,20th Century,"$68,224,452 ","$18,445,355 ","3,342"
53,Happy Feet Two,WarnerBros.,Warner Bros.,"$64,006,466 ","$21,237,068 ","3,611"
54,Unknown,WarnerBros.,Warner Bros.,"$63,686,397 ","$21,856,389 ","3,043"
55,The Adjustment Bureau,Universal,Universal Studio,"$62,495,645 ","$21,157,730 ","2,847"
56,Water for Elephants,20thCent…,20th Century,"$58,709,717 ","$16,842,353 ","2,820"
57,The Lincoln Lawyer,Lionsgate,Lionsgate,"$58,009,200 ","$13,206,453 ","2,707"
58,Midnight in Paris,SonyPict…,Sony Pictures,"$56,816,662 ","$599,003 ","1,038"
59,Friends with Benefits,SonyPict…,Sony Pictures,"$55,802,754 ","$18,622,150 ","2,926"
60,I am Number Four,WaltDisney,Walt Disney,"$55,100,437 ","$19,449,893 ","3,156"
61,Source Code,SummitEn…,Summit Entertainment,"$54,712,227 ","$14,812,094 ","2,971"
62,New Year's Eve,WarnerBros.,Warner Bros.,"$54,544,638 ","$13,019,180 ","3,505"
63,Insidious,FilmDistrict,Film District,"$54,009,150 ","$13,271,464 ","2,419"
64,Madea's Big Happy Family,Lionsgate,Lionsgate,"$53,345,287 ","$25,068,677 ","2,288"
65,Diary of a Wimpy Kid: Rodrick Rules,20thCent…,20th Century,"$52,698,535 ","$23,751,502 ","3,169"
66,Footloose,Paramount…,Paramount Pictures,"$51,802,742 ","$15,556,113 ","3,555"
67,The Dilemma,Universal,Universal Studio,"$48,475,290 ","$17,816,230 ","2,943"
68,Arthur Christmas,SonyPict…,Sony Pictures,"$46,462,469 ","$12,068,931 ","3,376"
69,Hall Pass,WarnerBros.,Warner Bros.,"$45,060,734 ","$13,535,374 ","2,950"
70,The Artist,Weinstein…,Weinstein Co.,"$44,667,095 ","$204,878 ","1,756"
71,Soul Surfer,SonyPict…,Sony Pictures,"$43,853,424 ","$10,601,862 ","2,240"
72,Final Destination 5,WarnerBros.,Warner Bros.,"$42,587,643 ","$18,031,396 ","3,155"
73,The Ides of March,SonyPict…,Sony Pictures,"$40,962,534 ","$10,470,143 ","2,199"
