,Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
289,290,Chico & Rita,GKIDS,GKIDS,"$197,785 ","$21,400 ",12
290,291,Snabba Cash,Weinstein…,Weinstein Co.,"$188,870 ","$24,684 ",7
291,292,Lost Woods,Nocturnal…,Nocturnal Features,"$180,117 ","$58,240 ",13
292,293,Hagane no renkinjutsushi: Mirosu no seinaru hoshi,ElevenArts,Eleven Arts,"$178,000 ","$119,300 ",42
293,294,Tere Naal Love Ho Gaya,UTVCommu…,UTV Communications,"$177,743 ","$94,583 ",48
294,295,Polisse,IFCFilms,IFC Films,"$176,988 ","$16,568 ",21
295,296,The Hunter,Magnolia…,Magnolia Pictures,"$176,669 ","$19,032 ",17
296,297,Long men fei jia,Indomina…,Indomina Releasing,"$170,276 ","$95,452 ",15
297,298,Joker,UTVCommu…,UTV Communications,"$169,181 ","$105,366 ",74
298,299,Dark Horse,Brainstor…,#N/A,"$166,228 ","$13,551 ",10
299,300,Lhomme qui voulait vivre sa vie,MPIMedia…,#N/A,"$158,411 ","$13,760 ",8
300,301,Elles,KinoLorber,Kino Lorber,"$157,427 ","$24,286 ",13
301,302,DeadTime,Nocturnal…,Nocturnal Features,"$156,072 ",,18
302,303,Crazy Horse,Zipporah,#N/A,"$154,691 ","$7,963 ",14
303,304,Impardonnables,MongrelM…,Mongrel Media,"$153,785 ","$8,669 ",6
304,305,Hecho en México,Lionsgate,Lionsgate,"$151,133 ","$76,123 ",26
305,306,Simon och ekarna,FilmArcade,#N/A,"$150,109 ","$9,963 ",17
306,307,Deadly Renovations,Nocturnal…,Nocturnal Features,"$146,146 ","$42,588 ",13
307,308,Kiseki,Magnolia…,Magnolia Pictures,"$145,808 ","$10,919 ",12
308,309,From Beneath,Nocturnal…,Nocturnal Features,"$144,123 ","$47,628 ",18
309,310,Luv Shuv Tey Chicken Khurana,UTVCommu…,UTV Communications,"$143,900 ","$95,364 ",60
310,311,Rundskop,Drafthous…,Drafthouse Films,"$142,616 ","$32,267 ",34
311,312,This Must Be the Place,Weinstein…,Weinstein Co.,"$142,242 ","$7,754 ",15
312,313,High School,AnchorBa…,Anchor Bay Entertainment,"$139,034 ","$82,832 ",200
313,314,Slaughter Creek,Nocturnal…,Nocturnal Features,"$136,815 ","$49,392 ",16
314,315,The Lady,CohenMed…,Cohen Media,"$135,985 ",,20
315,316,The Other Dream Team,FilmArcade,#N/A,"$134,109 ","$19,821 ",14
316,317,Kumaré,KinoLorber,Kino Lorber,"$131,909 ","$9,601 ",9
317,318,The Loneliest Planet,IFCFilms,IFC Films,"$129,579 ","$15,689 ",13
318,319,Escape Fire: The Fight to Rescue American Healt…,Roadside…,Roadside Attractions,"$126,238 ","$30,953 ",12
319,320,Få meg på  for faen,NewYorker,New Yorker,"$126,085 ","$10,145 ",5
320,321,Les bien-aimés,IFCFilms,IFC Films,"$124,405 ","$25,825 ",7
321,322,How to Survive a Plague,IFCFilms,IFC Films,"$123,814 ","$28,250 ",15
322,323,The Forgiveness of Blood,IFCFilms,IFC Films,"$122,593 ","$26,724 ",12
323,324,God Bless America,MagnetPi…,Magnet Pictures,"$122,550 ","$27,308 ",15
324,325,Iron Sky,Entertain…,Entertainment One,"$122,082 ",,4
325,326,Bel Ami,Magnolia…,Magnolia Pictures,"$120,462 ","$38,018 ",16
326,327,Cowgirls n Angels,SamuelGo…,Samuel Goldwyn Films,"$119,782 ","$57,400 ",50
327,328,Beware of Mr. Baker,SnagFilms,#N/A,"$116,476 ","$12,195 ",15
328,329,Follow Me: The Yoni Netanyahu Story,Internati…,International Film Circuit,"$112,679 ","$7,882 ",19
329,330,The Perfect Family,Variance…,Variance Films,"$110,013 ","$14,301 ",25
330,331,5 Broken Cameras,KinoLorber,Kino Lorber,"$109,983 ","$6,674 ",9
331,332,The Woman in the Fifth,ATOPictures,ATO Pictures,"$107,921 ","$33,011 ",11
332,333,Hello I Must Be Going,Oscillosc…,Oscilloscope Pictures,"$106,709 ","$23,904 ",15
333,334,Steve Jobs: The Lost Interview,Landmark…,#N/A,"$105,710 ","$2,599 ",13
334,335,The Obama Effect,ARCEnter…,ARC Entertainment,"$103,000 ","$73,000 ",25
335,336,The Magic of Belle Isle,Magnolia…,Magnolia Pictures,"$102,388 ","$10,367 ",10
336,337,Mugamoodi,UTVCommu…,UTV Communications,"$101,911 ","$56,603 ",21
337,338,Wuthering Heights,Oscillosc…,Oscilloscope Pictures,"$100,915 ","$8,956 ",12
338,339,Oslo 31 August,Strand,Strand,"$100,713 ","$9,250 ",5
339,340,V/H/S,MagnetPi…,Magnet Pictures,"$100,345 ","$36,402 ",19
340,341,360,Magnolia…,Magnolia Pictures,"$100,343 ","$12,186 ",12
341,342,Hardflip,RockyMou…,Rocky Mountain Pictures,"$96,734 ","$49,879 ",22
342,343,Hating Breitbart,Freestyle…,Freestyle Releasing,"$96,728 ","$40,673 ",15
343,344,The Awakening,CohenMed…,Cohen Media,"$95,933 ","$95,933 ",70
344,345,Wild Horse Wild Ride,ScreenMe…,Screen Media Films,"$94,621 ","$3,610 ",8
345,346,La source des femmes,MongrelM…,Mongrel Media,"$93,838 ",,2
346,347,The Road,Freestyle…,Freestyle Releasing,"$92,476 ","$56,761 ",50
347,348,Starlet,MusicBox…,Music Box Films,"$88,212 ","$15,662 ",10
348,349,Marina Abramovic: The Artist Is Present,MusicBox…,Music Box Films,"$86,637 ","$11,041 ",5
349,350,The Eye of the Storm,Sycamore…,#N/A,"$83,566 ","$25,785 ",9
350,351,Harvest of Empire,OnyxFilms,#N/A,"$79,627 ",,2
351,352,The Innkeepers,Magnolia…,Magnolia Pictures,"$78,396 ","$29,557 ",20
352,353,Ichimei,TriBecaF…,TriBeca Films,"$75,688 ","$10,920 ",8
353,354,The Island President,SamuelGo…,Samuel Goldwyn Films,"$75,233 ","$13,998 ",5
354,355,Butter,Weinstein…,Weinstein Co.,"$73,000 ","$70,931 ",90
355,356,The Invisible War,Cinedigm,Cinedigm,"$71,968 ","$19,600 ",19
356,357,Detachment,TriBecaF…,TriBeca Films,"$70,740 ","$10,739 ",15
357,358,On the Ice,PMK*BNC,#N/A,"$70,526 ","$17,901 ",5
358,359,Mai wei,PMK*BNC,#N/A,"$70,177 ","$17,817 ",22
359,360,Deadfall,Magnolia…,Magnolia Pictures,"$66,351 ","$19,391 ",17
360,361,Un amour de jeunesse,IFCFilms,IFC Films,"$64,925 ","$21,077 ",5
361,362,Na pude,Hannover…,Hannover House,"$64,918 ","$19,913 ",27
362,363,Never Stand Still,FirstRun…,First Run Features,"$63,811 ","$1,951 ",2
363,364,The Details,Weinstein…,Weinstein Co.,"$63,595 ","$18,528 ",73
364,365,Rang zidan fei,WellGoUSA,#N/A,"$63,012 ","$11,287 ",10
365,366,Le prénom,,#N/A,"$61,611 ","$61,611 ",25
366,367,Backwards,DadaFilms,Dada Films,"$61,465 ","$23,190 ",9
367,368,Gregory Crewdson: Brief Encounters,Zeitgeist,Zeitgeist,"$60,064 ","$1,492 ",3
368,369,Payback,MongrelM…,Mongrel Media,"$59,736 ","$10,841 ",3
369,370,Side by Side,TriBecaF…,TriBeca Films,"$58,825 ","$6,956 ",9
370,371,Beyond the Black Rainbow,MongrelM…,Mongrel Media,"$56,491 ","$4,957 ",5
371,372,A Beautiful Soul,TyscotMa…,#N/A,"$54,008 ","$51,800 ",20
372,373,Surviving Progress,FirstRun…,First Run Features,"$53,953 ","$4,161 ",6
373,374,Occupy Unmasked,MagnetPi…,Magnet Pictures,"$52,768 ","$40,952 ",4
374,375,An Inconsistent Truth,RockyMou…,Rocky Mountain Pictures,"$52,756 ","$20,733 ",2
375,376,Jodi Breakers,YashRaj…,Yash Raj Films,"$52,618 ","$52,618 ",45
376,377,Karakara,MongrelM…,Mongrel Media,"$50,831 ",,1
377,378,The Fitzgerald Family Christmas,TriBecaF…,TriBeca Films,"$50,292 ","$13,800 ",21
378,379,Red Lights,Alchemy,Alchemy,"$49,521 ","$10,340 ",18
379,380,Wake in Fright,Drafthous…,Drafthouse Films,"$49,458 ",,5
380,381,Intruders,Alchemy,Alchemy,"$48,366 ","$40,746 ",33
381,382,Runaway Slave,RockyMou…,Rocky Mountain Pictures,"$47,813 ",,6
382,383,Sing Your Song,S2BN,#N/A,"$47,718 ","$13,459 ",4
383,384,Deep In The Heart,ARCEnter…,ARC Entertainment,"$47,700 ","$46,400 ",63
384,385,Natural Selection,CinemaGuild,Cinema Guild,"$46,635 ",,1
385,386,La guerre est déclarée,IFCFilms,IFC Films,"$46,225 ","$12,791 ",11
386,387,LOL,Lionsgate,Lionsgate,"$46,000 ","$46,000 ",105
387,388,La nouvelle guerre des boutons,Weinstein…,Weinstein Co.,"$45,602 ","$4,737 ",35
388,389,The Pruitt-Igoe Myth,FirstRun…,First Run Features,"$44,883 ","$4,721 ",6
389,390,Union Square,DadaFilms,Dada Films,"$44,830 ","$14,406 ",4
390,391,Ballplayer: Pelotero,Strand,Strand,"$44,689 ","$20,628 ",10
391,392,OC87,Fisher-Kl…,Fisher-Klingenstein Films,"$43,583 ","$5,733 ",6
392,393,Et si on vivait tous ensemble?,KinoLorber,Kino Lorber,"$43,180 ","$12,887 ",10
393,394,Poupoupidou,FirstRun…,First Run Features,"$43,040 ","$3,759 ",4
394,395,Attenberg,Strand,Strand,"$42,582 ","$3,998 ",2
395,396,The Comedy,TriBecaF…,TriBeca Films,"$41,113 ","$6,000 ",6
396,397,Last Call at the Oasis,Participa…,#N/A,"$40,846 ","$8,899 ",6
397,398,Miss Bala,MongrelM…,Mongrel Media,"$40,540 ",,2
398,399,Paan Singh Tomar,UTVCommu…,UTV Communications,"$40,311 ","$20,568 ",10
399,400,Soldiers of Fortune,Roadside…,Roadside Attractions,"$38,898 ","$24,978 ",50
400,401,Paul Williams Still Alive,Abramoram…,Abramorama Films,"$38,691 ",,2
401,402,Death by China,Area23a,Area23a,"$38,492 ","$5,701 ",3
402,403,La fee,KinoLorber,Kino Lorber,"$38,399 ",,6
403,404,Camille Redouble,MongrelM…,Mongrel Media,"$38,243 ",,1
404,405,Wagner & Me,FirstRun…,First Run Features,"$37,745 ","$4,891 ",4
405,406,In Film Nist,Palisades,#N/A,"$37,706 ","$12,608 ",5
406,407,Aiyyaa,UTVCommu…,UTV Communications,"$36,967 ","$36,967 ",25
407,408,The Inbetweeners,WrekinHi…,Wrekin Hill Entertainment,"$35,955 ","$35,955 ",10
408,409,Comic-Con Episode IV: A Fans Hope,WrekinHi…,Wrekin Hill Entertainment,"$34,665 ","$8,203 ",6
409,410,Orchestra of Exiles,FirstRun…,First Run Features,"$34,577 ","$6,719 ",5
410,411,Hit So Hard,Variance…,Variance Films,"$34,025 ","$4,740 ",4
411,412,Dai juk hei kek,ChinaLio…,China Lion Film Distribution,"$33,700 ","$33,700 ",17
412,413,Hua Pi 2,WellGoUSA,#N/A,"$33,212 ",,4
413,414,Max et les ferrailleurs,RialtoPi…,Rialto Pictures,"$33,065 ","$11,264 ",2
414,415,Roméo Onze,Metropole…,#N/A,"$32,457 ","$9,055 ",4
415,416,District of Corruption,RockyMou…,Rocky Mountain Pictures,"$31,954 ","$25,086 ",3
416,417,Musical Chairs,Paladin,Paladin,"$31,478 ","$9,092 ",12
417,418,Céline et Julie vont en bateau,NewYorker,New Yorker,"$31,452 ",,2
418,419,L!fe Happens,PMK*BNC,#N/A,"$30,905 ","$20,186 ",16
419,420,Ouwehoeren,KinoLorber,Kino Lorber,"$30,810 ","$7,628 ",1
420,421,The Bay,Roadside…,Roadside Attractions,"$30,668 ","$19,747 ",23
421,422,Hide Away,JouleFilms,#N/A,"$30,655 ",$689 ,5
422,423,Hermano,MusicBox…,Music Box Films,"$29,864 ","$18,835 ",49
423,424,Kill List,IFCFilms,IFC Films,"$29,063 ","$9,838 ",10
424,425,Youve Been Trumped,Internati…,International Film Circuit,"$28,450 ","$4,497 ",5
425,426,Least Among Saints,Brainstor…,#N/A,"$28,026 ","$15,774 ",6
426,427,Klovn: The Movie,Drafthous…,Drafthouse Films,"$28,000 ","$28,000 ",3
427,428,Mighty Fine,AdoptFilms,#N/A,"$27,900 ","$27,900 ",30
428,429,"Noordzee, Texas",Strand,Strand,"$27,413 ",,3
429,430,Pink Ribbons Inc,FirstRun…,First Run Features,"$26,608 ","$2,721 ",4
430,431,Here,Strand,Strand,"$26,464 ","$7,927 ",2
431,432,Meine Familie die Nazis und Ich,FilmMove…,Film Movement,"$26,083 ","$2,939 ",1
432,433,Nobody Walks,Magnolia…,Magnolia Pictures,"$25,342 ","$7,269 ",7
433,434,Da-reun na-ra-e-suh,KinoLorber,Kino Lorber,"$25,079 ","$3,207 ",7
434,435,Le diable probablement,TheFilm…,The Film Collaborative,"$24,878 ",,1
435,436,Sound of Noise,Magnolia…,Magnolia Pictures,"$24,565 ","$5,877 ",5
436,437,Otter 501,Paladin,Paladin,"$24,449 ","$5,444 ",4
437,438,Death of the Virgin,IndicanP…,Indican Pictures,"$24,418 ",,2
438,439,Radio Unnameable,KinoLorber,Kino Lorber,"$24,090 ","$5,833 ",2
439,440,Hellbound?,Area23a,Area23a,"$22,887 ","$3,938 ",5
440,441,The First Time,SamuelGo…,Samuel Goldwyn Films,"$22,836 ","$17,061 ",19
441,442,The Long Day Closes,TheFilm…,The Film Collaborative,"$22,765 ",,1
442,443,The Revisionaries,KinoLorber,Kino Lorber,"$22,664 ","$2,608 ",5
443,444,Les hommes libres,FilmMove…,Film Movement,"$22,578 ",,4
444,445,Toutes nos envies,,#N/A,"$22,517 ",,3
445,446,Keyhole,Monterey…,Monterey Media,"$22,393 ","$3,200 ",6
446,447,Mon pire cauchemar,Strand,Strand,"$21,456 ","$1,142 ",4
447,448,Bonsai,Strand,Strand,"$21,163 ","$2,293 ",3
448,449,Girl Model,,#N/A,"$21,154 ","$6,864 ",5
449,450,Lay the Favorite,Radius,#N/A,"$20,998 ","$20,998 ",61
450,451,The Day,AnchorBa…,Anchor Bay Entertainment,"$20,984 ","$10,121 ",12
451,452,Coming Up Roses,DadaFilms,Dada Films,"$20,567 ",,4
452,453,Carol Channing: Larger Than Life,Entertain…,Entertainment One,"$20,370 ","$5,000 ",3
453,454,Better Than Something: Jay Reatard,,#N/A,"$20,327 ","$10,489 ",4
454,455,Présumé coupable,MongrelM…,Mongrel Media,"$19,750 ",,4
455,456,Waiting for Lightning,SamuelGo…,Samuel Goldwyn Films,"$19,537 ","$19,537 ",11
456,457,Sedona,PasidgPr…,#N/A,"$19,532 ",,3
457,458,Tchoupitoulas,Oscillosc…,Oscilloscope Pictures,"$19,375 ","$2,379 ",6
458,459,How to Grow a Band,Internati…,International Film Circuit,"$19,237 ","$5,705 ",12
459,460,28 Hotel Rooms,Oscillosc…,Oscilloscope Pictures,"$18,869 ","$1,869 ",5
460,461,Chely Wright: Wish Me Away,FirstRun…,First Run Features,"$18,618 ","$5,026 ",4
461,462,Lovely Molly,ImageEnt…,Image Entertainment,"$18,464 ",,
462,463,Mansome,Paladin,Paladin,"$18,395 ","$18,395 ",20
463,464,The Divide,AnchorBa…,Anchor Bay Entertainment,"$18,000 ","$16,700 ",7
464,465,4:44 Last Day on Earth,IFCFilms,IFC Films,"$17,801 ","$8,355 ",3
465,466,Nothing But a Man,CinemaV,#N/A,"$17,241 ",$241 ,2
466,467,The Understudy,IndicanP…,Indican Pictures,"$17,036 ","$2,296 ",2
467,468,Dangerous Liaisons,WellGoUSA,#N/A,"$17,000 ","$17,000 ",6
468,469,Inventing Our Life: The Kibbutz Experiment,FirstRun…,First Run Features,"$16,734 ","$6,193 ",3
469,470,Little Birds,Alchemy,Alchemy,"$16,594 ","$4,574 ",2
470,471,Alpeis,KinoLorber,Kino Lorber,"$16,057 ","$2,628 ",3
471,472,$upercapitalist,,#N/A,"$15,919 ","$8,372 ",1
472,473,This Binary Universe,IndicanP…,Indican Pictures,"$15,875 ","$1,794 ",2
473,474,Avant que mon coeur bascule,MongrelM…,Mongrel Media,"$15,753 ",,8
474,475,Quill: The Life of a Guide Dog,MusicBox…,Music Box Films,"$15,674 ","$1,678 ",5
475,476,Take Me Home,Monterey…,Monterey Media,"$15,374 ",,5
476,477,Only the Young,Oscillosc…,Oscilloscope Pictures,"$15,312 ","$1,446 ",2
477,478,Michael,Strand,Strand,"$15,151 ","$3,366 ",2
478,479,Trade of Innocents,Monterey…,Monterey Media,"$15,091 ",$588 ,3
479,480,17 filles,Strand,Strand,"$15,002 ","$4,449 ",10
480,481,Kung Fu Joe,IndicanP…,Indican Pictures,"$14,752 ","$3,158 ",2
481,482,30 Beats,Roadside…,Roadside Attractions,"$14,686 ","$8,624 ",15
482,483,Silent Night,AnchorBa…,Anchor Bay Entertainment,"$14,568 ","$9,780 ",11
483,484,California Solo,Strand,Strand,"$14,518 ","$3,412 ",2
484,485,Nous ne viellirons pas ensemble,TheFilm…,The Film Collaborative,"$14,104 ",,1
485,486,Gayby,TheFilm…,The Film Collaborative,"$14,062 ","$4,792 ",1
486,487,6 Month Rule,SecretId…,#N/A,"$14,057 ","$1,963 ",3
487,488,Head Games,Variance…,Variance Films,"$14,056 ",,5
488,489,Jesus Henry Christ,Entertain…,Entertainment One,"$13,714 ","$8,065 ",3
489,490,Sedmikrásky,JanusFilms,Janus Films,"$13,692 ",,1
490,491,When the Iron Bird Flies,AliveMind,Alive Mind,"$13,598 ",,1
491,492,Reuniting the Rubins,Monterey…,Monterey Media,"$13,569 ",$734 ,4
492,493,Sophomore,"""Pillens…""",#N/A,"$13,500 ","$13,000 ",1
493,494,Citadel,Cinedigm,Cinedigm,"$13,377 ","$5,715 ",7
494,495,The Color Wheel,APD/Cinem…,#N/A,"$13,266 ","$3,884 ",3
495,496,Falling Away,IndicanP…,Indican Pictures,"$13,157 ","$1,284 ",2
496,497,The Trouble With Bliss,7AProduc…,#N/A,"$13,093 ","$4,618 ",4
497,498,The End of Time,MongrelM…,Mongrel Media,"$13,056 ","$3,751 ",2
498,499,How Much Does Your Building Weigh Mr. Foster?,FirstRun…,First Run Features,"$13,013 ","$2,759 ",4
499,500,For Ellen,TriBecaF…,TriBeca Films,"$12,396 ","$6,100 ",3
500,501,Wu Xia,Weinstein…,Weinstein Co.,"$11,300 ","$11,137 ",14
501,502,Hamnden,MusicBox…,Music Box Films,"$10,960 ","$2,313 ",2
502,503,Forces spéciales,Entertain…,Entertainment One,"$10,759 ","$10,759 ",5
503,504,The Man Who Shook the Hand of Vicente Fernandez,IndicanP…,Indican Pictures,"$10,752 ","$3,099 ",2
504,505,China Heavyweight,Zeitgeist,Zeitgeist,"$10,550 ","$3,792 ",4
505,506,Santa Mesa,IndicanP…,Indican Pictures,"$10,490 ","$3,846 ",3
506,507,Ultrasuede: In Search of Halston,TriBecaF…,TriBeca Films,"$10,357 ","$3,968 ",1
507,508,Husbands in Goa,UTVCommu…,UTV Communications,"$10,135 ","$4,483 ",7
508,509,Putins Kiss,KinoLorber,Kino Lorber,"$10,082 ",,1
509,510,A Little Bit of Heaven,Alchemy,Alchemy,"$10,011 ","$10,011 ",11
510,511,The Do-Deca-Pentathlon,RedFlag…,Red Flag Releasing,"$10,000 ","$10,000 ",8
511,512,Virginia,Entertain…,Entertainment One,"$9,915 ","$6,915 ",5
512,513,Post Mortem,KinoLorber,Kino Lorber,"$9,750 ","$2,406 ",1
513,514,Beneath the Darkness,ImageEnt…,Image Entertainment,"$9,600 ","$9,600 ",9
514,515,Rec 3: Genesis,MagnetPi…,Magnet Pictures,"$9,600 ","$3,001 ",8
515,516,BRO,,#N/A,"$9,329 ","$5,737 ",1
516,517,Around June,IndicanP…,Indican Pictures,"$9,102 ","$3,060 ",2
517,518,Decoding Deepak,SnagFilms,#N/A,"$9,050 ","$9,050 ",3
518,519,Drei Sterne - Die Koche und die Sterne,FirstRun…,First Run Features,"$8,942 ","$1,003 ",1
519,520,Man on a Mission,FirstRun…,First Run Features,"$8,688 ","$3,430 ",5
520,521,Small Beautifully Moving Parts,LongShot…,Long Shot Factory,"$8,631 ","$3,087 ",1
521,522,Cartas a Elena,Freestyle…,Freestyle Releasing,"$8,511 ","$7,711 ",12
522,523,Snowtown,IFCMidnight,IFC Midnight,"$8,452 ","$1,273 ",3
523,524,Le Moine,MongrelM…,Mongrel Media,"$8,418 ",,11
524,525,Brooklyn Brothers Beat the Best,Oscillosc…,Oscilloscope Pictures,"$8,418 ","$3,850 ",3
525,526,Roadie,Magnolia…,Magnolia Pictures,"$7,825 ","$2,661 ",1
526,527,Photographic Memory,FirstRun…,First Run Features,"$7,711 ","$3,006 ",2
527,528,Last Days Here,IFCFilms,IFC Films,"$7,643 ","$2,671 ",1
528,529,Bel Borba Aqui,Abramoram…,Abramorama Films,"$7,426 ","$1,869 ",2
529,530,Price Check,IFCFilms,IFC Films,"$7,413 ","$2,783 ",2
530,531,The Giant Mechanical Man,TriBecaF…,TriBeca Films,"$7,396 ",,1
531,532,Angele et Tony,,#N/A,"$7,323 ","$2,456 ",3
532,533,Domaine,Strand,Strand,"$6,914 ","$2,810 ",1
533,534,The Last Fall,,#N/A,"$6,568 ","$6,568 ",1
534,535,Dreams of a Life,Strand,Strand,"$6,559 ","$1,543 ",1
535,536,In Our Nature,Cinedigm,Cinedigm,"$6,543 ","$4,378 ",1
536,537,Windfall,FirstRun…,First Run Features,"$6,504 ","$1,780 ",2
537,538,Grassroots,SamuelGo…,Samuel Goldwyn Films,"$6,497 ","$6,497 ",1
538,539,The Beat Hotel,FirstRun…,First Run Features,"$6,480 ","$1,458 ",3
539,540,Crazy Eyes,Strand,Strand,"$6,106 ","$3,259 ",2
540,541,Bienvenue parmi nous,MongrelM…,Mongrel Media,"$5,912 ",,3
541,542,Buzzkill,IndicanP…,Indican Pictures,"$5,860 ","$2,912 ",2
542,543,The Babymakers,Alchemy,Alchemy,"$5,783 ","$5,215 ",10
543,544,Sushi: The Global Catch,AliveMind,Alive Mind,"$5,757 ",$516 ,2
544,545,Save the Date,IFCFilms,IFC Films,"$5,719 ","$3,755 ",2
545,546,Bookers Place: A Mississippi Story,TriBecaF…,TriBeca Films,"$5,549 ",,1
546,547,Joven y alocada,IFCFilms,IFC Films,"$5,514 ","$3,798 ",2
547,548,Universal Soldier: Day of Reckoning,MagnetPi…,Magnet Pictures,"$5,460 ","$3,181 ",3
548,549,The Good Doctor,Magnolia…,Magnolia Pictures,"$5,206 ","$3,180 ",2
549,550,A Liars Autobiography - The Untrue Story of Mo…,Brainstor…,#N/A,"$5,102 ","$5,102 ",4
550,551,Pusher,Radius,#N/A,"$5,040 ","$5,040 ",14
551,552,Bringing Up Bobby,Monterey…,Monterey Media,"$4,975 ","$1,005 ",4
552,553,Tomorrow When the War Began,Freestyle…,Freestyle Releasing,"$4,936 ","$3,172 ",10
553,554,Brake,IFCFilms,IFC Films,"$4,876 ","$4,330 ",2
554,555,Ferlinghetti: A Rebirth of Wonder,FirstRun…,First Run Features,"$4,816 ",,2
555,556,Atmen,KinoLorber,Kino Lorber,"$4,630 ",$949 ,2
556,557,Newlyweds,TriBecaF…,TriBeca Films,"$4,584 ","$4,584 ",1
557,558,Tonight Youre Mine,Roadside…,Roadside Attractions,"$4,321 ","$2,144 ",3
558,559,Le chat du rabbin,GKIDS,GKIDS,"$4,301 ","$4,301 ",1
559,560,Art is...The Permanent Revolution,FirstRun…,First Run Features,"$4,291 ","$2,718 ",1
560,561,The Loving Story,IcarusFilms,Icarus Films,"$4,218 ",,
561,562,Kongen av Bastøy,KinoLorber,Kino Lorber,"$4,162 ","$1,411 ",1
562,563,The Moth Diaries,IFCFilms,IFC Films,"$3,838 ","$2,276 ",2
563,564,Free Radicals: A History of Experimental Film,KinoLorber,Kino Lorber,"$3,804 ","$1,350 ",1
564,565,Yangsi,AliveMind,Alive Mind,"$3,685 ",,1
565,566,Loosies,IFCFilms,IFC Films,"$3,519 ",$808 ,2
566,567,Downtown Express,,#N/A,"$3,474 ","$3,474 ",1
567,568,Let Fury Have the Hour,CAVURele…,Cavu Releasing,"$3,386 ","$3,386 ",1
568,569,Vamps,AnchorBa…,Anchor Bay Entertainment,"$3,361 ",$548 ,1
569,570,Nuit Blanche,TriBecaF…,TriBeca Films,"$3,358 ","$2,106 ",2
570,571,Cirkus Columbia,Strand,Strand,"$3,163 ","$1,284 ",1
571,572,ATM,IFCFilms,IFC Films,"$3,010 ","$2,034 ",2
572,573,About Cherry,IFCFilms,IFC Films,"$3,003 ","$2,760 ",3
573,574,Cheerful Weather for the Wedding,IFCFilms,IFC Films,"$2,651 ",$727 ,2
574,575,Carl,Afterligh…,Afterlight Pictures,"$2,592 ","$2,592 ",1
575,576,The Samaritan,IFCFilms,IFC Films,"$2,521 ","$1,744 ",3
576,577,The Ghastly Love of Johnny X,Strand,Strand,"$2,436 ",,2
577,578,Why Stop Now,IFCFilms,IFC Films,"$2,432 ","$1,641 ",3
578,579,Patagonia Rising,FirstRun…,First Run Features,"$2,064 ",$981 ,1
579,580,Planet of Snail,CinemaGuild,Cinema Guild,"$2,011 ","$2,011 ",1
580,581,Bad Blood,GarvityArch,#N/A,"$1,872 ","$1,872 ",10
581,582,Perfect Sense,IFCFilms,IFC Films,"$1,567 ","$1,567 ",1
582,583,Bestiaire,Zeitgeist,Zeitgeist,"$1,428 ",,2
583,584,I Kissed a Vampire,Monterey…,Monterey Media,"$1,380 ","$1,380 ",11
584,585,Fon tok kuen fah,KinoLorber,Kino Lorber,"$1,373 ",$456 ,2
585,586,Fightville,MongrelM…,Mongrel Media,"$1,333 ",$798 ,1
586,587,Jason Becker: Not Dead Yet,KinoLorber,Kino Lorber,"$1,294 ",$319 ,3
587,588,Snowman’s Land,MusicBox…,Music Box Films,"$1,190 ",$656 ,1
588,589,Jack and Diane,Magnolia…,Magnolia Pictures,"$1,142 ",$294 ,2
589,590,The Decoy Bride,IFCFilms,IFC Films,$759 ,$542 ,1
590,591,Ta-weo,,#N/A,$726 ,,
591,592,Nature Calls,MagnetPi…,Magnet Pictures,$646 ,$382 ,2
592,593,Citizen Gangster,IFCFilms,IFC Films,$625 ,$625 ,1
593,594,Death of a Superhero,TriBecaF…,TriBeca Films,$607 ,$345 ,1
594,595,Gottfried Helnwein and the Dreaming Child,FirstRun…,First Run Features,$601 ,$402 ,1
595,596,Meeting Evil,MagnetPi…,Magnet Pictures,$525 ,$181 ,1
596,597,Playback,MagnetPi…,Magnet Pictures,$264 ,$252 ,1
597,598,Emergo,Magnolia…,Magnolia Pictures,$256 ,$256 ,1
