,Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
63,64,Ghost Rider: Spirit of Vengeance,SonyPict…,Sony Pictures,"$51,774,002 ","$22,115,334 ","3,174"
64,65,The Grey,OpenRoad,Open Road,"$51,580,136 ","$19,665,101 ","3,207"
65,66,Red Tails,20thCent…,20th Century,"$49,876,377 ","$18,782,154 ","2,573"
66,67,The Possession,Lionsgate,Lionsgate,"$49,130,588 ","$17,732,480 ","2,860"
67,68,Diary of a Wimpy Kid: Dog Days,20thCent…,20th Century,"$49,008,662 ","$14,623,599 ","3,401"
68,69,Sinister,Lionsgate,Lionsgate,"$48,086,903 ","$18,007,634 ","2,542"
69,70,Savages,Universal,Universal Studio,"$47,323,100 ","$16,016,910 ","2,635"
70,71,The Best Exotic Marigold Hotel,FoxSearc…,Fox Searchlight,"$46,383,639 ","$737,051 ","1,298"
71,72,Moonrise Kingdom,FocusFea…,Focus Features,"$45,512,466 ","$522,996 ",924
72,73,Here Comes the Boom,SonyPict…,Sony Pictures,"$45,290,318 ","$11,816,596 ","3,014"
73,74,Red Dawn,OpenRoad,Open Road,"$44,806,783 ","$14,276,668 ","2,781"
74,75,The Three Stooges,20thCent…,20th Century,"$44,338,224 ","$17,010,125 ","3,482"
75,76,Resident Evil: Retribution,SonyPict…,Sony Pictures,"$42,345,531 ","$21,052,227 ","3,016"
76,77,The Cabin in the Woods,Lionsgate,Lionsgate,"$42,073,277 ","$14,743,614 ","3,572"
77,78,What to Expect When Youre Expecting,Lionsgate,Lionsgate,"$41,152,203 ","$10,547,068 ","3,021"
78,79,End of Watch,OpenRoad,Open Road,"$41,003,371 ","$13,152,683 ","2,780"
79,80,Rock of Ages,WarnerBros.,Warner Bros.,"$38,518,613 ","$14,437,269 ","3,470"
80,81,Abraham Lincoln: Vampire Hunter,20thCent…,20th Century,"$37,519,139 ","$16,306,974 ","3,109"
81,82,Lawless,Weinstein…,Weinstein Co.,"$37,397,291 ","$10,001,982 ","3,138"
82,83,The Guilt Trip,Paramount…,Paramount Pictures,"$37,134,215 ","$5,290,629 ","2,431"
83,84,That’s My Boy,SonyPict…,Sony Pictures,"$36,931,089 ","$13,453,714 ","3,030"
84,85,Trouble with the Curve,WarnerBros.,Warner Bros.,"$35,763,137 ","$12,162,040 ","3,212"
85,86,Frankenweenie,WaltDisney,Walt Disney,"$35,287,788 ","$11,412,213 ","3,005"
86,87,Step Up Revolution,Lionsgate,Lionsgate,"$35,074,677 ","$11,731,708 ","2,606"
87,88,Tyler Perrys Good Deeds,Lionsgate,Lionsgate,"$35,025,791 ","$15,583,924 ","2,132"
88,89,The Watch,20thCent…,20th Century,"$34,353,000 ","$12,750,297 ","3,168"
89,90,2016: Obama’s America,RockyMou…,Rocky Mountain Pictures,"$33,349,941 ","$31,610 ","2,017"
90,91,House at the End of the Street,Relativity,Relativity,"$31,611,916 ","$12,287,234 ","3,083"
91,92,The Pirates! Band of Misfits,SonyPict…,Sony Pictures,"$31,051,126 ","$11,137,734 ","3,358"
92,93,Joyful Noise,WarnerBros.,Warner Bros.,"$30,932,113 ","$11,225,190 ","2,735"
93,94,The Iron Lady,Weinstein…,Weinstein Co.,"$29,959,436 ","$220,409 ","1,244"
94,95,Chimpanzee,WaltDisney,Walt Disney,"$28,965,459 ","$10,673,748 ","1,567"
95,96,The Five-Year Engagement,Universal,Universal Studio,"$28,700,285 ","$10,610,060 ","2,941"
96,97,Cloud Atlas,WarnerBros.,Warner Bros.,"$27,108,272 ","$9,612,247 ","2,023"
